;config_571_avg;config_571_std;config_571_run_0;config_571_run_1;config_571_run_2
Standard_Acc;96,1633;0,0818;96,0600;96,1700;96,2600
RMSCE;0,0419;0,0021;0,0422;0,0443;0,0392
gaussian_noise;86,9707;0,2500;86,8040;87,3240;86,7840
shot_noise;89,5727;0,2380;89,2720;89,8540;89,5920
impulse_noise;86,5440;0,3018;86,9260;86,5180;86,1880
defocus_blur;94,0400;0,0986;94,1260;94,0920;93,9020
glass_blur;88,2147;0,0715;88,2260;88,1220;88,2960
motion_blur;92,5867;0,1662;92,5500;92,8060;92,4040
zoom_blur;93,1067;0,1093;93,0580;93,2580;93,0040
snow;92,0520;0,1601;92,1080;91,8340;92,2140
frost;93,1933;0,2086;93,2640;92,9100;93,4060
fog;94,1847;0,0843;94,1440;94,1080;94,3020
brightness;95,6067;0,0741;95,5060;95,6320;95,6820
contrast;94,0300;0,2282;93,8880;93,8500;94,3520
elastic_transform;91,6333;0,1905;91,9020;91,5160;91,4820
pixelate;91,4000;0,1721;91,6300;91,3540;91,2160
jpeg_compression;86,3200;0,5223;86,9760;85,6980;86,2860
speckle_noise;89,9240;0,1048;89,7840;90,0360;89,9520
gaussian_blur;93,0420;0,2054;93,2760;93,0740;92,7760
spatter;92,5147;0,0553;92,5720;92,4400;92,5320
saturate;94,8700;0,0451;94,8120;94,8760;94,9220
blue_noise;85,8473;0,4133;86,2040;86,0700;85,2680
brownish_noise;78,9327;0,8154;80,0100;78,0380;78,7500
checkerboard_cutout;87,3873;0,2926;87,5780;87,6100;86,9740
circular_motion_blur;92,5487;0,1347;92,4360;92,7380;92,4720
inverse_sparkles;79,2520;0,5464;78,7100;79,0460;80,0000
lines;81,9247;0,5607;81,2760;81,8540;82,6440
pinch_and_twirl;93,1713;0,1693;93,3540;92,9460;93,2140
ripple;88,0967;0,4140;88,2180;88,5320;87,5400
sparkles;87,4973;0,3651;86,9820;87,7280;87,7820
transverse_chromatic_abberation;86,8720;0,1851;87,1260;86,6900;86,8000
Acc_C-all-19;91,5687;0,0379;91,6223;91,5422;91,5417
Acc_C-original-15;91,2970;0,0441;91,3587;91,2584;91,2740
Acc_C-bar-10;86,1530;0,0269;86,1894;86,1252;86,1444
Acc_all-ex-pixelwise-noise-24;90,1032;0,0525;90,1553;90,0313;90,1230
RMSCE_C;0,0390;0,0012;0,0400;0,0396;0,0372
Combined_Noise;89,6767;0,3321;89,7200;90,0600;89,2500
