time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
37,3112;12,9480;3,8928;19,0900;3,6061;14,5793;19,0900;14,5793
72,5397;28,1820;3,1880;27,1500;3,3224;19,9310;27,1500;19,9310
108,1502;39,3300;2,7458;36,8700;2,8869;24,7931;36,8700;24,7931
143,7774;47,4860;2,4655;44,1800;2,5803;27,0276;44,1800;27,0276
181,0877;52,6820;2,2810;46,8900;2,5141;28,6138;46,8900;28,6138
217,0026;57,2680;2,1306;52,1800;2,3267;32,3379;52,1800;32,3379
253,1428;61,1080;2,0053;53,2900;2,2951;31,9379;53,2900;31,9379
292,9284;64,5480;1,8940;57,4400;2,1680;37,0276;57,4400;37,0276
328,8474;67,4680;1,7998;57,6900;2,1303;34,5310;57,6900;34,5310
366,2153;70,5880;1,7064;59,2600;2,0797;36,3586;59,2600;36,3586
402,5178;73,2020;1,6237;63,5200;1,9685;39,4621;63,5200;39,4621
439,1837;76,3260;1,5387;64,2300;1,9314;39,1724;64,2300;39,1724
475,2712;79,0960;1,4623;65,5300;1,8975;39,3724;65,5300;39,3724
511,2335;81,5880;1,3888;65,3700;1,9002;41,0621;65,3700;41,0621
551,4530;84,1720;1,3231;67,0400;1,8564;41,6138;67,0400;41,6138
586,6889;86,2460;1,2679;67,9300;1,8413;41,1862;67,9300;41,1862
625,8996;88,1460;1,2192;67,8900;1,8256;42,3517;67,8900;42,3517
662,2487;89,4720;1,1860;68,7500;1,8150;42,4000;68,7500;42,4000
699,0709;90,5100;1,1602;68,8100;1,8031;42,4966;68,8100;42,4966
734,7991;90,9860;1,1471;69,1000;1,8043;42,6966;69,1000;42,6966
770,8418;72,7520;1,6202;56,0000;2,2270;32,7241;56,0000;32,7241
806,9854;72,0140;1,6435;56,6900;2,1989;34,4966;56,6900;34,4966
844,4216;73,6780;1,5982;59,8800;2,0633;35,0552;59,8800;35,0552
884,3041;74,8420;1,5573;58,6800;2,1482;36,0483;58,6800;36,0483
922,1259;76,6580;1,5096;60,5700;2,0814;36,1517;60,5700;36,1517
957,9116;77,8280;1,4739;60,3000;2,0570;35,7103;60,3000;35,7103
993,1053;79,2100;1,4348;61,6100;2,0619;35,5172;61,6100;35,5172
1028,8903;80,4660;1,3950;61,9500;2,0363;35,8621;61,9500;35,8621
1068,6108;81,7460;1,3602;63,4200;1,9762;37,5793;63,4200;37,5793
1104,8902;82,9660;1,3273;65,4700;1,9122;38,7724;65,4700;38,7724
1141,5353;84,1560;1,2917;64,3200;1,9546;38,7724;64,3200;38,7724
1178,9124;85,5300;1,2521;65,3100;1,9580;39,5931;65,3100;39,5931
1217,5383;86,7180;1,2218;65,6100;1,9235;39,5172;65,6100;39,5172
1254,6222;87,7660;1,1958;64,1200;1,9991;38,5379;64,1200;38,5379
1294,1329;88,9800;1,1626;65,8300;1,9178;39,4552;65,8300;39,4552
1337,6143;90,0080;1,1306;66,4000;1,9165;39,8069;66,4000;39,8069
1374,1418;91,0820;1,1020;67,2700;1,9106;40,1793;67,2700;40,1793
1410,2560;91,9900;1,0755;67,0800;1,9014;40,6276;67,0800;40,6276
1445,8667;93,0900;1,0471;65,1100;1,9835;38,9034;65,1100;38,9034
1483,5555;93,8800;1,0251;68,1100;1,8540;41,2207;68,1100;41,2207
1519,5366;94,6980;1,0020;67,7500;1,8756;41,8621;67,7500;41,8621
1556,7304;95,4600;0,9808;68,0300;1,8707;41,4828;68,0300;41,4828
1596,5669;96,1300;0,9612;69,5800;1,8366;42,3103;69,5800;42,3103
1632,6076;96,7820;0,9429;69,8200;1,8204;42,4966;69,8200;42,4966
1669,7430;97,2860;0,9271;69,5000;1,8340;42,0483;69,5000;42,0483
1704,5944;97,8440;0,9109;69,8700;1,8370;42,8759;69,8700;42,8759
1741,4393;98,1440;0,8964;70,3200;1,8034;43,0414;70,3200;43,0414
1776,8880;98,5280;0,8832;70,6000;1,7913;43,1379;70,6000;43,1379
1812,2743;98,9120;0,8705;70,9300;1,7802;43,1310;70,9300;43,1310
1849,0903;99,0760;0,8612;70,9000;1,7837;43,1655;70,9000;43,1655
1885,5107;99,3720;0,8501;71,5500;1,7852;44,0069;71,5500;44,0069
1922,4871;99,5400;0,8439;71,6200;1,7632;44,2483;71,6200;44,2483
1958,7752;99,6140;0,8378;71,9600;1,7539;44,8138;71,9600;44,8138
1994,6611;99,7340;0,8321;72,0300;1,7513;44,5793;72,0300;44,5793
2031,9457;99,7980;0,8288;72,2400;1,7475;44,5172;72,2400;44,5172
2068,5579;99,8040;0,8264;72,3200;1,7459;44,8828;72,3200;44,8828
2105,9083;99,8680;0,8238;72,3400;1,7453;45,0207;72,3400;45,0207
2140,7035;99,8700;0,8235;72,3400;1,7455;44,7724;72,3400;44,7724
2177,3427;99,8960;0,8226;72,4900;1,7439;44,9310;72,4900;44,9310
2212,5056;99,8800;0,8227;72,2700;1,7439;44,9724;72,2700;44,9724
2248,4630;89,9280;1,1009;64,2400;1,9992;37,1862;64,2400;37,1862
2286,9323;87,8220;1,1653;62,2600;2,0980;36,7655;62,2600;36,7655
2323,2740;87,5860;1,1702;61,9400;2,0764;37,1793;61,9400;37,1793
2361,1467;88,1860;1,1568;63,2500;2,0219;35,6966;63,2500;35,6966
2398,1171;88,7080;1,1446;64,0800;1,9852;38,0828;64,0800;38,0828
2433,4184;88,9000;1,1383;64,2300;2,0360;38,6138;64,2300;38,6138
2471,5283;89,1660;1,1279;64,4900;2,0252;38,8345;64,4900;38,8345
2510,8418;89,4040;1,1193;64,7300;2,0374;37,7172;64,7300;37,7172
2549,2913;89,9860;1,1028;64,0900;2,0363;38,0414;64,0900;38,0414
2587,4066;90,4420;1,0932;65,6800;1,9608;39,0207;65,6800;39,0207
2626,0659;90,4120;1,0894;64,4700;2,0249;37,0897;64,4700;37,0897
2663,3997;90,7980;1,0776;66,1500;1,9624;39,0621;66,1500;39,0621
2701,8315;91,1660;1,0699;66,2000;1,9754;40,4138;66,2000;40,4138
2739,0881;91,9040;1,0526;64,3500;2,0202;39,3379;64,3500;39,3379
2776,0101;91,9460;1,0495;64,7200;2,0211;37,9241;64,7200;37,9241
2813,2341;92,1740;1,0400;66,4200;1,9568;39,7448;66,4200;39,7448
