;config_531_avg;config_531_std;config_531_run_0;config_531_run_1;config_531_run_2
Standard_Acc;79,0367;0,1621;79,1800;78,8100;79,1200
RMSCE;0,0823;0,0013;0,0819;0,0841;0,0809
gaussian_noise;22,1853;0,8254;21,0540;22,5020;23,0000
shot_noise;31,3553;0,6728;30,4080;31,7520;31,9060
impulse_noise;29,1820;1,9502;26,4260;30,6500;30,4700
defocus_blur;62,2020;0,2745;62,5140;62,2460;61,8460
glass_blur;23,8493;0,4752;23,9280;23,2320;24,3880
motion_blur;56,7000;0,1294;56,8780;56,5740;56,6480
zoom_blur;56,3760;0,5894;56,7480;56,8360;55,5440
snow;57,8260;0,1289;57,9260;57,6440;57,9080
frost;52,9833;0,4851;53,6420;52,4880;52,8200
fog;65,9560;0,2086;65,6920;66,2020;65,9740
brightness;75,2720;0,1704;75,1200;75,1860;75,5100
contrast;57,3473;0,2766;57,0220;57,6980;57,3220
elastic_transform;62,9413;0,1457;63,0800;63,0040;62,7400
pixelate;53,3513;0,2773;53,6780;53,3760;53,0000
jpeg_compression;54,1673;0,3128;54,4800;53,7400;54,2820
speckle_noise;33,1100;0,6947;32,1480;33,4180;33,7640
gaussian_blur;53,2640;0,6224;53,7200;53,6880;52,3840
spatter;64,4973;0,5086;63,8080;65,0200;64,6640
saturate;66,5700;0,0792;66,5720;66,4720;66,6660
blue_noise;24,7227;3,0842;21,7460;28,9720;23,4500
brownish_noise;33,7993;0,4806;34,4220;33,7240;33,2520
checkerboard_cutout;55,9833;0,3748;55,6860;55,7520;56,5120
circular_motion_blur;67,6000;0,5313;68,3500;67,2640;67,1860
inverse_sparkles;31,2927;0,8496;32,4920;30,6300;30,7560
lines;49,6807;0,5220;49,8360;48,9780;50,2280
pinch_and_twirl;72,4580;0,1555;72,6560;72,4420;72,2760
ripple;54,4367;0,4818;54,0940;55,1180;54,0980
sparkles;57,4347;0,3723;57,7880;57,5960;56,9200
transverse_chromatic_abberation;33,1967;0,5802;33,7380;33,4600;32,3920
Acc_C-all-19;51,5335;0,1609;51,3076;51,6699;51,6229
Acc_C-original-15;50,7796;0,1462;50,5731;50,8753;50,8905
Acc_C-bar-10;48,0605;0,2807;48,0808;48,3936;47,7070
Acc_all-ex-pixelwise-noise-24;54,9661;0,1475;55,1612;54,9321;54,8048
RMSCE_C;0,2889;0,0048;0,2919;0,2822;0,2927
Combined_Noise;49,5433;0,5539;48,7600;49,9300;49,9400
