time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
40,3193;15,9620;3,7889;18,6700;3,7557;13,5241;18,6700;13,5241
75,6812;37,6400;2,8785;31,3900;3,3317;19,2276;31,3900;19,2276
111,2611;53,0620;2,3639;38,5400;2,9828;23,8345;38,5400;23,8345
148,7665;61,8860;2,0804;40,8600;2,9255;24,0138;40,8600;24,0138
184,3042;67,4600;1,9091;46,8400;2,6791;26,0621;46,8400;26,0621
223,3032;71,2560;1,7981;50,5600;2,5528;29,7241;50,5600;29,7241
261,2429;74,4680;1,6971;54,0500;2,3585;31,0897;54,0500;31,0897
296,9876;76,9260;1,6210;55,8000;2,3033;33,6828;55,8000;33,6828
334,7254;79,1860;1,5508;59,1900;2,1866;34,6414;59,1900;34,6414
372,8925;81,0440;1,4931;60,2800;2,1521;34,9172;60,2800;34,9172
408,1551;82,6040;1,4483;60,7700;2,1272;35,5793;60,7700;35,5793
446,4142;84,1700;1,3984;65,1800;1,9813;38,5931;65,1800;38,5931
485,4079;85,4780;1,3585;66,1600;1,9222;39,9241;66,1600;39,9241
521,3130;86,4500;1,3253;67,4400;1,8752;39,7586;67,4400;39,7586
559,5945;88,0020;1,2817;68,3000;1,8455;40,6345;68,3000;40,6345
596,0441;88,8320;1,2526;69,6900;1,7914;40,7724;69,6900;40,7724
633,7047;89,5500;1,2342;70,2900;1,7759;41,3586;70,2900;41,3586
672,2657;90,3920;1,2096;70,8400;1,7615;41,8552;70,8400;41,8552
709,9404;90,7700;1,1991;71,1900;1,7444;42,6690;71,1900;42,6690
747,4253;91,1160;1,1924;71,4700;1,7413;42,9379;71,4700;42,9379
783,7851;82,3620;1,4405;58,3700;2,2428;33,4966;58,3700;33,4966
819,4623;82,1340;1,4470;60,4600;2,1120;34,6069;60,4600;34,6069
857,7650;82,9540;1,4177;59,7800;2,1708;33,4759;59,7800;33,4759
896,7980;84,1840;1,3910;61,4100;2,1177;36,3448;61,4100;36,3448
935,3281;84,2700;1,3753;62,6900;2,0507;35,0276;62,6900;35,0276
975,1464;85,4260;1,3413;63,5400;2,0568;37,0966;63,5400;37,0966
1013,9306;86,0240;1,3272;65,3600;1,9591;36,7034;65,3600;36,7034
1051,9967;86,8240;1,3026;64,7200;2,0049;37,8138;64,7200;37,8138
1087,5591;87,3980;1,2818;64,9500;1,9628;37,3724;64,9500;37,3724
1125,3374;88,0600;1,2559;67,1300;1,9212;38,8207;67,1300;38,8207
1162,9784;88,7340;1,2394;66,3000;1,9556;38,1448;66,3000;38,1448
1198,5943;89,1040;1,2238;67,1700;1,8945;37,0345;67,1700;37,0345
1236,6088;89,8500;1,2019;67,7000;1,8738;38,3241;67,7000;38,3241
1274,2550;90,5540;1,1818;69,4900;1,8184;41,1034;69,4900;41,1034
1310,5326;91,1000;1,1615;67,4000;1,9009;39,2690;67,4000;39,2690
1349,1709;91,8760;1,1424;70,0500;1,7962;40,7586;70,0500;40,7586
1383,9910;92,2460;1,1269;69,9700;1,8100;40,3172;69,9700;40,3172
1419,7729;92,9780;1,1087;70,7600;1,7753;40,2414;70,7600;40,2414
1455,3485;93,6160;1,0899;71,5800;1,7481;40,8690;71,5800;40,8690
1493,6454;94,2680;1,0705;71,9700;1,7444;41,8828;71,9700;41,8828
1530,0340;94,6440;1,0549;71,9500;1,7451;41,6000;71,9500;41,6000
1566,1600;95,2880;1,0393;72,5100;1,7266;41,2276;72,5100;41,2276
1604,2055;95,7500;1,0227;73,9700;1,6855;42,7310;73,9700;42,7310
1642,6728;96,1380;1,0083;73,7500;1,6877;43,0621;73,7500;43,0621
