;config_534_avg;config_534_std;config_534_run_0;config_534_run_1;config_534_run_2
Standard_Acc;80,8967;0,2004;80,7600;81,1800;80,7500
RMSCE;0,0571;0,0022;0,0547;0,0600;0,0567
gaussian_noise;17,8653;1,0968;16,6540;19,3100;17,6320
shot_noise;27,2380;0,9489;26,3180;28,5440;26,8520
impulse_noise;29,8927;0,7110;28,9740;29,9980;30,7060
defocus_blur;63,6793;0,1858;63,5520;63,9420;63,5440
glass_blur;24,0487;0,6420;24,2980;24,6800;23,1680
motion_blur;57,8753;0,2699;57,7100;58,2560;57,6600
zoom_blur;58,9793;0,2509;58,9960;59,2780;58,6640
snow;60,1547;0,2105;59,8580;60,3240;60,2820
frost;55,2140;0,1291;55,2060;55,0600;55,3760
fog;67,2393;0,1411;67,3460;67,3320;67,0400
brightness;76,8700;0,1992;76,8660;77,1160;76,6280
contrast;56,7640;0,1154;56,8280;56,8620;56,6020
elastic_transform;63,9340;0,2655;63,5700;64,1960;64,0360
pixelate;54,4813;0,2176;54,2060;54,5000;54,7380
jpeg_compression;53,0700;0,1234;53,0760;52,9160;53,2180
speckle_noise;29,5987;1,0683;28,6340;31,0880;29,0740
gaussian_blur;54,2260;0,0892;54,2840;54,2940;54,1000
spatter;67,2693;0,3609;67,7380;66,8600;67,2100
saturate;66,5573;0,2099;66,4000;66,8540;66,4180
blue_noise;28,0313;1,8953;29,9420;25,4480;28,7040
brownish_noise;31,2660;0,2184;30,9800;31,5100;31,3080
checkerboard_cutout;58,2547;0,3076;58,3480;58,5760;57,8400
circular_motion_blur;73,0833;0,3049;73,2240;73,3660;72,6600
inverse_sparkles;37,4640;0,2604;37,5400;37,7380;37,1140
lines;50,3887;0,2940;50,3560;50,7640;50,0460
pinch_and_twirl;72,6387;0,2726;72,3200;72,9860;72,6100
ripple;54,2540;0,1263;54,1140;54,4200;54,2280
sparkles;61,1480;0,2487;60,8200;61,2020;61,4220
transverse_chromatic_abberation;32,6340;0,3346;32,3300;32,4720;33,1000
Acc_C-all-19;51,8399;0,2458;51,6060;52,1795;51,7341
Acc_C-original-15;51,1537;0,2472;50,8972;51,4876;51,0764
Acc_C-bar-10;49,9163;0,0616;49,9974;49,8482;49,9032
Acc_all-ex-pixelwise-noise-24;56,3122;0,1193;56,2486;56,4793;56,2088
RMSCE_C;0,0782;0,0039;0,0826;0,0731;0,0789
Combined_Noise;47,7433;0,6900;46,8500;48,5300;47,8500
