;config_535_avg
Standard_Acc;82,7300
RMSCE;0,0837
gaussian_noise;59,5860
shot_noise;63,8400
impulse_noise;71,9600
defocus_blur;76,7040
glass_blur;63,7040
motion_blur;70,9940
zoom_blur;74,1120
snow;71,5780
frost;68,9080
fog;75,4080
brightness;80,5680
contrast;76,7040
elastic_transform;71,8960
pixelate;66,4980
jpeg_compression;58,2640
speckle_noise;65,0220
gaussian_blur;74,1080
spatter;74,9820
saturate;75,7040
blue_noise;66,1920
brownish_noise;42,1740
checkerboard_cutout;68,5200
circular_motion_blur;75,9860
inverse_sparkles;45,6900
lines;55,3420
pinch_and_twirl;75,8540
ripple;57,6920
sparkles;67,9360
transverse_chromatic_abberation;49,2720
Acc_C-all-19;70,5547
Acc_C-original-15;70,0483
Acc_C-bar-10;60,4658
Acc_all-ex-pixelwise-noise-24;67,4416
RMSCE_C;0,0511
Combined_Noise;69,6900
