train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
7,5240;4,2125;13,7300;3,8536;9,1724
16,0300;3,7756;21,5100;3,4839;15,2414
23,7540;3,4162;30,8700;3,0923;26,5103
29,9080;3,1646;37,4600;2,8344;29,9103
34,4220;2,9796;43,9300;2,5981;33,0552
38,5440;2,8343;42,2300;2,7175;27,6621
42,0700;2,7137;50,1100;2,3885;32,3862
44,4860;2,6146;51,2400;2,3730;37,7103
47,0300;2,5332;53,4700;2,2781;36,8000
49,0300;2,4531;54,4000;2,2619;35,4483
51,5460;2,3758;58,9900;2,0906;39,8414
53,3740;2,3125;59,4400;2,0640;41,1103
55,0680;2,2536;61,8600;2,0114;42,4138
56,8460;2,1995;63,7100;1,9523;44,8276
58,1120;2,1470;64,4400;1,9172;42,6138
59,7620;2,1015;66,4000;1,8681;46,2207
60,8420;2,0650;66,9200;1,8417;45,7172
61,3440;2,0480;67,0300;1,8330;46,3862
62,3320;2,0166;67,4000;1,8225;46,5793
62,7160;2,0082;67,5300;1,8179;46,4138
51,3820;2,3743;52,6800;2,3366;31,6897
51,1860;2,3743;55,9600;2,1904;38,7862
52,2380;2,3334;56,3700;2,1853;37,0966
53,4040;2,2963;58,6400;2,0975;42,5103
54,2980;2,2629;58,3800;2,0941;39,3931
55,7580;2,2194;60,6300;2,0190;44,5655
56,5160;2,1913;61,5400;2,0257;44,8138
57,7720;2,1503;61,1400;2,0069;46,4276
58,6560;2,1229;62,4300;1,9765;45,9241
59,5440;2,0920;62,5600;1,9487;44,6138
60,7200;2,0598;63,5200;1,9113;47,7379
61,5460;2,0287;63,8400;1,9240;45,2000
62,3760;1,9994;65,5400;1,8734;45,6759
63,0760;1,9764;65,9800;1,8561;44,6621
64,2680;1,9402;67,4500;1,8056;45,3862
64,9880;1,9199;68,0100;1,7948;47,5034
65,6760;1,8913;67,7000;1,8002;45,9103
66,5540;1,8640;68,4500;1,7641;42,8000
67,3800;1,8380;69,3000;1,7691;48,3931
68,3840;1,8105;69,9100;1,7282;49,5310
69,0720;1,7858;69,4800;1,7302;47,4828
70,0660;1,7589;70,8900;1,7014;48,6828
70,9920;1,7295;71,7200;1,6765;50,6621
71,9280;1,7015;71,1200;1,6745;50,4621
72,4660;1,6838;71,9600;1,6552;50,5103
73,2400;1,6593;72,4100;1,6503;50,9862
74,2860;1,6381;72,8700;1,6473;50,7310
74,6380;1,6187;72,8000;1,6417;50,3931
75,6840;1,5939;73,0300;1,6223;52,5724
76,1980;1,5744;73,9900;1,6126;51,8897
76,7800;1,5546;73,6000;1,6051;50,4345
77,3240;1,5440;74,2200;1,5888;53,2759
77,8880;1,5254;74,6100;1,5857;52,7931
78,1840;1,5145;74,7400;1,5783;52,3586
78,6980;1,5011;74,9000;1,5742;52,4759
79,1880;1,4925;75,0800;1,5724;53,2414
79,3840;1,4837;75,0500;1,5697;52,8276
79,4980;1,4781;75,0700;1,5699;53,4828
79,9580;1,4726;75,1300;1,5702;53,3379
79,7700;1,4713;75,0800;1,5678;53,3310
66,9940;1,8478;65,1900;1,8816;43,0552
65,3700;1,8975;66,1000;1,8634;46,4207
65,4420;1,8932;66,4500;1,8591;44,0759
65,8040;1,8868;66,0100;1,8481;44,2483
65,9620;1,8752;65,7900;1,8782;48,7241
66,1620;1,8651;67,6300;1,7867;45,6966
66,7420;1,8545;66,2400;1,8721;46,8000
67,2700;1,8376;67,8200;1,7887;46,2897
67,5720;1,8296;68,3300;1,7904;49,2759
68,1860;1,8088;67,4800;1,8270;47,2690
68,1720;1,8063;65,3000;1,8914;45,0276
68,5600;1,7939;67,0900;1,8292;48,0483
68,7960;1,7853;67,2700;1,8273;41,6414
69,5040;1,7672;68,7500;1,7763;49,3586
69,9420;1,7579;68,3000;1,7814;44,4690
70,0520;1,7511;67,8600;1,8203;47,2483
70,4960;1,7379;69,1000;1,7624;48,9034
70,7080;1,7316;70,0700;1,7258;48,0552
71,1120;1,7118;69,3400;1,7500;46,9310
71,5780;1,7038;70,5900;1,7470;47,7172
72,0320;1,6915;67,3700;1,8264;46,2897
72,7460;1,6704;70,3000;1,7208;47,0690
72,3580;1,6747;70,2600;1,7365;46,4897
72,9100;1,6606;71,0800;1,6851;47,8552
73,2840;1,6472;70,4300;1,7370;46,9724
73,5460;1,6443;70,9500;1,6900;49,8759
74,0600;1,6253;70,3900;1,7355;50,5655
74,6340;1,6091;71,0800;1,6972;52,3724
74,3540;1,6140;71,8900;1,6824;51,1241
74,8820;1,5997;71,1900;1,7051;51,4138
75,3020;1,5862;71,6800;1,6908;50,7172
75,8020;1,5702;73,2800;1,6529;51,7862
76,1980;1,5599;72,2600;1,6741;49,8759
76,4380;1,5533;72,7000;1,6575;50,6207
76,7620;1,5439;71,9500;1,6823;51,8759
77,2580;1,5307;73,0700;1,6539;49,7103
77,7420;1,5176;72,4700;1,6690;49,9793
77,9280;1,5069;73,1200;1,6565;52,6621
78,0100;1,5090;73,1200;1,6490;49,8759
78,4040;1,4901;74,0400;1,6036;53,4690
79,1280;1,4746;73,4600;1,6233;49,8483
79,3940;1,4659;74,2700;1,6218;51,6759
79,5700;1,4577;73,4600;1,6206;51,3034
80,1200;1,4461;73,8800;1,6287;52,4483
80,4900;1,4379;74,0900;1,6194;51,5448
80,7360;1,4276;73,5800;1,6319;51,6897
81,2140;1,4138;74,1400;1,6148;51,7517
81,4140;1,4081;74,6300;1,5963;53,2966
81,7080;1,3985;75,0100;1,6009;52,6552
82,0140;1,3877;74,7600;1,6102;52,0966
82,0300;1,3803;75,1300;1,5797;55,3172
82,7900;1,3643;75,1200;1,5934;53,3862
83,0320;1,3523;75,1600;1,5840;55,5586
83,2220;1,3520;75,5800;1,5700;54,4069
83,5180;1,3416;75,4400;1,5684;54,0759
84,1440;1,3257;76,0100;1,5485;53,2345
84,0000;1,3237;76,0800;1,5589;53,7586
84,3460;1,3159;76,1300;1,5476;55,8828
84,5760;1,3072;76,4700;1,5489;54,5655
84,8120;1,3002;76,3600;1,5400;55,2828
85,1960;1,2884;76,3200;1,5290;55,0069
85,1660;1,2882;76,8400;1,5428;55,3448
85,5320;1,2776;76,3700;1,5354;55,9793
85,9160;1,2665;76,9200;1,5295;55,4000
85,9620;1,2674;77,1100;1,5194;56,2207
86,0840;1,2556;77,2500;1,5166;54,7862
86,4420;1,2491;77,3300;1,5159;56,1655
86,6140;1,2456;77,0500;1,5266;56,1448
86,8160;1,2432;77,3900;1,5145;56,2621
86,6580;1,2443;77,2200;1,5177;56,4759
86,8500;1,2375;77,4700;1,5118;56,0966
86,9520;1,2324;77,5600;1,5143;56,5241
86,8200;1,2361;77,3100;1,5160;56,7586
87,3600;1,2243;77,7800;1,5152;56,2345
87,1660;1,2241;77,5200;1,5125;56,0414
87,0860;1,2279;77,5400;1,5119;56,0345
87,3240;1,2225;77,4900;1,5121;56,3517
87,1600;1,2240;77,6900;1,5119;56,1034
87,1740;1,2278;77,4800;1,5113;56,5172
87,0740;1,2273;77,7100;1,5109;56,2138
75,3900;1,5761;66,7300;1,8689;48,1655
72,9640;1,6531;67,9200;1,8121;50,5862
72,5260;1,6620;67,6500;1,8046;45,1103
72,4560;1,6662;69,4000;1,7593;48,1793
72,3280;1,6677;67,6100;1,8185;46,8897
72,4160;1,6661;69,5100;1,7578;48,3103
72,5000;1,6654;68,1400;1,8129;45,4690
72,4780;1,6665;69,0200;1,7736;47,4759
72,5880;1,6591;69,0400;1,7709;48,0897
72,7520;1,6573;68,4800;1,7823;47,9034
73,2720;1,6466;69,6800;1,7670;48,0759
73,1180;1,6481;68,9200;1,7700;49,7034
73,1460;1,6411;67,6900;1,8106;45,0621
73,4500;1,6358;69,3500;1,7759;47,2000
73,2460;1,6393;69,3200;1,7518;46,9586
73,4920;1,6312;69,7900;1,7503;52,4621
73,7780;1,6260;70,4100;1,7271;48,3310
74,0380;1,6191;70,7700;1,7399;48,6690
73,9660;1,6194;71,5900;1,6954;49,2069
73,9600;1,6197;69,6500;1,7656;50,6414
74,4500;1,6124;67,5300;1,8218;47,9793
74,3180;1,6083;69,9100;1,7522;48,6828
74,5340;1,6001;69,7600;1,7405;49,4069
74,5740;1,6021;71,1600;1,7219;51,6621
74,8940;1,5913;69,3700;1,7638;48,0069
74,8040;1,5929;70,3300;1,7312;50,3103
75,1600;1,5831;69,1200;1,7717;48,3655
75,1240;1,5800;69,8800;1,7554;48,9448
75,4560;1,5740;70,5700;1,7373;51,6897
75,4780;1,5748;71,9400;1,7043;52,8138
75,6100;1,5694;70,9200;1,6912;49,7034
75,5840;1,5695;72,2300;1,6576;53,5379
75,8460;1,5626;70,8000;1,7376;47,9172
76,0700;1,5588;71,3600;1,7158;51,2414
75,6260;1,5620;71,2000;1,7302;54,6483
76,0860;1,5506;70,3700;1,7381;50,1517
76,4420;1,5466;70,9100;1,7493;51,0966
76,6520;1,5375;71,7500;1,6924;51,1862
76,6940;1,5405;70,4000;1,7295;49,7310
76,9620;1,5307;71,1300;1,7124;47,4000
76,8540;1,5298;70,3100;1,7293;52,9034
77,0620;1,5239;70,8800;1,7273;51,7586
77,0840;1,5222;72,2500;1,6625;49,6276
77,2120;1,5232;71,8000;1,7065;51,9655
77,2800;1,5226;72,6500;1,6734;51,9241
77,3980;1,5149;71,7000;1,6737;52,2828
77,7760;1,5057;73,2000;1,6485;55,8207
78,0200;1,4989;71,9200;1,6889;51,0207
78,0440;1,4992;72,0000;1,6775;51,1034
78,4560;1,4872;71,3100;1,7117;49,5172
78,1240;1,4914;73,2700;1,6533;52,9448
78,2860;1,4875;71,9100;1,7140;52,2138
78,3220;1,4878;72,5600;1,6695;53,3103
78,4820;1,4803;72,1700;1,6799;53,5862
78,7220;1,4749;73,0300;1,6505;53,8138
78,5900;1,4744;73,5300;1,6447;54,5103
79,0700;1,4656;73,5400;1,6477;54,5655
79,3720;1,4516;72,7400;1,6663;53,0483
79,3280;1,4533;72,8300;1,6528;52,4276
79,3440;1,4542;73,4200;1,6538;50,9793
79,4980;1,4526;72,7900;1,6663;51,7103
79,6900;1,4480;73,2200;1,6598;53,1034
79,9180;1,4387;74,3500;1,6429;52,7793
80,0400;1,4335;73,8700;1,6235;55,3655
80,0780;1,4321;73,2600;1,6508;53,3448
80,1260;1,4335;73,5700;1,6437;56,6759
80,2620;1,4256;73,7300;1,6533;54,9517
80,5660;1,4146;73,3200;1,6451;52,4759
80,9320;1,4145;73,7500;1,6369;53,3034
80,7800;1,4070;73,2400;1,6370;53,0000
81,0220;1,4024;73,3400;1,6555;51,3448
81,4180;1,3898;73,1700;1,6825;51,1172
81,4140;1,3949;73,7600;1,6394;53,2759
81,6780;1,3903;73,8000;1,6629;53,4552
81,6320;1,3875;74,4200;1,6124;51,3241
81,7860;1,3793;74,5300;1,6255;54,4000
81,7640;1,3794;73,7100;1,6470;52,3724
81,7200;1,3747;74,7000;1,6203;53,0552
82,4540;1,3679;74,5600;1,6088;54,3793
82,2400;1,3672;74,7400;1,6093;55,7034
82,3900;1,3598;74,3900;1,6017;52,6138
82,5400;1,3594;74,9100;1,6080;54,0690
82,7640;1,3501;75,2800;1,6034;53,0897
83,0640;1,3417;74,7000;1,6082;51,5241
83,3860;1,3305;75,3000;1,5984;52,4552
83,4020;1,3303;75,4300;1,5856;53,3172
83,3740;1,3293;75,3000;1,5966;55,2621
83,7800;1,3184;74,5600;1,6033;52,7379
84,0540;1,3138;74,8200;1,6049;54,5172
83,9440;1,3132;75,4600;1,5924;54,8759
84,2500;1,3036;75,5600;1,6023;55,3310
84,4240;1,3013;75,5100;1,5845;55,3103
84,1440;1,3093;75,6700;1,5905;56,8069
84,6700;1,2951;75,6000;1,5926;53,5379
84,5780;1,2957;75,2100;1,5883;52,4138
84,8860;1,2851;76,3500;1,5670;55,2000
85,0520;1,2817;75,9900;1,5744;55,5103
84,9400;1,2805;76,4000;1,5661;56,4483
85,0480;1,2754;75,2200;1,6018;52,3724
85,5360;1,2653;75,8800;1,5760;52,6552
85,4740;1,2636;76,2600;1,5700;55,0345
85,7100;1,2587;76,0700;1,5821;54,2552
86,0260;1,2487;76,6300;1,5510;57,1241
86,0120;1,2491;76,4700;1,5655;55,2138
86,1420;1,2483;76,3300;1,5521;57,2828
86,2020;1,2443;76,0800;1,5586;54,8828
86,5460;1,2328;76,6500;1,5412;55,4138
86,5160;1,2310;76,9300;1,5458;58,0897
86,7580;1,2259;77,3600;1,5313;55,0138
86,8220;1,2234;76,9900;1,5364;55,8690
87,0540;1,2191;77,8600;1,5242;56,6621
87,2060;1,2144;77,2100;1,5396;55,8000
87,1540;1,2134;77,8200;1,5248;55,5862
87,3380;1,2080;77,6500;1,5202;55,0828
87,4160;1,2062;77,5900;1,5240;56,5724
87,7080;1,1951;77,6600;1,5280;55,6207
87,6720;1,1951;77,4600;1,5174;55,8000
87,8500;1,1918;77,8700;1,5113;56,1793
87,9760;1,1837;77,7500;1,5257;56,9103
88,2100;1,1810;77,2600;1,5276;55,2759
87,9940;1,1826;77,9200;1,5218;56,2138
88,4380;1,1737;77,7500;1,5269;57,5103
88,4240;1,1695;77,6700;1,5197;56,5103
88,5560;1,1680;78,2800;1,5065;56,4138
88,8000;1,1594;78,0900;1,5187;56,7931
88,8300;1,1602;78,6900;1,5040;56,1517
88,8500;1,1585;78,6700;1,5029;55,4897
88,7080;1,1624;78,1400;1,5189;56,5862
88,9200;1,1541;78,2200;1,5067;56,2897
89,2660;1,1443;78,3400;1,5009;55,3655
89,3900;1,1437;78,3200;1,5053;56,6552
89,2760;1,1433;78,1500;1,4996;57,1379
89,4280;1,1377;78,6800;1,4943;57,6345
89,6160;1,1371;78,9200;1,4910;56,6966
89,7120;1,1305;78,6300;1,5015;57,9103
89,6880;1,1281;78,8000;1,4844;57,6621
89,7600;1,1292;79,0300;1,4906;57,5172
89,9340;1,1218;78,8900;1,4898;57,4552
89,8180;1,1245;78,9800;1,4965;57,1034
89,7780;1,1243;79,1200;1,4866;57,7241
90,0680;1,1172;79,2600;1,4845;57,6690
90,0180;1,1199;79,1000;1,4854;57,6345
90,1400;1,1142;79,1100;1,4817;57,5241
90,2020;1,1132;79,2900;1,4781;57,3310
90,1500;1,1146;79,2800;1,4824;57,5172
90,2120;1,1129;79,2900;1,4800;57,3034
90,3460;1,1104;79,1400;1,4811;57,6138
90,4360;1,1065;79,1400;1,4802;57,1655
90,5000;1,1046;79,5100;1,4775;57,8000
90,3720;1,1085;79,2800;1,4789;57,6207
90,3760;1,1060;79,5300;1,4740;57,9448
90,3620;1,1056;79,3900;1,4765;57,8552
90,5020;1,1047;79,5000;1,4785;57,6966
90,4220;1,1062;79,5600;1,4769;58,1172
90,4240;1,1044;79,3200;1,4821;57,8897
90,5740;1,0991;79,6200;1,4785;58,1379
90,5580;1,1040;79,5000;1,4759;57,5655
90,4240;1,1049;79,5000;1,4768;58,0621
90,6980;1,0982;79,4600;1,4781;57,6000
90,5620;1,1029;79,5700;1,4755;58,0000
