train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
7,4000;4,2251;14,3500;3,7914;10,6069;14,3500;10,6069
15,3820;3,8047;20,6300;3,5590;14,6000;20,6300;14,6000
22,4480;3,4797;30,1300;3,0962;21,1586;30,1300;21,1586
28,7100;3,2208;38,0800;2,7864;32,4828;38,0800;32,4828
33,1620;3,0276;40,2600;2,7208;30,6690;40,2600;30,6690
37,2220;2,8779;41,6100;2,7238;26,3862;41,6100;26,3862
41,0080;2,7508;47,7400;2,4522;31,0069;47,7400;31,0069
43,5820;2,6486;50,2000;2,3720;37,6759;50,2000;37,6759
46,0120;2,5624;53,7300;2,2732;38,9586;53,7300;38,9586
48,3120;2,4812;56,7900;2,1511;37,8552;56,7900;37,8552
50,6120;2,4009;56,4600;2,1764;40,0069;56,4600;40,0069
52,5400;2,3386;58,3700;2,1009;36,8345;58,3700;36,8345
54,3880;2,2777;60,8700;2,0269;41,5655;60,8700;41,5655
56,1660;2,2168;62,1100;1,9663;44,1103;62,1100;44,1103
57,6840;2,1687;63,5200;1,9488;44,6759;63,5200;44,6759
58,9380;2,1277;64,0000;1,9103;46,3586;64,0000;46,3586
60,1300;2,0901;65,2700;1,8709;46,1517;65,2700;46,1517
60,8920;2,0664;65,8300;1,8541;46,6276;65,8300;46,6276
61,5440;2,0419;66,1200;1,8431;46,6552;66,1200;46,6552
62,1860;2,0252;66,1900;1,8396;46,8483;66,1900;46,8483
50,7900;2,3947;53,4900;2,2861;35,5655;53,4900;35,5655
50,7260;2,3909;54,1800;2,2416;33,9241;54,1800;33,9241
51,6680;2,3551;55,8100;2,1891;34,6345;55,8100;34,6345
52,9380;2,3213;54,9500;2,2662;38,5586;54,9500;38,5586
53,8860;2,2788;58,6100;2,0823;36,8138;58,6100;36,8138
55,3700;2,2331;60,3600;2,0313;41,8276;60,3600;41,8276
56,3120;2,2057;58,5700;2,1256;41,9862;58,5700;41,9862
57,0740;2,1705;59,9500;2,0592;43,8621;59,9500;43,8621
58,0780;2,1392;63,6000;1,9200;45,8690;63,6000;45,8690
59,2000;2,1062;62,3800;1,9698;46,0828;62,3800;46,0828
60,4140;2,0691;63,4700;1,9247;45,4690;63,4700;45,4690
61,3860;2,0379;63,9000;1,9249;44,2414;63,9000;44,2414
62,1140;2,0125;65,7500;1,8621;43,5103;65,7500;43,5103
62,9100;1,9839;66,1500;1,8409;43,8207;66,1500;43,8207
63,5120;1,9608;67,7600;1,7844;45,9724;67,7600;45,9724
64,7140;1,9316;68,2500;1,7801;47,5793;68,2500;47,5793
65,5220;1,9012;67,0700;1,8189;44,5724;67,0700;44,5724
66,3020;1,8744;68,7200;1,7647;45,1172;68,7200;45,1172
67,5660;1,8424;67,8700;1,8012;50,7862;67,8700;50,7862
68,1940;1,8221;69,4900;1,7353;45,8828;69,4900;45,8828
69,1100;1,7912;69,4700;1,7382;46,0621;69,4700;46,0621
69,7940;1,7719;69,9300;1,7204;50,3172;69,9300;50,3172
71,0020;1,7320;70,5300;1,6973;50,8345;70,5300;50,8345
71,5600;1,7089;71,1300;1,6929;48,6069;71,1300;48,6069
72,4020;1,6930;71,7900;1,6569;51,1655;71,7900;51,1655
73,1680;1,6688;72,2300;1,6595;51,7724;72,2300;51,7724
74,0500;1,6450;72,3100;1,6548;51,2828;72,3100;51,2828
74,7260;1,6226;72,6900;1,6384;51,0345;72,6900;51,0345
75,6440;1,5975;73,3800;1,6260;51,7448;73,3800;51,7448
76,0460;1,5808;74,0700;1,6092;50,7793;74,0700;50,7793
76,6840;1,5639;73,5600;1,6032;52,6138;73,5600;52,6138
77,2440;1,5477;74,1000;1,5920;54,0138;74,1000;54,0138
77,7340;1,5346;74,3400;1,5872;52,9655;74,3400;52,9655
78,1920;1,5237;74,6200;1,5774;53,2345;74,6200;53,2345
78,4820;1,5097;74,7800;1,5741;53,9862;74,7800;53,9862
79,0320;1,4967;74,9900;1,5674;53,9310;74,9900;53,9310
79,4440;1,4920;75,0300;1,5688;53,7448;75,0300;53,7448
79,4380;1,4868;75,1700;1,5687;54,1793;75,1700;54,1793
79,5940;1,4831;74,9700;1,5683;54,2552;74,9700;54,2552
79,7380;1,4762;75,1200;1,5668;54,2483;75,1200;54,2483
66,8120;1,8528;64,1100;1,9295;43,2276;64,1100;43,2276
65,0820;1,9076;64,9300;1,8848;46,4690;64,9300;46,4690
65,4860;1,8965;65,6000;1,8616;43,8759;65,6000;43,8759
65,6520;1,8929;65,8900;1,8645;44,9793;65,8900;44,9793
65,5740;1,8794;65,9700;1,8565;46,2897;65,9700;46,2897
66,1520;1,8687;65,8300;1,8742;46,1310;65,8300;46,1310
66,6000;1,8619;67,3000;1,8036;48,1379;67,3000;48,1379
66,9040;1,8455;66,8400;1,8259;45,8552;66,8400;45,8552
67,1480;1,8380;67,0600;1,8383;46,8621;67,0600;46,8621
67,8520;1,8183;66,9200;1,8382;45,2621;66,9200;45,2621
68,1260;1,8099;65,7700;1,8799;45,4069;65,7700;45,4069
68,6100;1,7973;66,6800;1,8482;46,5793;66,6800;46,5793
68,8360;1,7852;66,9000;1,8362;43,4759;66,9000;43,4759
69,3740;1,7714;68,5100;1,7759;48,6759;68,5100;48,6759
69,5980;1,7601;69,2100;1,7598;47,4414;69,2100;47,4414
69,8580;1,7574;68,6900;1,7788;47,7793;68,6900;47,7793
70,4900;1,7416;69,4100;1,7502;47,7448;69,4100;47,7448
70,8340;1,7304;70,9100;1,7156;50,5724;70,9100;50,5724
71,1820;1,7149;69,8500;1,7282;44,8138;69,8500;44,8138
71,7040;1,7039;69,8700;1,7523;46,5034;69,8700;46,5034
71,8880;1,6959;67,4000;1,7986;47,2966;67,4000;47,2966
72,3920;1,6766;70,0200;1,7187;48,2000;70,0200;48,2000
72,4520;1,6777;69,9400;1,7270;46,3793;69,9400;46,3793
72,7300;1,6643;70,7300;1,7031;47,6483;70,7300;47,6483
73,3820;1,6510;70,9300;1,7088;48,6828;70,9300;48,6828
73,6360;1,6464;70,6400;1,7213;48,9931;70,6400;48,9931
74,1460;1,6269;70,6000;1,7070;49,5310;70,6000;49,5310
74,5920;1,6128;70,5400;1,7167;51,9448;70,5400;51,9448
74,6020;1,6145;71,5100;1,6926;51,2759;71,5100;51,2759
74,8360;1,6023;70,7200;1,7086;48,6828;70,7200;48,6828
75,4740;1,5863;71,6300;1,6754;49,1724;71,6300;49,1724
75,8380;1,5727;72,4100;1,6720;50,6483;72,4100;50,6483
76,1820;1,5606;72,8300;1,6567;49,0207;72,8300;49,0207
76,5780;1,5528;72,2200;1,6594;51,9655;72,2200;51,9655
76,8060;1,5488;72,6600;1,6499;50,7034;72,6600;50,7034
77,0900;1,5304;72,9000;1,6353;52,6138;72,9000;52,6138
77,7160;1,5159;73,0900;1,6426;49,4966;73,0900;49,4966
77,9760;1,5080;73,7700;1,6323;51,0621;73,7700;51,0621
78,3760;1,5012;72,7800;1,6611;52,3379;72,7800;52,3379
78,5660;1,4901;73,6800;1,6264;52,5034;73,6800;52,5034
79,0940;1,4750;73,4600;1,6327;51,3103;73,4600;51,3103
79,5060;1,4648;73,7900;1,6260;53,3586;73,7900;53,3586
79,5800;1,4603;73,5800;1,6283;51,5379;73,5800;51,5379
80,1980;1,4471;73,6400;1,6284;53,2483;73,6400;53,2483
80,4360;1,4391;74,2400;1,6053;53,0552;74,2400;53,0552
80,7780;1,4311;73,9900;1,6141;51,5172;73,9900;51,5172
81,1020;1,4177;74,0600;1,6127;51,9862;74,0600;51,9862
81,3440;1,4102;73,9100;1,6046;53,1586;73,9100;53,1586
81,5500;1,4008;74,9900;1,5807;52,4069;74,9900;52,4069
82,0260;1,3917;74,8500;1,5808;52,9172;74,8500;52,9172
82,2360;1,3789;75,4100;1,5629;54,3655;75,4100;54,3655
82,8640;1,3639;75,7100;1,5688;53,6552;75,7100;53,6552
83,2100;1,3558;76,0400;1,5500;54,0000;76,0400;54,0000
83,0960;1,3571;75,5800;1,5651;55,2759;75,5800;55,2759
83,4740;1,3439;75,6300;1,5694;52,9379;75,6300;52,9379
83,7860;1,3310;75,6600;1,5591;53,1517;75,6600;53,1517
84,1700;1,3246;75,6400;1,5503;53,3931;75,6400;53,3931
84,4360;1,3203;76,0100;1,5548;55,5103;76,0100;55,5103
84,6900;1,3083;75,7400;1,5605;54,0000;75,7400;54,0000
84,9220;1,3026;76,3200;1,5551;53,3655;76,3200;53,3655
85,1680;1,2943;76,6600;1,5381;54,0345;76,6600;54,0345
85,4920;1,2870;76,3900;1,5446;55,1862;76,3900;55,1862
85,6280;1,2789;76,6000;1,5398;54,3655;76,6000;54,3655
86,0920;1,2677;76,5400;1,5412;54,7034;76,5400;54,7034
85,7240;1,2718;77,0000;1,5249;55,5862;77,0000;55,5862
86,1480;1,2617;76,9300;1,5266;54,8000;76,9300;54,8000
86,2300;1,2571;76,7600;1,5237;55,1379;76,7600;55,1379
86,4960;1,2515;76,9700;1,5199;54,5103;76,9700;54,5103
86,5980;1,2466;77,1800;1,5163;55,2414;77,1800;55,2414
86,6680;1,2476;76,9900;1,5221;55,3655;76,9900;55,3655
86,9760;1,2373;77,2400;1,5141;55,0414;77,2400;55,0414
86,9940;1,2332;77,1600;1,5148;55,3172;77,1600;55,3172
