time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
210,7815;63,3620;2,0752;81,2300;1,3654;61,5931;81,2300;61,5931
419,9410;79,0520;1,4685;83,5400;1,2891;65,6000;83,5400;65,6000
627,7866;81,3640;1,3830;84,5800;1,2508;64,3931;84,5800;64,3931
833,1565;82,6620;1,3311;84,8500;1,2293;62,8759;84,8500;62,8759
1036,5275;84,1880;1,2844;85,6100;1,2005;65,3172;85,6100;65,3172
1243,5772;85,2100;1,2549;85,2500;1,2103;69,1724;85,2500;69,1724
1450,7806;86,0540;1,2199;85,4700;1,1999;66,7103;85,4700;66,7103
1673,9846;86,5140;1,2001;86,1900;1,1840;68,6828;86,1900;68,6828
1943,2040;87,3580;1,1712;86,8600;1,1610;69,3034;86,8600;69,3034
2200,4183;87,8360;1,1566;86,7200;1,1585;67,2552;86,7200;67,2552
2471,5818;88,5480;1,1369;86,5600;1,1678;68,1379;86,5600;68,1379
2746,3406;88,8200;1,1242;87,0800;1,1547;67,7724;87,0800;67,7724
2989,2684;89,2340;1,1112;87,5700;1,1372;70,9586;87,5700;70,9586
3253,0431;89,9400;1,0916;88,0100;1,1285;70,9241;88,0100;70,9241
3513,7792;90,6360;1,0696;87,7900;1,1306;68,9655;87,7900;68,9655
3777,8537;90,8220;1,0632;88,1200;1,1302;69,6000;88,1200;69,6000
4014,2138;91,4640;1,0396;88,4400;1,1305;70,8138;88,4400;70,8138
4281,0915;91,8880;1,0316;88,8600;1,1115;71,0552;88,8600;71,0552
4539,1299;91,9520;1,0235;88,6600;1,1153;71,4690;88,6600;71,4690
4789,2583;92,3520;1,0102;88,8200;1,1170;70,8897;88,8200;70,8897
5090,9520;92,6940;1,0040;89,0100;1,1055;71,2828;89,0100;71,2828
5457,4988;93,2380;0,9901;88,9800;1,1067;71,2000;88,9800;71,2000
5741,2247;93,3720;0,9853;89,1000;1,1073;70,7793;89,2700;71,4897
6039,2187;93,4500;0,9810;89,3500;1,1033;70,2138;89,4600;71,3448
6433,9074;93,3940;0,9812;89,2300;1,0965;70,8966;89,4600;71,5310
6913,8493;93,4900;0,9791;89,0600;1,1058;71,0690;89,4300;71,8000
7386,1259;93,5020;0,9798;89,3700;1,0988;71,3172;89,5100;71,8828
8042,9552;93,9700;0,9668;89,3500;1,1026;71,2207;89,6100;71,9586
8697,0697;93,8240;0,9688;89,4100;1,1029;71,3862;89,7400;72,0276
8973,1489;93,8620;0,9655;89,3200;1,1112;71,5586;89,7600;72,1793
