;config_197_avg
Standard_Acc;89,1500
RMSCE;0,0698
gaussian_noise;48,5540
shot_noise;57,7060
impulse_noise;51,6720
defocus_blur;79,9260
glass_blur;45,4500
motion_blur;75,6840
zoom_blur;78,0220
snow;79,2020
frost;78,1680
fog;79,6280
brightness;87,0440
contrast;77,4700
elastic_transform;77,1840
pixelate;76,2300
jpeg_compression;68,2620
speckle_noise;59,5580
gaussian_blur;76,1280
spatter;82,2520
saturate;80,9620
blue_noise;59,9040
brownish_noise;49,2700
checkerboard_cutout;74,8200
circular_motion_blur;83,9440
inverse_sparkles;51,6360
lines;71,5100
pinch_and_twirl;82,5920
ripple;74,9420
sparkles;78,9120
transverse_chromatic_abberation;47,0580
Acc_C-all-19;71,5317
Acc_C-original-15;70,6801
Acc_C-bar-10;67,4588
Acc_all-ex-pixelwise-noise-24;73,1790
RMSCE_C;0,1134
Combined_Noise;85,2800
