train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
6,7060;4,2599;9,9700;4,0756;9,0793;6,9900;9,9700;9,0793;6,9900
13,6780;3,8936;17,4100;3,7975;18,0138;7,9800;17,4100;18,0138;7,9800
22,2340;3,5393;25,8300;3,4249;21,4034;9,6200;25,8300;21,4034;9,6200
30,0060;3,2292;30,6500;3,2169;29,1655;11,5500;30,6500;29,1655;11,5500
36,5680;2,9980;38,9700;2,9575;35,6621;15,6000;38,9700;35,6621;15,6000
40,9980;2,8267;40,1800;2,8854;33,7655;16,4000;40,1800;33,7655;16,4000
44,8860;2,6972;42,7800;2,7962;36,1552;18,4500;42,7800;36,1552;18,4500
47,7020;2,5906;47,8000;2,7019;40,4690;22,3300;47,8000;40,4690;22,3300
50,3140;2,5020;48,7300;2,5826;41,3345;21,8000;48,7300;41,3345;21,8000
52,5260;2,4234;53,2800;2,4299;45,4414;25,0700;53,2800;45,4414;25,0700
54,7800;2,3537;53,5600;2,3725;43,3655;25,9500;53,5600;43,3655;25,9500
56,0620;2,3085;55,6800;2,3026;43,5586;26,6000;55,6800;43,5586;26,6000
57,0340;2,2683;55,4100;2,3233;45,5586;27,3600;55,4100;45,5586;27,3600
58,6460;2,2244;57,4200;2,2453;46,7517;27,3200;57,4200;46,7517;27,3200
59,8920;2,1736;59,0400;2,2225;47,1621;31,4500;59,0400;47,1621;31,4500
60,9020;2,1427;58,4600;2,2294;45,3828;30,1700;58,4600;45,3828;30,1700
61,9000;2,1053;61,2800;2,1234;48,5862;32,9100;61,2800;48,5862;32,9100
62,8340;2,0713;62,8500;2,0829;49,1345;33,3300;62,8500;49,1345;33,3300
63,8460;2,0347;63,5400;2,0506;49,1034;33,7300;63,5400;49,1034;33,7300
64,4000;2,0202;64,7500;2,0324;51,2172;35,7800;64,7500;51,2172;35,7800
65,5920;1,9821;64,9200;2,0038;51,1172;34,8500;64,9200;51,1172;34,8500
66,1820;1,9543;66,0700;1,9689;53,3138;34,0900;66,0700;53,3138;34,0900
67,1720;1,9245;65,7800;1,9519;52,7517;35,8200;65,7800;52,7517;35,8200
67,6480;1,9096;66,8600;1,9225;53,4276;36,6500;66,8600;53,4276;36,6500
68,1060;1,8927;67,9900;1,9085;53,5379;38,4300;67,9900;53,5379;38,4300
68,9320;1,8655;68,3000;1,8824;53,8862;36,7000;68,3000;53,8862;36,7000
68,7880;1,8677;68,4500;1,8735;54,0621;37,3800;68,4500;54,0621;37,3800
69,0120;1,8668;68,4400;1,8733;54,4345;37,4000;68,4400;54,4345;37,4000
69,3340;1,8545;68,7300;1,8733;54,3000;38,3700;68,7300;54,3000;38,3700
69,5380;1,8422;68,8500;1,8686;54,4103;38,2700;68,8500;54,4103;38,2700
61,1660;2,1216;60,0900;2,2262;45,3379;32,5500;60,0900;45,3379;32,5500
60,6660;2,1304;59,9500;2,1914;46,0345;32,2000;59,9500;46,0345;32,2000
61,3860;2,1180;60,4300;2,1752;48,5828;32,1000;60,4300;48,5828;32,1000
61,8540;2,0959;61,7800;2,1023;48,0448;30,2000;61,7800;48,0448;30,2000
62,5960;2,0713;60,0600;2,2010;47,4931;31,0100;60,0600;47,4931;31,0100
63,0140;2,0594;60,9800;2,1040;47,0517;30,0500;60,9800;47,0517;30,0500
63,5220;2,0438;64,4100;2,0768;48,9000;38,7200;64,4100;48,9000;38,7200
64,4140;2,0125;63,6800;2,0433;49,9276;35,9800;63,6800;49,9276;35,9800
65,1100;1,9815;64,5300;2,0178;50,3931;37,3700;64,5300;50,3931;37,3700
65,1840;1,9844;63,7600;2,1033;47,5793;38,2800;63,7600;47,5793;38,2800
65,3020;1,9782;64,5600;2,0231;49,9759;37,0700;64,5600;49,9759;37,0700
66,4260;1,9431;65,6700;1,9853;50,6069;37,9800;65,6700;50,6069;37,9800
66,5520;1,9380;66,0800;1,9725;49,6448;38,8600;66,0800;49,6448;38,8600
66,8720;1,9226;65,9000;1,9505;50,6793;36,0000;65,9000;50,6793;36,0000
67,2280;1,9122;66,1000;1,9696;51,9034;38,0700;66,1000;51,9034;38,0700
68,2200;1,8761;65,7200;1,9798;48,9276;36,1100;65,7200;48,9276;36,1100
68,0920;1,8805;67,3400;1,9116;51,2069;38,7700;67,3400;51,2069;38,7700
68,6040;1,8589;68,7500;1,8562;53,1793;40,4400;68,7500;53,1793;40,4400
68,8420;1,8493;68,6900;1,8730;52,5103;38,0400;68,6900;52,5103;38,0400
69,4300;1,8383;68,8100;1,8414;54,4897;37,7900;68,8100;54,4897;37,7900
69,5580;1,8265;69,1600;1,8622;52,4517;41,1400;69,1600;52,4517;41,1400
70,0180;1,8115;68,7900;1,8604;53,6448;40,1900;68,7900;53,6448;40,1900
70,1000;1,8058;70,1300;1,8437;54,1483;42,0300;70,1300;54,1483;42,0300
70,9920;1,7812;71,4200;1,7674;55,3448;41,5800;71,4200;55,3448;41,5800
71,2160;1,7709;70,6800;1,8177;53,2828;42,8200;70,6800;53,2828;42,8200
71,6520;1,7560;69,6800;1,8191;53,7379;40,5400;69,6800;53,7379;40,5400
71,9980;1,7455;71,3500;1,7783;56,0448;42,8200;71,3500;56,0448;42,8200
72,0540;1,7400;71,6500;1,7522;56,8966;42,2300;71,6500;56,8966;42,2300
72,9500;1,7181;71,9300;1,7641;54,5793;43,1200;71,9300;54,5793;43,1200
72,8580;1,7126;72,7000;1,7528;54,6414;44,7600;72,7000;54,6414;44,7600
73,5980;1,6948;72,1600;1,7375;55,9966;43,9000;72,1600;55,9966;43,9000
73,7660;1,6835;71,1800;1,7721;53,2310;44,2200;71,1800;53,2310;44,2200
73,8180;1,6811;72,7600;1,7146;54,9931;43,3300;72,7600;54,9931;43,3300
74,4240;1,6627;73,4800;1,6985;57,3207;43,7700;73,4800;57,3207;43,7700
74,6960;1,6548;74,1500;1,6871;57,3448;45,8600;74,1500;57,3448;45,8600
74,9560;1,6430;73,9700;1,6932;55,2552;45,8100;73,9700;55,2552;45,8100
74,7980;1,6440;74,1500;1,6830;55,7793;44,9400;74,1500;55,7793;44,9400
75,3640;1,6308;74,6500;1,6580;58,8276;45,7000;74,6500;58,8276;45,7000
75,8720;1,6178;74,5900;1,6597;55,5345;44,8100;74,5900;55,5345;44,8100
76,0920;1,6044;74,7300;1,6572;57,9483;45,5500;74,7300;57,9483;45,5500
