train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
4,7300;4,3917;10,1400;4,1209;10,7103;10,1400;10,7103
10,9760;4,0538;17,3200;3,7699;12,5172;17,3200;12,5172
17,8060;3,7244;23,1700;3,5408;22,2552;23,1700;22,2552
24,7860;3,4282;30,3500;3,2069;25,5862;30,3500;25,5862
30,6580;3,2005;36,1100;3,0494;28,7931;36,1100;28,7931
35,0160;3,0305;40,9700;2,8620;33,9517;40,9700;33,9517
38,9940;2,8936;40,8400;2,9383;33,4552;40,8400;33,4552
41,9020;2,7855;43,0700;2,8030;32,4345;43,0700;32,4345
44,2560;2,7040;46,7500;2,6665;39,3034;46,7500;39,3034
46,9740;2,6191;49,4800;2,5597;38,9241;49,4800;38,9241
48,3180;2,5677;49,2400;2,5311;35,5448;49,2400;35,5448
49,9280;2,5070;53,8700;2,3882;42,6345;53,8700;42,6345
51,1720;2,4607;51,8400;2,4419;41,2000;51,8400;41,2000
52,3760;2,4199;56,1000;2,3757;45,5448;56,1000;45,5448
53,9200;2,3586;56,7500;2,3172;44,3034;56,7500;44,3034
55,0420;2,3286;56,6600;2,3306;41,9034;56,6600;41,9034
56,3240;2,2887;58,6000;2,2254;43,4207;58,6000;43,4207
57,4500;2,2392;59,1500;2,2101;45,2345;59,1500;45,2345
58,5600;2,2140;61,4100;2,1539;46,8138;61,4100;46,8138
58,6520;2,2018;61,5800;2,1229;45,3172;61,5800;45,3172
59,8240;2,1592;62,6000;2,0902;48,6759;62,6000;48,6759
60,5960;2,1358;63,3800;2,0917;50,4621;63,3800;50,4621
61,8100;2,0893;63,2000;2,0798;47,5241;63,2000;47,5241
61,7600;2,0935;63,8500;2,0901;49,6552;63,8500;49,6552
62,7260;2,0646;64,3000;2,0380;48,8207;64,3000;48,8207
63,5740;2,0488;64,7700;2,0273;49,4552;64,7700;49,4552
63,4560;2,0360;65,3700;2,0130;50,7310;65,3700;50,7310
64,0520;2,0171;65,1200;2,0064;50,1517;65,1200;50,1517
64,1320;2,0205;65,3100;2,0012;50,4552;65,3100;50,4552
64,5760;2,0028;65,3600;2,0064;50,2552;65,3600;50,2552
55,2520;2,3128;55,8400;2,3305;46,9034;55,8400;46,9034
55,3380;2,3071;56,1300;2,3702;43,8759;56,1300;43,8759
55,8500;2,2920;57,2800;2,2862;46,5655;57,2800;46,5655
56,8880;2,2610;59,7000;2,2392;44,0759;59,7000;44,0759
57,4840;2,2396;59,5000;2,2301;45,1931;59,5000;45,1931
57,6460;2,2348;61,2200;2,2044;48,8897;61,2200;48,8897
58,6440;2,2007;59,6600;2,2302;45,2759;59,6600;45,2759
58,9020;2,1862;61,5900;2,1942;44,1310;61,5900;44,1310
59,6580;2,1655;61,0500;2,1879;46,0552;61,0500;46,0552
59,7940;2,1509;62,3500;2,1438;47,5724;62,3500;47,5724
60,4900;2,1381;64,1500;2,0979;46,2414;64,1500;46,2414
61,2580;2,1078;60,0700;2,1939;44,4276;60,0700;44,4276
61,3140;2,0980;61,4800;2,1612;44,6069;61,4800;44,6069
62,3980;2,0659;64,1200;2,0586;47,6759;64,1200;47,6759
62,6040;2,0582;64,0500;2,0550;49,1655;64,0500;49,1655
63,8900;2,0260;65,3600;2,0214;48,5241;65,3600;48,5241
63,2140;2,0397;65,6000;2,0032;53,4621;65,6000;53,4621
63,7920;2,0190;66,8300;1,9579;52,8552;66,8300;52,8552
64,4640;1,9966;66,8300;1,9724;47,4345;66,8300;47,4345
64,9300;1,9805;64,9500;2,0424;52,2138;64,9500;52,2138
65,3640;1,9705;67,4300;1,9317;51,1655;67,4300;51,1655
65,7160;1,9535;66,8100;1,9554;52,1586;66,8100;52,1586
65,5740;1,9533;68,3200;1,9170;52,1310;68,3200;52,1310
66,4340;1,9262;67,9800;1,9163;51,4690;67,9800;51,4690
66,8780;1,9099;68,3500;1,9147;52,0138;68,3500;52,0138
67,0260;1,9060;68,7700;1,9130;52,0897;68,7700;52,0897
67,3840;1,8841;69,0400;1,8960;52,0207;69,0400;52,0207
67,8320;1,8831;70,2500;1,8682;53,6483;70,2500;53,6483
68,1420;1,8631;69,4400;1,8430;54,0138;69,4400;54,0138
68,9900;1,8425;70,1200;1,8624;55,2828;70,1200;55,2828
68,4080;1,8427;70,6600;1,8260;57,1241;70,6600;57,1241
69,2320;1,8305;70,5200;1,8366;55,4621;70,5200;55,4621
69,4840;1,8160;71,7400;1,7984;56,6000;71,7400;56,6000
69,9500;1,8037;71,7200;1,7888;54,5724;71,7200;54,5724
70,6460;1,7890;70,8600;1,8211;55,9517;70,8600;55,9517
70,5580;1,7801;71,9500;1,7841;55,7448;71,9500;55,7448
71,1480;1,7683;72,7500;1,7579;57,0483;72,7500;57,0483
71,8840;1,7465;72,8000;1,7329;55,2138;72,8000;55,2138
71,5400;1,7456;72,8700;1,7400;56,4690;72,8700;56,4690
72,2840;1,7303;73,1200;1,7285;55,7862;73,1200;55,7862
72,3600;1,7262;73,4800;1,7320;57,3241;73,4800;57,3241
72,9660;1,7118;73,6200;1,7189;57,1793;73,6200;57,1793
72,7240;1,7089;73,6700;1,7082;57,3103;73,6700;57,3103
73,2080;1,6944;73,9900;1,7054;58,7448;73,9900;58,7448
73,5920;1,6777;74,2900;1,7049;58,4345;74,2900;58,4345
73,8780;1,6739;74,4600;1,7048;57,7793;74,4600;57,7793
74,1880;1,6677;74,4800;1,6729;58,8690;74,4800;58,8690
74,6700;1,6502;74,6800;1,6807;58,1241;74,6800;58,1241
74,7100;1,6503;74,9700;1,6690;59,1586;74,9700;59,1586
74,6280;1,6490;75,0100;1,6712;59,4483;75,0100;59,4483
75,1380;1,6326;75,6100;1,6589;59,4897;75,6100;59,4897
75,5020;1,6257;75,5400;1,6656;59,2276;75,5400;59,2276
75,6040;1,6228;75,7900;1,6541;59,9448;75,7900;59,9448
