time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
24,5071;6,6380;4,2426;10,1300;4,0015;9,0207;10,1300;9,0207
50,9191;12,8100;3,9311;19,5400;3,6349;18,3862;19,5400;18,3862
77,9092;18,0540;3,6841;21,2100;3,6226;18,5793;21,2100;18,5793
103,1842;22,6160;3,4934;31,3900;3,1186;25,9586;31,3900;25,9586
129,1520;25,8860;3,3371;30,9300;3,2073;24,5103;30,9300;24,5103
155,9593;29,0620;3,2124;36,3900;3,0152;30,6828;36,3900;30,6828
181,3141;31,9740;3,1024;42,5800;2,7681;32,2966;42,5800;32,2966
206,5325;34,1580;3,0086;45,0100;2,6625;30,2207;45,0100;30,2207
232,5949;36,4340;2,9290;46,9800;2,5924;34,9034;46,9800;34,9034
258,5156;38,5600;2,8479;49,2500;2,5173;37,1517;49,2500;37,1517
283,7925;40,3720;2,7837;53,0300;2,4214;39,2552;53,0300;39,2552
309,3630;42,4520;2,7114;53,8800;2,3581;41,0483;53,8800;41,0483
335,1114;43,9500;2,6591;53,6100;2,3798;40,2759;53,6100;40,2759
360,3532;45,4760;2,6025;56,4100;2,2977;43,5586;56,4100;43,5586
386,4760;46,8440;2,5543;58,9300;2,2110;44,1103;58,9300;44,1103
413,4623;47,8880;2,5180;59,6500;2,1820;46,3586;59,6500;46,3586
438,7888;49,1860;2,4789;60,4400;2,1694;45,4759;60,4400;45,4759
464,2634;49,5860;2,4556;59,9000;2,1554;46,9793;59,9000;46,9793
491,7394;50,4340;2,4330;61,0900;2,1374;47,5448;61,0900;47,5448
517,6819;50,5840;2,4228;61,4000;2,1301;47,3862;61,4000;47,3862
542,4995;41,4880;2,7435;52,5100;2,4054;38,1103;52,5100;38,1103
568,2869;41,9100;2,7276;52,1500;2,4062;37,5310;52,1500;37,5310
594,6337;43,0960;2,6862;54,1200;2,3608;40,5448;54,1200;40,5448
619,7082;44,2600;2,6461;54,3700;2,3755;40,7310;54,3700;40,7310
646,6801;45,2480;2,6117;57,1800;2,2522;46,0276;57,1800;46,0276
673,2038;46,1680;2,5743;58,9400;2,2311;49,3931;58,9400;49,3931
698,3366;47,3380;2,5381;58,9600;2,2199;46,0000;58,9600;46,0000
724,0436;48,3140;2,5059;59,8200;2,2308;45,4897;59,8200;45,4897
751,0149;49,4800;2,4694;61,2200;2,1701;46,8207;61,2200;46,8207
777,0413;50,2400;2,4368;61,9900;2,1486;51,4414;61,9900;51,4414
801,8752;50,7660;2,4123;62,1900;2,1439;49,4828;62,1900;49,4828
828,9104;51,7100;2,3887;63,4200;2,1290;47,3034;63,4200;47,3034
855,4343;52,5660;2,3527;64,3600;2,0764;48,9310;64,3600;48,9310
880,6305;53,1620;2,3365;63,4500;2,1019;50,4966;63,4500;50,4966
907,5066;54,3100;2,3017;66,1300;2,0317;49,5241;66,1300;49,5241
933,6738;54,9580;2,2753;65,1000;2,0374;53,3793;65,1000;53,3793
958,9347;55,7580;2,2492;67,0300;1,9657;52,2069;67,0300;52,2069
984,5951;56,4620;2,2230;65,7000;2,0348;49,3517;65,7000;49,3517
1011,1932;57,3160;2,2016;67,0500;2,0055;50,1172;67,0500;50,1172
1036,2959;57,7820;2,1817;68,1300;1,9815;52,6966;68,1300;52,6966
1061,3301;58,6780;2,1530;68,6800;1,9403;52,9724;68,6800;52,9724
1087,3357;59,5540;2,1300;69,8500;1,9222;54,2276;69,8500;54,2276
1113,4740;60,1140;2,1052;70,0500;1,9147;53,8759;70,0500;53,8759
1138,9848;60,6580;2,0862;69,9200;1,9026;55,7586;69,9200;55,7586
1165,8681;61,6420;2,0613;70,9000;1,8851;55,5724;70,9000;55,5724
1192,2342;62,5100;2,0362;71,6400;1,9004;55,4966;71,6400;55,4966
1217,6392;63,0540;2,0171;71,4000;1,8665;55,2414;71,4000;55,2414
1243,3817;63,4040;2,0022;72,1000;1,8501;55,4828;72,1000;55,4828
1269,8561;64,0600;1,9823;73,0000;1,8470;55,8276;73,0000;55,8276
1295,4702;64,8200;1,9591;72,7500;1,8219;55,4138;72,7500;55,4138
1321,7150;64,9620;1,9469;72,9200;1,8160;57,1172;72,9200;57,1172
1349,0773;65,9160;1,9304;73,4900;1,8024;55,9862;73,4900;55,9862
1374,9642;66,2860;1,9101;74,0700;1,8019;57,6138;74,0700;57,6138
1399,7688;67,0320;1,8920;73,8600;1,7835;57,1517;73,8600;57,1517
1426,2891;66,9940;1,8865;74,0500;1,7799;56,8621;74,0500;56,8621
1452,2800;67,3160;1,8800;74,4600;1,7862;58,0690;74,4600;58,0690
1476,9805;67,6300;1,8700;74,5500;1,7856;57,9103;74,5500;57,9103
1502,9036;67,8700;1,8659;74,5200;1,7829;57,7310;74,5200;57,7310
1529,5336;67,6840;1,8666;74,6400;1,7727;57,7793;74,6400;57,7793
1554,5548;68,0760;1,8610;74,8100;1,7828;58,1655;74,8100;58,1655
1580,7738;56,9780;2,2100;64,7100;2,0737;47,6276;64,7100;47,6276
1607,3352;55,8260;2,2468;67,3000;1,9957;51,4000;67,3000;51,4000
1633,0574;56,1160;2,2348;66,3700;2,0054;48,8345;66,3700;48,8345
1658,8940;56,4340;2,2298;66,5300;1,9764;47,1172;66,5300;47,1172
1686,0869;56,6440;2,2178;67,9600;1,9669;50,1379;67,9600;50,1379
1712,4053;57,1160;2,2036;67,4700;2,0015;51,2207;67,4700;51,2207
1737,5758;57,0500;2,1952;67,8800;1,9275;53,1241;67,8800;53,1241
1764,4526;57,5520;2,1816;68,6900;1,9401;51,8000;68,6900;51,8000
1791,2389;57,9920;2,1695;68,5300;1,9697;51,1862;68,5300;51,1862
1816,5033;58,4720;2,1597;68,2500;1,9549;47,9517;68,2500;47,9517
1842,4844;58,8740;2,1454;68,5900;1,9513;53,0621;68,5900;53,0621
1869,1525;59,1480;2,1383;69,3400;1,8779;53,6345;69,3400;53,6345
1895,3606;59,4380;2,1246;69,5300;1,8907;51,5586;69,5300;51,5586
1921,5617;59,7840;2,1107;69,7900;1,8711;55,0414;69,7900;55,0414
1949,1778;60,1060;2,0988;70,8100;1,8462;50,7241;70,8100;50,7241
1975,7455;60,5880;2,0934;70,3900;1,8565;53,0759;70,3900;53,0759
2000,9326;60,8980;2,0724;70,7800;1,8660;53,8759;70,7800;53,8759
2027,2862;61,3960;2,0665;70,1600;1,8829;53,9310;70,1600;53,9310
2053,5478;61,6180;2,0540;70,8300;1,8893;55,3448;70,8300;55,3448
2078,4098;62,0640;2,0410;70,4300;1,8592;52,4483;70,4300;52,4483
2104,8454;62,5140;2,0257;71,6800;1,8242;53,8345;71,6800;53,8345
2131,1372;62,7300;2,0203;72,3800;1,8213;55,0000;72,3800;55,0000
2157,0517;62,9240;2,0092;71,5600;1,8488;52,8000;71,5600;52,8000
2183,9242;63,3660;1,9974;71,2000;1,8378;54,2414;71,2000;54,2414
2212,1107;63,3540;1,9929;72,4900;1,8173;52,8483;72,4900;52,8483
2238,6358;64,1020;1,9778;72,0200;1,8001;53,7793;72,0200;53,7793
2264,8175;64,2460;1,9688;72,9300;1,7778;57,6483;72,9300;57,6483
2292,4281;64,8580;1,9501;72,6800;1,7925;54,8345;72,6800;54,8345
2319,0259;65,3160;1,9411;72,7300;1,8114;54,7103;72,7300;54,7103
2344,1680;65,4460;1,9299;73,2800;1,7615;58,0345;73,2800;58,0345
2370,7825;65,7200;1,9227;73,1800;1,7752;53,4759;73,1800;53,4759
2397,4068;65,9680;1,9148;74,2300;1,7517;56,1793;74,2300;56,1793
2422,6781;66,4160;1,9005;74,4500;1,7560;56,8138;74,4500;56,8138
2450,3856;66,7540;1,8878;73,5900;1,7408;53,0276;73,5900;53,0276
2477,0296;67,0880;1,8765;73,5900;1,7438;55,6414;73,5900;55,6414
2502,4495;67,3680;1,8716;74,2700;1,7368;56,6552;74,2700;56,6552
2528,4932;67,4320;1,8671;74,0300;1,7231;55,2759;74,0300;55,2759
2555,3218;67,9480;1,8528;75,4800;1,6957;56,2345;75,4800;56,2345
2581,2652;68,3760;1,8427;74,7200;1,7291;58,8966;74,7200;58,8966
2606,7578;68,9280;1,8287;74,9300;1,7179;57,8069;74,9300;57,8069
2632,9320;69,2940;1,8173;74,9700;1,6999;57,9586;74,9700;57,9586
2659,1119;69,7340;1,7981;75,3300;1,7032;57,6552;75,3300;57,6552
2684,8350;69,5520;1,7956;75,2200;1,7035;56,2000;75,2200;56,2000
2710,8425;70,2220;1,7850;76,1600;1,6582;60,3586;76,1600;60,3586
2737,5762;70,6080;1,7730;75,7000;1,6785;57,4621;75,7000;57,4621
2763,0493;71,1920;1,7625;76,2500;1,6665;58,8345;76,2500;58,8345
2789,1291;71,3400;1,7524;76,5200;1,6678;56,5931;76,5200;56,5931
2816,0395;71,6400;1,7384;76,2500;1,6603;56,4828;76,2500;56,4828
2841,9460;72,1480;1,7265;77,2300;1,6291;60,1862;77,2300;60,1862
2867,0280;72,3580;1,7214;77,2500;1,6403;60,0690;77,2500;60,0690
2894,8159;72,7020;1,7102;77,1100;1,6341;59,2690;77,1100;59,2690
2921,6177;73,1360;1,6966;76,9500;1,6303;58,4345;76,9500;58,4345
2946,7525;73,3800;1,6857;77,4100;1,6150;60,1172;77,4100;60,1172
2972,7637;73,4940;1,6871;77,4800;1,6356;61,3655;77,4800;61,3655
2998,7064;74,1420;1,6652;77,6900;1,6254;61,0966;77,6900;61,0966
3024,0906;74,5720;1,6556;77,7900;1,6254;61,2759;77,7900;61,2759
3050,3652;74,6440;1,6554;78,0400;1,6007;61,8552;78,0400;61,8552
3077,4056;75,1920;1,6398;78,0700;1,6018;62,0000;78,0700;62,0000
3102,8625;74,9400;1,6374;78,3400;1,5777;60,2483;78,3400;60,2483
3128,2535;75,7080;1,6249;78,7400;1,5779;61,7655;78,7400;61,7655
3154,7399;76,1280;1,6154;78,3700;1,5934;61,9655;78,3700;61,9655
3181,0434;76,3080;1,6050;78,9200;1,5824;62,1517;78,9200;62,1517
3205,7693;76,4700;1,5945;78,7900;1,5821;61,9586;78,7900;61,9586
3232,1289;76,6160;1,5938;79,2200;1,5799;61,8552;79,2200;61,8552
3259,5326;76,9540;1,5848;79,1700;1,5685;63,0000;79,1700;63,0000
3284,7219;76,9100;1,5844;78,9700;1,5692;62,7379;78,9700;62,7379
3310,6198;77,3360;1,5722;78,8600;1,5782;61,9724;78,8600;61,9724
3337,0190;77,3680;1,5692;79,1300;1,5542;62,6483;79,1300;62,6483
3363,2403;77,5540;1,5644;79,4300;1,5503;63,1586;79,4300;63,1586
3388,0550;78,2220;1,5518;79,2700;1,5633;62,4690;79,2700;62,4690
3414,4062;78,0940;1,5511;79,4700;1,5441;62,6897;79,4700;62,6897
3440,7100;78,0480;1,5497;79,4800;1,5452;63,5241;79,4800;63,5241
3465,9594;78,5440;1,5367;79,3700;1,5516;63,2966;79,3700;63,2966
3492,4249;78,3920;1,5432;79,2200;1,5515;63,0000;79,2200;63,0000
3518,9822;78,5900;1,5374;79,3700;1,5386;63,5379;79,3700;63,5379
3544,5298;78,4520;1,5391;79,5700;1,5420;63,4966;79,5700;63,4966
3570,0325;78,6360;1,5345;79,5500;1,5370;63,1034;79,5500;63,1034
3596,9741;79,0060;1,5294;79,4600;1,5555;62,8207;79,4600;62,8207
3622,5380;78,7580;1,5329;79,5500;1,5472;63,2897;79,5500;63,2897
3648,0195;78,5300;1,5339;79,4800;1,5479;63,1172;79,4800;63,1172
3674,4831;65,7040;1,9200;71,7800;1,8263;56,4069;71,7800;56,4069
3701,4072;64,2960;1,9639;71,6500;1,8429;55,6276;71,6500;55,6276
3727,0265;64,1060;1,9658;70,6900;1,8326;56,1241;70,6900;56,1241
3753,3186;64,1760;1,9679;71,8200;1,8178;57,8621;71,8200;57,8621
3779,4230;64,1820;1,9737;71,8000;1,8212;51,6621;71,8000;51,6621
3804,8854;64,3460;1,9619;71,6000;1,8213;53,0621;71,6000;53,0621
3831,2886;64,6020;1,9574;72,1500;1,7555;54,3793;72,1500;54,3793
3857,7494;64,6120;1,9535;72,8000;1,7760;54,1172;72,8000;54,1172
3884,1201;64,8820;1,9511;72,4900;1,7916;56,1034;72,4900;56,1034
3910,5840;64,9660;1,9397;72,3400;1,8072;54,4690;72,3400;54,4690
3938,4846;65,4220;1,9373;72,5400;1,8101;53,3931;72,5400;53,3931
3971,3276;65,3860;1,9313;72,1300;1,8277;55,2000;72,1300;55,2000
3997,5738;65,4540;1,9241;73,7500;1,7188;57,0414;73,7500;57,0414
4025,2514;65,6140;1,9233;73,9900;1,7350;57,0621;73,9900;57,0621
4052,6449;65,8540;1,9162;72,1500;1,8022;57,8000;72,1500;57,8000
4078,4231;65,7340;1,9187;72,8000;1,7561;52,7793;72,8000;52,7793
4105,2227;66,2680;1,9132;73,1400;1,7468;57,6276;73,1400;57,6276
4131,2963;66,0960;1,9107;72,0900;1,7697;52,1931;72,0900;52,1931
4156,2981;66,3220;1,9001;74,3700;1,7335;56,3448;74,3700;56,3448
4181,8066;66,4720;1,8963;73,9600;1,7406;56,9517;73,9600;56,9517
4207,8975;66,4420;1,8994;73,9200;1,7324;55,7103;73,9200;55,7103
4233,8750;66,9780;1,8834;74,0500;1,7454;56,8069;74,0500;56,8069
4260,2803;67,2480;1,8806;73,0000;1,7913;55,1379;73,0000;55,1379
4286,8894;67,0480;1,8819;72,3500;1,7577;54,8000;72,3500;54,8000
4313,2728;67,1900;1,8731;73,8300;1,7303;57,0552;73,8300;57,0552
4340,2145;67,5280;1,8684;73,9700;1,7215;55,8483;73,9700;55,8483
4365,7997;67,8740;1,8568;73,6300;1,7397;57,9172;73,6300;57,9172
4391,8101;67,6240;1,8607;74,3000;1,7115;58,1103;74,3000;58,1103
4417,0611;67,6800;1,8548;73,3700;1,7037;56,4552;73,3700;56,4552
4442,1317;68,3140;1,8421;73,4600;1,7484;57,1586;73,4600;57,1586
4469,2588;68,1120;1,8454;73,7100;1,7244;57,8828;73,7100;57,8828
4496,3364;68,4560;1,8364;74,1800;1,7139;56,4138;74,1800;56,4138
4522,6334;68,3480;1,8321;73,9300;1,7263;58,8690;73,9300;58,8690
4549,3969;68,4200;1,8329;74,6100;1,7144;57,0759;74,6100;57,0759
4575,3902;68,7640;1,8277;74,4300;1,7351;57,0552;74,4300;57,0552
4600,7839;68,8320;1,8224;73,8500;1,7371;55,8138;73,8500;55,8138
4625,7567;69,1560;1,8166;74,4500;1,7309;57,7103;74,4500;57,7103
4651,6867;69,2340;1,8129;75,2300;1,7162;58,4552;75,2300;58,4552
4678,1488;69,2840;1,8076;74,4700;1,7256;56,8000;74,4700;56,8000
4703,9374;69,3560;1,8062;74,9800;1,6690;55,7931;74,9800;55,7931
4730,7611;70,0060;1,7933;74,9100;1,7138;59,4690;74,9100;59,4690
4757,1259;69,6800;1,7936;75,5100;1,6971;53,6897;75,5100;53,6897
4782,5355;69,8240;1,7912;74,1800;1,7339;58,0828;74,1800;58,0828
4808,6076;70,3460;1,7824;73,8300;1,7265;56,1586;73,8300;56,1586
4836,2938;70,4600;1,7791;75,4600;1,6799;57,0138;75,4600;57,0138
4862,3406;70,5600;1,7719;75,8400;1,6797;60,9655;75,8400;60,9655
4888,3705;70,5840;1,7701;74,7900;1,7325;57,6552;74,7900;57,6552
4915,0863;71,0440;1,7593;75,8700;1,6989;58,7517;75,8700;58,7517
4941,8442;71,0920;1,7554;74,5500;1,6975;58,2690;74,5500;58,2690
4967,1277;70,8300;1,7622;74,6100;1,7056;55,7448;74,6100;55,7448
4993,4025;71,2100;1,7540;73,9600;1,7311;56,3862;73,9600;56,3862
5020,4747;71,4140;1,7444;75,5600;1,6780;56,0345;75,5600;56,0345
5046,2083;71,6700;1,7398;75,5500;1,6633;59,2552;75,5500;59,2552
5071,5588;71,4740;1,7455;75,8300;1,6635;59,8345;75,8300;59,8345
5098,5528;71,9840;1,7332;76,4300;1,6514;59,5103;76,4300;59,5103
5124,6823;72,0300;1,7285;75,7300;1,6745;56,0483;75,7300;56,0483
5149,7637;71,9840;1,7290;75,4000;1,6774;59,2897;75,4000;59,2897
5175,8642;71,9240;1,7300;75,1600;1,6936;59,2069;75,1600;59,2069
5201,7095;72,3400;1,7141;76,4900;1,6411;58,7931;76,4900;58,7931
5226,5499;72,5820;1,7096;75,6600;1,6669;58,0483;75,6600;58,0483
5251,7778;72,4960;1,7129;76,1600;1,6430;59,8345;76,1600;59,8345
5278,3500;72,5520;1,7067;76,3500;1,6652;59,4276;76,3500;59,4276
5303,9030;73,2080;1,6930;76,7500;1,6575;57,2828;76,7500;57,2828
5328,6747;73,1720;1,6920;75,3500;1,6565;58,4690;75,3500;58,4690
5355,0169;73,4480;1,6872;76,0600;1,6842;62,4000;76,0600;62,4000
5381,4417;73,5320;1,6835;76,5200;1,6600;57,8966;76,5200;57,8966
5406,9839;73,4660;1,6784;76,9400;1,6266;58,5517;76,9400;58,5517
5432,9917;73,7860;1,6689;76,3200;1,6427;58,6345;76,3200;58,6345
5459,1903;73,8460;1,6667;77,0500;1,6163;59,1379;77,0500;59,1379
5484,8249;74,0040;1,6672;76,5600;1,6745;58,1931;76,5600;58,1931
5510,3440;74,2820;1,6563;76,3800;1,6404;55,9241;76,3800;55,9241
5536,7714;74,2500;1,6576;76,6700;1,6221;59,5793;76,6700;59,5793
5562,7796;74,4660;1,6547;77,0300;1,6306;61,2000;77,0300;61,2000
5587,7802;74,1940;1,6523;76,2600;1,6315;59,6552;76,2600;59,6552
5613,9412;74,8160;1,6380;76,6500;1,6083;61,0000;76,6500;61,0000
5640,1956;74,7820;1,6434;76,2400;1,6239;58,1310;76,2400;58,1310
5665,8185;74,9980;1,6322;76,3700;1,6486;58,5724;76,3700;58,5724
5691,0103;75,3620;1,6242;77,5500;1,6214;60,5172;77,5500;60,5172
5717,8352;75,4640;1,6262;77,5600;1,6084;61,1655;77,5600;61,1655
5744,3400;75,5820;1,6197;77,0700;1,6090;62,1931;77,0700;62,1931
5769,6943;75,5280;1,6190;77,3300;1,6175;61,4690;77,3300;61,4690
5795,8280;75,8880;1,6091;77,0200;1,6166;61,5103;77,0200;61,5103
5822,4874;76,0680;1,6075;77,4900;1,6070;60,0207;77,4900;60,0207
5847,7931;76,0920;1,5983;77,5900;1,5858;61,1241;77,5900;61,1241
5872,8672;76,3780;1,6000;76,8900;1,6264;58,8621;76,8900;58,8621
