;config_162_avg
Standard_Acc;73,0100
RMSCE;0,0221
gaussian_noise;50,9040
shot_noise;53,1840
impulse_noise;57,4720
defocus_blur;69,5520
glass_blur;59,1480
motion_blur;65,9140
zoom_blur;67,8620
snow;64,5940
frost;65,6700
fog;65,1680
brightness;70,3300
contrast;61,8980
elastic_transform;65,2220
pixelate;69,2320
jpeg_compression;59,7960
speckle_noise;51,0180
gaussian_blur;67,7280
spatter;64,5040
saturate;67,1040
blue_noise;56,6980
brownish_noise;34,5800
checkerboard_cutout;53,1620
circular_motion_blur;63,0480
inverse_sparkles;45,3620
lines;48,2960
pinch_and_twirl;68,1360
ripple;63,7320
sparkles;56,0860
transverse_chromatic_abberation;56,3960
Acc_C-all-19;62,9632
Acc_C-original-15;63,0631
Acc_C-bar-10;54,5496
Acc_all-ex-pixelwise-noise-24;61,3550
RMSCE_C;0,0513
Combined_Noise;48,2500
