time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
39,6796;6,4200;4,2844;10,9600;3,9259;9,0621;10,9600;9,0621
99,9136;12,1220;3,9720;19,3800;3,5798;16,0207;19,3800;16,0207
160,9132;18,4760;3,6795;24,0900;3,4234;19,3862;24,0900;19,3862
224,2454;23,0300;3,4751;36,1100;2,9874;27,5793;36,1100;27,5793
284,9353;27,6660;3,2920;38,0800;2,8297;27,9379;38,0800;27,9379
348,7235;31,1140;3,1510;40,3500;2,8398;29,3793;40,3500;29,3793
401,9310;33,9760;3,0483;41,1900;2,8259;28,5586;41,1900;28,5586
443,0628;36,9280;2,9445;48,3800;2,5911;35,1724;48,3800;35,1724
496,6466;39,0200;2,8550;50,8800;2,4800;36,0828;50,8800;36,0828
552,5382;41,0020;2,7890;52,9500;2,3846;38,4897;52,9500;38,4897
614,7687;43,0880;2,7211;54,7700;2,3528;39,8552;54,7700;39,8552
674,4088;44,8740;2,6522;56,0300;2,3369;41,1103;56,0300;41,1103
734,9710;46,5460;2,5978;57,4700;2,2530;41,8483;57,4700;41,8483
796,6181;48,0740;2,5453;60,2200;2,1489;44,4000;60,2200;44,4000
859,2038;49,4640;2,4984;61,3200;2,1388;44,2759;61,3200;44,2759
905,0970;50,6660;2,4548;61,8900;2,1143;44,9931;61,8900;44,9931
944,9228;51,8380;2,4116;62,1800;2,1057;46,2552;62,1800;46,2552
1001,7793;52,5280;2,3920;63,1100;2,0825;46,6690;63,1100;46,6690
1057,8584;53,0000;2,3742;63,6300;2,0605;47,5862;63,6300;47,5862
1119,3146;53,6960;2,3598;63,8600;2,0417;47,7793;63,8600;47,7793
1177,9427;43,9040;2,6923;51,0400;2,5059;34,8759;51,0400;34,8759
1239,7976;44,1840;2,6767;55,2900;2,3827;40,2483;55,2900;40,2483
1300,3530;45,2760;2,6420;55,6300;2,3125;39,7103;55,6300;39,7103
1358,0504;46,4580;2,6045;57,8400;2,2634;41,4483;57,8400;41,4483
1394,7820;47,4540;2,5615;55,8300;2,4137;40,2414;55,8300;40,2414
1446,4651;48,3120;2,5327;60,1700;2,1858;42,5241;60,1700;42,5241
1505,1112;49,5580;2,4933;61,0600;2,1431;43,3103;61,0600;43,3103
1567,5214;50,3280;2,4617;60,0200;2,1544;43,7655;60,0200;43,7655
1626,9400;50,9960;2,4406;62,5500;2,1446;46,2138;62,5500;46,2138
1689,3429;51,8640;2,4063;64,5200;2,0576;46,9379;64,5200;46,9379
1748,2694;52,9120;2,3712;64,2400;2,0393;47,4759;64,2400;47,4759
1805,1745;53,7620;2,3447;65,0500;2,0524;46,4207;65,0500;46,4207
1847,4444;54,4460;2,3220;66,4300;2,0152;48,9517;66,4300;48,9517
1897,3743;55,0180;2,3018;66,2300;1,9839;48,8966;66,2300;48,8966
1948,7209;55,6820;2,2798;66,4700;1,9914;48,4966;66,4700;48,4966
2010,4317;56,7260;2,2484;67,9300;1,9428;50,0000;67,9300;50,0000
2071,8350;57,5140;2,2257;68,6300;1,9384;50,5379;68,6300;50,5379
2134,1503;58,4880;2,1965;69,6700;1,9374;51,2759;69,6700;51,2759
2194,9877;58,9880;2,1672;68,2700;1,9455;49,7034;68,2700;49,7034
2249,1892;59,7440;2,1518;69,9500;1,9170;51,9931;69,9500;51,9931
2288,2707;60,0380;2,1307;70,7100;1,8746;52,2138;70,7100;52,2138
2337,8156;61,1720;2,1025;71,8400;1,8521;54,2069;71,8400;54,2069
2397,9588;62,0960;2,0721;71,8600;1,8248;53,7931;71,8600;53,7931
2443,9918;62,2820;2,0646;72,7600;1,8276;53,5931;72,7600;53,5931
2507,3945;63,1900;2,0429;72,7300;1,8201;54,6552;72,7300;54,6552
2561,8469;63,9780;2,0103;72,9600;1,8155;54,4759;72,9600;54,4759
2602,2237;64,7820;1,9867;73,7800;1,7912;55,3724;73,7800;55,3724
2649,9452;65,2560;1,9738;73,1000;1,8154;55,0414;73,1000;55,0414
2710,8354;65,6180;1,9598;74,2700;1,7964;56,4138;74,2700;56,4138
2763,8092;66,1680;1,9475;74,7200;1,7706;55,6897;74,7200;55,6897
2823,6209;66,9180;1,9131;74,5000;1,7799;55,9172;74,5000;55,9172
2881,7695;67,3480;1,9066;75,0400;1,7604;57,0207;75,0400;57,0207
2935,6897;68,0220;1,8854;75,3100;1,7487;57,2276;75,3100;57,2276
2985,5843;68,3640;1,8750;75,4600;1,7560;57,1379;75,4600;57,1379
3031,3112;68,6280;1,8671;75,5900;1,7336;57,6828;75,5900;57,6828
3086,0815;69,1640;1,8507;75,5000;1,7397;57,4138;75,5000;57,4138
3146,2528;69,0720;1,8543;75,9500;1,7412;57,8828;75,9500;57,8828
3203,7005;69,3700;1,8414;75,8200;1,7324;57,8069;75,8200;57,8069
3266,2146;69,4040;1,8377;75,8200;1,7300;57,6276;75,8200;57,6276
3326,8206;69,6600;1,8350;76,1400;1,7360;57,8690;76,1400;57,8690
3384,0482;58,7900;2,1859;65,5700;2,0154;48,0966;65,5700;48,0966
3425,5671;57,2080;2,2251;66,5200;1,9762;48,6069;66,5200;48,6069
3481,0642;57,3820;2,2172;68,0800;1,9785;49,1586;68,0800;49,1586
3527,5571;57,7020;2,2104;66,9800;1,9718;49,0345;66,9800;49,0345
3588,0157;58,2100;2,2007;68,2600;1,9296;51,3517;68,2600;51,3517
3647,9184;58,7100;2,1850;68,4600;1,9355;50,8552;68,4600;50,8552
3709,0769;58,5380;2,1840;68,2900;1,9476;49,5172;68,2900;49,5172
3760,2919;58,8540;2,1678;69,8800;1,8779;51,4621;69,8800;51,4621
3806,9759;59,4940;2,1529;70,0200;1,8763;51,1172;70,0200;51,1172
3865,3977;59,9380;2,1398;68,8500;1,9123;50,7034;68,8500;50,7034
3925,1638;60,2680;2,1289;69,5400;1,9103;51,0138;69,5400;51,0138
3983,4265;61,0040;2,1055;69,1700;1,8886;51,3862;69,1700;51,3862
4045,0008;60,9480;2,1102;69,0000;1,9020;51,0069;69,0000;51,0069
4104,7299;61,5080;2,0866;70,0300;1,8501;51,5655;70,0300;51,5655
4154,4275;61,6500;2,0778;71,0800;1,8728;51,8690;71,0800;51,8690
4201,8513;61,9840;2,0701;71,6000;1,8303;53,4138;71,6000;53,4138
4243,7135;62,2160;2,0612;70,9200;1,8648;52,1931;70,9200;52,1931
4304,2302;62,8260;2,0402;71,3700;1,8015;52,7241;71,3700;52,7241
4366,6484;63,2140;2,0393;72,0000;1,7832;53,4552;72,0000;53,4552
4425,3093;63,6820;2,0228;72,3300;1,7798;52,9862;72,3300;52,9862
4489,2262;63,7500;2,0122;72,6600;1,8024;55,1724;72,6600;55,1724
4545,9366;63,8640;2,0072;72,6000;1,7901;54,8000;72,6000;54,8000
4601,2623;64,4420;1,9982;72,8100;1,7766;53,8690;72,8100;53,8690
4642,2776;64,3080;1,9872;72,3000;1,7893;54,6000;72,3000;54,6000
4697,3049;64,8520;1,9768;72,2300;1,7919;53,6621;72,2300;53,6621
4758,4918;65,3700;1,9631;73,4500;1,7249;55,8552;73,4500;55,8552
4819,1332;65,9120;1,9458;73,6000;1,7660;56,1241;73,6000;56,1241
4880,7734;66,4200;1,9399;72,8900;1,7670;54,9517;72,8900;54,9517
4938,7392;66,3920;1,9289;73,3500;1,7484;54,4345;73,3500;54,4345
5001,3602;66,9940;1,9148;73,5700;1,7367;54,7103;73,5700;54,7103
5058,3320;67,0000;1,9084;74,1300;1,7038;56,5724;74,1300;56,5724
5106,9336;67,2640;1,9005;74,9700;1,7133;56,0621;74,9700;56,0621
5154,2373;67,8800;1,8896;73,9900;1,7089;55,2414;73,9900;55,2414
5218,5429;67,9640;1,8798;74,5400;1,7510;55,6000;74,5400;55,6000
5277,4864;68,5120;1,8623;75,1700;1,7117;56,9862;75,1700;56,9862
5339,1666;68,9660;1,8548;74,8100;1,6876;56,5310;74,8100;56,5310
5398,3348;69,0560;1,8452;75,2100;1,6960;57,7172;75,2100;57,7172
5461,5595;69,4480;1,8340;75,4300;1,6806;56,9310;75,4300;56,9310
5516,7713;70,1420;1,8151;75,6800;1,6782;57,0690;75,6800;57,0690
5558,7281;70,3500;1,8098;75,6700;1,6969;58,0069;75,6700;58,0069
5607,0400;70,6980;1,7962;75,1100;1,6771;57,5655;75,1100;57,5655
5662,0260;71,0500;1,7840;75,0100;1,6813;57,8345;75,0100;57,8345
5724,7660;71,2120;1,7806;75,7500;1,6837;57,8414;75,7500;57,8414
5784,1840;71,5420;1,7729;75,7700;1,6856;58,6828;75,7700;58,6828
5847,8233;72,0300;1,7560;76,7200;1,6485;59,8276;76,7200;59,8276
5907,3728;72,2100;1,7493;75,9100;1,6564;57,8483;75,9100;57,8483
5958,0154;72,6000;1,7465;76,4900;1,6414;58,2138;76,4900;58,2138
5998,7827;72,6900;1,7330;77,4000;1,6232;60,1103;77,4000;60,1103
6059,6991;73,2000;1,7138;77,5700;1,6148;60,4552;77,5700;60,4552
6121,5508;73,5500;1,7123;77,4800;1,6232;60,4621;77,4800;60,4621
6183,1866;73,8420;1,7000;77,7900;1,6059;60,1586;77,7900;60,1586
6245,1245;74,4120;1,6868;77,4400;1,6205;59,8414;77,4400;59,8414
6299,5297;74,9440;1,6720;77,8200;1,6142;60,0552;77,8200;60,0552
6346,5714;74,6480;1,6791;78,2100;1,5947;61,3310;78,2100;61,3310
6402,5573;75,1960;1,6603;78,0800;1,5913;60,6483;78,0800;60,6483
6444,0773;75,4020;1,6540;78,6800;1,5808;60,8207;78,6800;60,8207
6498,4434;75,8640;1,6406;78,9500;1,5972;60,4483;78,9500;60,4483
6560,8228;75,9180;1,6403;78,8200;1,5871;61,3103;78,8200;61,3103
6622,3586;76,4340;1,6223;78,7700;1,5871;60,0828;78,7700;60,0828
6685,1997;76,4620;1,6203;79,0300;1,5713;60,8897;79,0300;60,8897
6747,3945;76,6760;1,6135;78,8100;1,5652;61,4621;78,8100;61,4621
6798,1301;76,8780;1,6064;78,9300;1,5601;61,6621;78,9300;61,6621
6837,0750;77,2640;1,5949;79,4800;1,5580;61,8828;79,4800;61,8828
6890,6518;77,6780;1,5815;79,3500;1,5512;62,0414;79,3500;62,0414
6947,3226;77,9960;1,5743;79,4700;1,5614;62,4483;79,4700;62,4483
7007,1547;77,6340;1,5842;79,4400;1,5433;62,2621;79,4400;62,2621
7068,1075;78,3080;1,5706;79,2300;1,5465;62,2552;79,2300;62,2552
7129,5421;78,3240;1,5654;79,6200;1,5443;62,5517;79,6200;62,5517
7191,7463;78,7160;1,5562;79,5800;1,5312;62,7379;79,5800;62,7379
7248,7471;78,8300;1,5491;79,7700;1,5383;63,1241;79,7700;63,1241
7288,1580;78,6420;1,5553;79,8200;1,5438;62,8690;79,8200;62,8690
7345,6031;78,8340;1,5500;79,6700;1,5377;62,9103;79,6700;62,9103
7403,2876;79,1720;1,5398;79,7700;1,5394;62,9724;79,7700;62,9724
7465,7520;79,0120;1,5431;79,8500;1,5262;62,9724;79,8500;62,9724
7525,9964;79,1340;1,5394;80,0100;1,5311;62,8000;80,0100;62,8000
7588,1957;79,5540;1,5287;80,0100;1,5336;62,9034;80,0100;62,9034
7644,9771;79,5080;1,5320;80,0400;1,5324;63,0414;80,0400;63,0414
7690,0491;79,6060;1,5297;79,9200;1,5297;62,7034;79,9200;62,7034
7748,7479;79,1560;1,5374;79,7700;1,5325;62,9103;79,7700;62,9103
7788,4028;79,3860;1,5345;79,8600;1,5271;62,7103;79,8600;62,7103
7849,8232;67,3000;1,8996;71,7000;1,8004;53,5724;71,7000;53,5724
7910,8216;65,8380;1,9476;70,9200;1,8215;51,4000;70,9200;51,4000
7973,9122;65,6680;1,9496;72,5500;1,7522;55,9103;72,5500;55,9103
8033,7762;65,3420;1,9603;72,8500;1,8024;55,5172;72,8500;55,5172
8095,0147;65,6120;1,9477;70,8900;1,8570;51,7862;70,8900;51,7862
8144,4789;65,8440;1,9449;72,3900;1,7819;52,2690;72,3900;52,2690
8184,6552;65,8460;1,9479;71,4500;1,8200;53,6207;71,4500;53,6207
8237,9211;66,1000;1,9432;73,0700;1,7813;55,8138;73,0700;55,8138
8294,4750;66,3220;1,9348;72,4400;1,7804;54,0759;72,4400;54,0759
8353,1755;66,2060;1,9373;71,4800;1,8000;52,3724;71,4800;52,3724
8410,1748;66,5060;1,9220;72,7400;1,7831;54,9517;72,7400;54,9517
8471,0101;66,7120;1,9216;72,3700;1,7803;54,1586;72,3700;54,1586
8534,1344;66,8060;1,9140;72,2900;1,8071;53,9103;72,2900;53,9103
8588,2976;66,8260;1,9130;72,7400;1,7562;55,1655;72,7400;55,1655
8643,4633;66,9000;1,9069;73,0700;1,7527;54,8621;73,0700;54,8621
8687,7732;67,2040;1,8998;73,7300;1,7589;56,3310;73,7300;56,3310
8731,5574;67,7540;1,8921;73,1500;1,7695;54,5172;73,1500;54,5172
8793,9289;67,3280;1,8968;74,1800;1,7130;56,3724;74,1800;56,3724
8856,2431;67,7580;1,8821;73,4300;1,7552;56,2138;73,4300;56,2138
8919,8664;67,7880;1,8873;74,1500;1,7194;55,2276;74,1500;55,2276
8981,9740;68,2000;1,8762;73,2200;1,7501;54,4345;73,2200;54,4345
