;config_344_avg;config_344_std;config_344_run_0;config_344_run_1;config_344_run_2;config_344_run_3;config_344_run_4
Standard_Acc;33,2440;40,7156;0,0000;0,0000;0,0000;82,9100;83,3100
RMSCE;0,0084;0,0103;0,0000;0,0000;0,0000;0,0220;0,0200
gaussian_noise;22,3400;27,3639;0,0000;0,0000;0,0000;56,5000;55,2000
shot_noise;24,3000;29,7687;0,0000;0,0000;0,0000;61,8000;59,7000
impulse_noise;26,2000;32,0893;0,0000;0,0000;0,0000;65,1000;65,9000
defocus_blur;31,2200;38,2403;0,0000;0,0000;0,0000;78,9000;77,2000
glass_blur;25,2600;30,9547;0,0000;0,0000;0,0000;64,8000;61,5000
motion_blur;28,8000;35,2727;0,0000;0,0000;0,0000;71,9000;72,1000
zoom_blur;30,3800;37,2190;0,0000;0,0000;0,0000;74,5000;77,4000
snow;28,0600;34,3754;0,0000;0,0000;0,0000;71,4000;68,9000
frost;30,9600;37,9257;0,0000;0,0000;0,0000;78,6000;76,2000
fog;30,6400;37,5296;0,0000;0,0000;0,0000;77,4000;75,8000
brightness;32,9400;40,3431;0,0000;0,0000;0,0000;82,4000;82,3000
contrast;31,2800;38,3105;0,0000;0,0000;0,0000;77,9000;78,5000
elastic_transform;28,2400;34,5870;0,0000;0,0000;0,0000;70,8000;70,4000
pixelate;24,9800;30,6366;0,0000;0,0000;0,0000;65,0000;59,9000
jpeg_compression;23,7000;29,0285;0,0000;0,0000;0,0000;58,7000;59,8000
speckle_noise;24,8200;30,4069;0,0000;0,0000;0,0000;63,2000;60,9000
gaussian_blur;28,6200;35,0597;0,0000;0,0000;0,0000;72,7000;70,4000
spatter;30,5400;37,4332;0,0000;0,0000;0,0000;78,7000;74,0000
saturate;30,5000;37,3660;0,0000;0,0000;0,0000;77,7000;74,8000
blue_noise;26,8000;32,8232;0,0000;0,0000;0,0000;66,9000;67,1000
brownish_noise;17,0000;20,8553;0,0000;0,0000;0,0000;44,4000;40,6000
checkerboard_cutout;27,8200;34,0777;0,0000;0,0000;0,0000;68,6000;70,5000
circular_motion_blur;29,9600;36,7040;0,0000;0,0000;0,0000;73,5000;76,3000
inverse_sparkles;17,8800;21,9095;0,0000;0,0000;0,0000;45,8000;43,6000
lines;22,1600;27,1463;0,0000;0,0000;0,0000;56,3000;54,5000
pinch_and_twirl;30,8000;37,7235;0,0000;0,0000;0,0000;76,5000;77,5000
ripple;25,8000;31,6061;0,0000;0,0000;0,0000;63,4000;65,6000
sparkles;27,9000;34,1781;0,0000;0,0000;0,0000;70,9000;68,6000
transverse_chromatic_abberation;20,2000;24,7722;0,0000;0,0000;0,0000;52,5000;48,5000
Acc_C-all-19;28,0937;34,4106;0,0000;0,0000;0,0000;70,9474;69,5211
Acc_C-original-15;27,9533;34,2371;0,0000;0,0000;0,0000;70,3800;69,3867
Acc_C-bar-10;24,6320;30,1685;0,0000;0,0000;0,0000;61,8800;61,2800
Acc_all-ex-pixelwise-noise-24;27,3183;33,4601;0,0000;0,0000;0,0000;68,8875;67,7042
RMSCE_C;0,0365;0,0448;0,0000;0,0000;0,0000;0,0878;0,0948
Combined_Noise;27,6100;33,8178;0,0000;0,0000;0,0000;69,6900;68,3600
