;config_471_avg;config_471_std;config_471_run_0;config_471_run_1;config_471_run_2;config_471_run_3;config_471_run_4
Standard_Acc;82,5620;0,1714;82,5100;82,3600;82,8800;82,5200;82,5400
RMSCE;0,0199;0,0034;0,0230;0,0165;0,0248;0,0192;0,0163
gaussian_noise;62,5200;1,1856;64,1000;61,0000;63,6000;61,5000;62,4000
shot_noise;65,1800;2,1976;64,8000;64,6000;69,1000;62,3000;65,1000
impulse_noise;64,4800;2,1160;68,3000;63,4000;63,0000;62,5000;65,2000
defocus_blur;77,6400;0,5783;77,3000;77,8000;76,7000;78,3000;78,1000
glass_blur;64,9200;1,1771;64,1000;64,1000;66,4000;66,3000;63,7000
motion_blur;73,4000;0,4858;72,9000;73,6000;74,2000;73,4000;72,9000
zoom_blur;74,2200;1,0852;73,4000;74,6000;74,0000;73,0000;76,1000
snow;71,0200;1,5211;68,5000;71,9000;73,1000;70,7000;70,9000
frost;75,5600;2,4532;73,4000;73,1000;78,0000;79,0000;74,3000
fog;76,7200;1,2608;75,7000;75,0000;76,8000;78,5000;77,6000
brightness;80,7200;0,8727;79,8000;79,6000;81,8000;81,0000;81,4000
contrast;76,8600;0,8309;76,4000;77,7000;75,9000;78,0000;76,3000
elastic_transform;72,0800;1,0496;72,9000;72,2000;73,2000;71,9000;70,2000
pixelate;68,8200;0,4915;68,8000;68,2000;68,6000;69,7000;68,8000
jpeg_compression;61,0600;1,1056;60,8000;59,8000;63,0000;61,4000;60,3000
speckle_noise;64,8600;2,8310;69,5000;60,6000;64,4000;65,2000;64,6000
gaussian_blur;68,9400;2,4565;68,6000;66,6000;72,5000;70,9000;66,1000
spatter;75,6600;1,5869;73,7000;75,2000;77,2000;77,8000;74,4000
saturate;76,5400;1,2722;77,1000;74,7000;76,6000;78,5000;75,8000
blue_noise;62,1600;2,4179;62,4000;57,6000;62,4000;64,2000;64,2000
brownish_noise;42,6600;2,3855;45,1000;40,2000;45,7000;40,0000;42,3000
checkerboard_cutout;68,0000;0,9381;66,8000;67,4000;69,2000;67,6000;69,0000
circular_motion_blur;75,3800;0,9579;76,3000;76,1000;75,3000;73,6000;75,6000
inverse_sparkles;44,9400;1,7625;42,8000;44,1000;45,2000;48,1000;44,5000
lines;55,6000;1,5582;53,7000;54,8000;58,4000;55,4000;55,7000
pinch_and_twirl;75,9000;0,7127;75,5000;76,2000;76,6000;74,7000;76,5000
ripple;67,6000;0,8075;68,8000;66,5000;67,6000;67,0000;68,1000
sparkles;68,0000;0,8922;66,6000;68,8000;67,6000;69,1000;67,9000
transverse_chromatic_abberation;53,1200;1,6290;55,1000;50,8000;53,3000;54,6000;51,8000
Acc_C-all-19;71,1158;0,6306;71,0579;70,1947;72,0053;71,5737;70,7474
Acc_C-original-15;71,0133;0,4692;70,7467;70,4400;71,8267;71,1667;70,8867
Acc_C-bar-10;61,3360;0,6115;61,3100;60,2500;62,1300;61,4300;61,5600
Acc_all-ex-pixelwise-noise-24;68,5567;0,6126;68,0875;67,8750;69,4542;69,1042;68,2625
RMSCE_C;0,0738;0,0036;0,0736;0,0806;0,0712;0,0706;0,0730
Combined_Noise;70,1380;0,6285;69,9800;69,0100;70,8000;70,6000;70,3000
