time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
57,4172;8,3140;4,1336;14,0300;3,9056;12,4000;14,0300;12,4000
115,3345;19,3440;3,6079;20,1400;3,6975;16,6138;20,1400;16,6138
170,7759;29,2660;3,2001;25,9300;3,6274;18,5448;25,9300;18,5448
226,3235;37,4980;2,9047;33,6100;3,2415;24,6414;33,6100;24,6414
277,2062;43,3100;2,7106;39,6700;2,9623;29,2276;39,6700;29,2276
329,4458;47,8640;2,5584;43,5300;2,8455;32,4828;43,5300;32,4828
380,7285;50,9620;2,4630;44,8400;2,8398;31,8207;44,8400;31,8207
428,6381;53,7660;2,3636;48,1300;2,6650;38,7793;48,1300;38,7793
480,6264;55,2980;2,3121;50,2200;2,5703;38,1241;50,2200;38,1241
532,4528;58,0660;2,2140;51,6500;2,5675;39,0552;51,6500;39,0552
584,2850;59,6360;2,1701;54,0400;2,4445;40,2069;54,0400;40,2069
637,1213;61,0260;2,1223;55,5400;2,3913;41,4828;55,5400;41,4828
691,2646;62,1820;2,0752;57,1200;2,3831;42,4621;57,1200;42,4621
742,0693;63,6700;2,0273;58,7500;2,3166;44,0138;58,7500;44,0138
800,5661;64,4480;2,0026;58,2800;2,3064;42,4414;58,2800;42,4414
852,7113;64,8320;1,9839;58,7400;2,3058;43,7379;58,7400;43,7379
904,2531;67,0420;1,9171;60,7200;2,2499;45,3862;60,7200;45,3862
955,8870;67,0740;1,9126;61,2200;2,2112;46,3862;61,2200;46,3862
1006,9805;67,6600;1,9000;60,9800;2,2019;46,3655;60,9800;46,3655
1062,7718;67,2820;1,9071;61,3300;2,2064;46,8759;61,3300;46,8759
1115,8734;58,9500;2,1731;49,5900;2,6221;36,8138;49,5900;36,8138
1171,4734;59,6860;2,1581;55,2200;2,4355;41,7448;55,2200;41,7448
1226,6287;60,6100;2,1256;52,3200;2,5642;38,0276;52,3200;38,0276
1277,9308;61,4820;2,0948;56,4000;2,3418;43,3172;56,4000;43,3172
