;config_508_avg
Standard_Acc;79,1500
RMSCE;0,0224
gaussian_noise;48,6480
shot_noise;56,1800
impulse_noise;63,4000
defocus_blur;76,2100
glass_blur;47,5200
motion_blur;70,0580
zoom_blur;72,4660
snow;66,8920
frost;66,4740
fog;72,2780
brightness;76,2880
contrast;70,6980
elastic_transform;66,4440
pixelate;58,3260
jpeg_compression;63,6280
speckle_noise;58,0660
gaussian_blur;74,1700
spatter;73,8020
saturate;73,2740
blue_noise;68,1600
brownish_noise;49,8700
checkerboard_cutout;59,4540
circular_motion_blur;76,1040
inverse_sparkles;41,1400
lines;51,2880
pinch_and_twirl;68,0480
ripple;56,0860
sparkles;64,2440
transverse_chromatic_abberation;65,6860
Acc_C-all-19;66,0433
Acc_C-original-15;65,0340
Acc_C-bar-10;60,0080
Acc_all-ex-pixelwise-noise-24;65,0187
RMSCE_C;0,0767
Combined_Noise;62,0800
