train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,7920;4,2370;12,5900;3,9325;12,0897;12,5900;12,0897
13,2540;3,9065;18,6800;3,7908;14,5241;18,6800;14,5241
18,5940;3,6489;21,2000;3,7762;20,2690;21,2000;20,2690
23,0640;3,4570;28,1700;3,2527;22,5931;28,1700;22,5931
26,8000;3,2997;36,3400;3,0285;31,6897;36,3400;31,6897
29,4980;3,1852;39,7400;2,8430;30,3931;39,7400;30,3931
32,4160;3,0782;41,7000;2,8620;35,6828;41,7000;35,6828
34,7500;2,9886;44,7000;2,6408;35,2414;44,7000;35,2414
37,2420;2,9078;47,4700;2,5499;40,0690;47,4700;40,0690
38,8180;2,8353;50,7700;2,4312;40,1172;50,7700;40,1172
40,8980;2,7660;51,6600;2,3725;39,0138;51,6600;39,0138
42,3040;2,7144;53,9100;2,3509;42,4690;53,9100;42,4690
44,2200;2,6534;55,7200;2,3028;45,5724;55,7200;45,5724
45,3820;2,6056;54,7600;2,3024;41,9931;54,7600;41,9931
46,8600;2,5661;57,7500;2,2317;45,8276;57,7500;45,8276
47,6540;2,5254;59,2100;2,1699;46,0621;59,2100;46,0621
49,0080;2,4816;59,8500;2,1552;47,0069;59,8500;47,0069
49,4400;2,4645;59,8900;2,1549;45,4345;59,8900;45,4345
50,2960;2,4422;60,3900;2,1241;46,2000;60,3900;46,2000
50,7600;2,4252;60,8600;2,1268;47,2966;60,8600;47,2966
41,5200;2,7371;51,5100;2,4663;38,1103;51,5100;38,1103
41,8300;2,7339;53,8200;2,3938;45,7655;53,8200;45,7655
42,7820;2,7007;56,0400;2,2849;40,1724;56,0400;40,1724
43,8940;2,6571;54,8600;2,3392;42,7931;54,8600;42,7931
45,0860;2,6196;55,5200;2,3630;44,1379;55,5200;44,1379
46,0060;2,5806;57,8300;2,2476;44,0414;57,8300;44,0414
46,8560;2,5469;58,2600;2,2132;47,7655;58,2600;47,7655
47,8640;2,5228;59,7000;2,2026;43,0621;59,7000;43,0621
48,8120;2,4876;61,5200;2,1528;47,9103;61,5200;47,9103
