time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
46,7417;6,1640;4,3113;11,9600;3,9502;10,2828;11,9600;10,2828
41,4456;13,6780;3,9297;16,6100;3,8561;14,4828;16,6100;14,4828
40,8308;20,9033;3,6076;28,3500;3,3664;22,3448;28,3500;22,3448
80,9371;26,8763;3,3712;31,8100;3,2623;25,5655;31,8100;25,5655
34,9831;32,7847;3,1243;35,0300;3,1443;27,5793;35,0300;27,5793
39,1168;34,7823;3,0668;43,3600;2,7581;33,3931;43,3600;33,3931
36,2383;39,8687;2,8634;46,8100;2,5949;35,1310;46,8100;35,1310
71,7910;42,8840;2,7592;50,4600;2,4725;37,7310;50,4600;37,7310
107,6222;45,6591;2,6607;50,2300;2,5215;36,7655;50,2300;36,7655
37,6425;48,2657;2,5833;53,2200;2,4267;38,6138;53,2200;38,6138
74,6681;50,0580;2,5275;56,3200;2,2679;43,0759;56,3200;43,0759
112,3611;51,4522;2,4711;57,0900;2,2865;44,0690;57,0900;44,0690
149,3839;53,5406;2,4085;59,2400;2,2251;44,2966;59,2400;44,2966
187,2451;54,9088;2,3583;60,3400;2,1566;45,6897;60,3400;45,6897
225,2366;55,6309;2,3258;61,2700;2,1239;46,6276;61,2700;46,6276
264,5143;57,0171;2,2751;62,1700;2,0885;47,2345;62,1700;47,2345
303,4035;57,9113;2,2490;62,1500;2,1022;48,6276;62,1500;48,6276
340,7497;58,8414;2,2213;63,6900;2,0359;48,8897;63,6900;48,8897
377,7846;59,0755;2,2095;63,7100;2,0381;49,3724;63,7100;49,3724
415,1735;59,4675;2,1965;63,5700;2,0412;49,1310;63,5700;49,1310
452,4237;50,7521;2,4929;53,5300;2,3810;38,6621;53,5300;38,6621
490,7264;50,8361;2,4906;57,3700;2,2644;41,6414;57,3700;41,6414
528,5583;52,0983;2,4461;56,0400;2,2966;42,3655;56,0400;42,3655
565,5219;52,9005;2,4198;58,2700;2,2254;43,6276;58,2700;43,6276
602,4305;54,0406;2,3827;58,5500;2,2683;42,9724;58,5500;42,9724
639,2113;54,6007;2,3586;60,4700;2,2005;44,9379;60,4700;44,9379
676,7832;55,5229;2,3260;60,6200;2,1621;46,1034;60,6200;46,1034
713,9664;56,2530;2,2957;60,9400;2,1654;45,0690;60,9400;45,0690
751,4066;56,9351;2,2807;61,7400;2,1443;45,8552;61,7400;45,8552
788,3832;57,9593;2,2391;63,5800;2,0377;48,3379;63,5800;48,3379
824,8902;58,7554;2,2098;64,5000;2,0341;49,2414;64,5000;49,2414
38,2703;57,4984;2,2648;62,5200;2,1000;47,3310;62,5200;47,3310
76,4022;58,3453;2,2347;65,4900;1,9873;49,9793;65,4900;49,9793
116,0393;58,7538;2,2143;65,4600;1,9998;49,5655;65,4600;49,5655
34,3620;59,8445;2,1628;65,4700;2,0022;49,9241;65,4700;49,9241
68,6072;60,0148;2,1481;67,3400;1,9495;51,2966;67,3400;51,2966
103,7611;61,1332;2,1177;67,0200;1,9328;49,8552;67,0200;49,8552
138,8148;61,5119;2,1022;67,5600;1,9608;52,1793;67,5600;52,1793
173,1010;62,2254;2,0711;68,4900;1,8976;51,5103;68,4900;51,5103
208,0907;63,0652;2,0593;69,5600;1,8874;52,1034;69,5600;52,1034
243,6670;63,4520;2,0391;69,9500;1,8562;52,9586;69,9500;52,9586
278,3573;64,1915;2,0124;70,8400;1,8539;53,4483;70,8400;53,4483
31,6004;65,3780;1,9696;70,8800;1,8362;53,5655;70,8800;53,5655
28,9125;65,7173;1,9378;71,5700;1,8143;54,8759;71,5700;54,8759
58,2050;66,6513;1,9064;72,1800;1,7807;55,2897;72,1800;55,2897
