;config_1_avg
Standard_Acc;80,8500
RMSCE;0,0114
gaussian_noise;60,0200
shot_noise;64,3280
impulse_noise;66,0820
defocus_blur;75,4780
glass_blur;63,0480
motion_blur;70,5180
zoom_blur;72,5600
snow;71,2260
frost;71,8180
fog;74,1660
brightness;79,2680
contrast;75,0860
elastic_transform;70,5400
pixelate;68,2240
jpeg_compression;59,4520
speckle_noise;64,6300
gaussian_blur;73,1960
spatter;73,6520
saturate;74,6360
blue_noise;63,6280
brownish_noise;43,6260
checkerboard_cutout;67,4300
circular_motion_blur;74,2760
inverse_sparkles;45,6140
lines;55,1240
pinch_and_twirl;74,8040
ripple;64,0820
sparkles;68,0180
transverse_chromatic_abberation;47,0760
Acc_C-all-19;69,8909
Acc_C-original-15;69,4543
Acc_C-bar-10;60,3678
Acc_all-ex-pixelwise-noise-24;67,2049
RMSCE_C;0,0417
Combined_Noise;69,7800
