;config_7_avg
Standard_Acc;82,5400
RMSCE;0,0122
gaussian_noise;60,6020
shot_noise;64,7460
impulse_noise;67,8600
defocus_blur;77,2220
glass_blur;65,3120
motion_blur;72,3140
zoom_blur;74,6540
snow;73,4140
frost;72,9820
fog;76,0520
brightness;80,7420
contrast;76,3520
elastic_transform;72,2460
pixelate;70,0380
jpeg_compression;61,8340
speckle_noise;65,6300
gaussian_blur;75,2420
spatter;75,7460
saturate;76,5360
blue_noise;70,4860
brownish_noise;45,9920
checkerboard_cutout;69,3940
circular_motion_blur;75,9720
inverse_sparkles;46,9300
lines;57,0380
pinch_and_twirl;76,4620
ripple;65,5840
sparkles;69,6700
transverse_chromatic_abberation;51,2960
Acc_C-all-19;71,5539
Acc_C-original-15;71,0913
Acc_C-bar-10;62,8824
Acc_all-ex-pixelwise-noise-24;69,1260
RMSCE_C;0,0348
Combined_Noise;71,6000
