train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
7,6260;4,1981;12,4300;3,9396;9,1310;12,4300;9,1310
14,8340;3,8241;22,3200;3,4737;17,8000;22,3200;17,8000
21,6100;3,5109;26,7200;3,4163;20,0483;26,7200;20,0483
26,7420;3,2938;30,4400;3,1753;20,1310;30,4400;20,1310
31,2920;3,1157;38,2500;2,8523;25,9310;38,2500;25,9310
34,8220;2,9742;41,0800;2,7791;26,9517;41,0800;26,9517
38,2980;2,8569;45,5200;2,6213;28,9655;45,5200;28,9655
41,0560;2,7606;46,8900;2,6098;33,1379;46,8900;33,1379
43,5360;2,6749;53,6800;2,3576;31,5379;53,6800;31,5379
45,5080;2,5960;52,1700;2,4119;31,9448;52,1700;31,9448
47,8280;2,5215;55,8500;2,2937;35,5931;55,8500;35,5931
49,7400;2,4554;56,5000;2,2705;37,2207;56,5000;37,2207
51,4440;2,3993;59,3200;2,2028;38,9724;59,3200;38,9724
52,8660;2,3452;61,0900;2,1314;38,8621;61,0900;38,8621
54,4480;2,2920;61,7400;2,1422;41,3793;61,7400;41,3793
55,3920;2,2573;63,2900;2,0692;41,7310;63,2900;41,7310
56,8960;2,2185;64,0100;2,0565;42,5793;64,0100;42,5793
57,9140;2,1868;64,8500;2,0425;44,2069;64,8500;44,2069
58,2600;2,1695;64,8100;2,0305;43,4966;64,8100;43,4966
58,5840;2,1603;64,9700;2,0218;43,6000;64,9700;43,6000
48,1760;2,4987;52,2800;2,4590;32,7724;52,2800;32,7724
48,6700;2,4845;57,2700;2,2633;35,8207;57,2700;35,8207
50,1240;2,4388;55,2700;2,3577;38,5310;55,2700;38,5310
51,2620;2,3998;59,4900;2,1663;42,7241;59,4900;42,7241
52,3020;2,3664;59,8600;2,1746;36,1793;59,8600;36,1793
53,3800;2,3271;60,1600;2,1714;40,1931;60,1600;40,1931
54,1620;2,2953;61,3600;2,1246;38,7724;61,3600;38,7724
55,4840;2,2578;62,4000;2,1100;43,0138;62,4000;43,0138
56,1780;2,2297;63,8000;2,0864;42,7379;63,8000;42,7379
57,1240;2,1974;63,8500;2,0864;42,0414;63,8500;42,0414
57,9140;2,1682;65,7000;2,0195;45,5862;65,7000;45,5862
58,6820;2,1423;65,1900;2,0592;44,5655;65,1900;44,5655
59,9380;2,1114;67,2700;1,9633;44,3724;67,2700;44,3724
60,6460;2,0854;65,1400;2,0386;42,2897;65,1400;42,2897
61,4100;2,0572;67,7000;1,9999;48,2345;67,7000;48,2345
62,3300;2,0328;68,6200;1,9155;46,2621;68,6200;46,2621
63,0720;2,0069;69,2200;1,9352;45,7379;69,2200;45,7379
63,4740;1,9852;69,5600;1,8927;47,5793;69,5600;47,5793
64,5240;1,9610;69,8600;1,8907;48,8690;69,8600;48,8690
65,3260;1,9352;69,8100;1,9022;47,7379;69,8100;47,7379
66,3920;1,9002;70,3700;1,8724;49,4069;70,3700;49,4069
67,1520;1,8817;71,6500;1,8667;48,6828;71,6500;48,6828
67,8880;1,8558;72,2100;1,8352;48,3793;72,2100;48,3793
68,6980;1,8354;71,8800;1,8343;48,3586;71,8800;48,3586
69,2820;1,8117;72,4300;1,8167;48,6552;72,4300;48,6552
69,9620;1,7928;72,6800;1,8298;52,4069;72,6800;52,4069
70,9100;1,7676;73,5100;1,8064;49,6000;73,5100;49,6000
71,3100;1,7488;74,0000;1,7564;50,4621;74,0000;50,4621
71,9720;1,7290;74,4000;1,7518;50,8069;74,4000;50,8069
72,5180;1,7097;74,5700;1,7655;51,4414;74,5700;51,4414
73,3700;1,6941;74,7500;1,7515;50,7862;74,7500;50,7862
73,9100;1,6777;74,8100;1,7573;49,7379;74,8100;49,7379
74,0400;1,6656;75,1400;1,7385;51,2621;75,1400;51,2621
74,7120;1,6510;74,7900;1,7479;51,0345;74,7900;51,0345
75,2800;1,6388;75,5900;1,7285;51,5724;75,5900;51,5724
75,4940;1,6313;75,7000;1,7232;51,6276;75,7000;51,6276
75,7980;1,6244;75,6000;1,7215;51,7172;75,6000;51,7172
76,0860;1,6125;75,6100;1,7226;51,3655;75,6100;51,3655
76,1140;1,6163;75,6800;1,7146;51,8690;75,6800;51,8690
76,2020;1,6131;75,6800;1,7263;50,9793;75,6800;50,9793
63,9820;1,9730;67,3800;1,9544;43,7448;67,3800;43,7448
63,0700;1,9999;68,7800;1,9046;49,8000;68,7800;49,8000
63,0620;1,9957;67,4100;1,9481;44,2000;67,4100;44,2000
63,4040;1,9924;67,6600;1,9459;44,4069;67,6600;44,4069
63,8660;1,9762;68,4300;1,9285;45,1793;68,4300;45,1793
63,9740;1,9722;67,5300;1,9318;46,0621;67,5300;46,0621
64,5840;1,9516;69,4700;1,9102;49,3379;69,4700;49,3379
64,7960;1,9425;68,9500;1,9319;44,5448;68,9500;44,5448
65,4480;1,9296;69,8800;1,8789;45,2069;69,8800;45,2069
65,8700;1,9164;70,1200;1,8763;47,2207;70,1200;47,2207
66,0880;1,9075;69,0100;1,9123;45,2138;69,0100;45,2138
66,4220;1,8938;69,0700;1,9038;46,9448;69,0700;46,9448
66,8180;1,8883;70,1100;1,9154;48,5034;70,1100;48,5034
67,2640;1,8743;69,9900;1,8750;47,9379;69,9900;47,9379
67,5180;1,8604;70,8900;1,8674;47,6966;70,8900;47,6966
