;config_12_avg;config_12_std;config_12_run_0;config_12_run_1;config_12_run_2;config_12_run_3;config_12_run_4
Standard_Acc;81,9080;0,1136;81,8800;82,0600;82,0200;81,8000;81,7800
RMSCE;0,0261;0,0030;0,0289;0,0259;0,0268;0,0203;0,0283
gaussian_noise;43,7352;1,0959;42,4880;44,2200;44,9040;44,7080;42,3560
shot_noise;52,2188;0,9865;51,0520;52,6500;53,1580;53,2160;51,0180
impulse_noise;64,3476;1,4737;62,5540;63,9020;65,4840;66,5640;63,2340
defocus_blur;76,3104;0,3768;76,3260;75,6500;76,8000;76,2840;76,4920
glass_blur;52,0992;1,5161;50,7320;52,0520;54,3280;53,1620;50,2220
motion_blur;69,4888;0,5439;68,8840;69,8420;70,2120;69,6740;68,8320
zoom_blur;73,4740;0,2898;73,4180;73,0260;73,9380;73,4880;73,5000
snow;68,7384;0,6476;67,8100;68,7980;69,5380;69,3160;68,2300
frost;62,1444;1,4749;60,1840;62,6060;63,2140;64,0300;60,6880
fog;73,7488;0,5524;72,9480;74,4340;73,9920;74,1020;73,2680
brightness;80,0624;0,2891;79,9840;80,6260;79,8840;79,9960;79,8220
contrast;76,2728;0,2176;76,3060;76,3660;76,0140;76,6140;76,0640
elastic_transform;70,0364;0,4042;69,6900;69,7320;70,4240;70,6260;69,7100
pixelate;56,8172;1,6563;58,5400;58,8060;56,7900;55,0280;54,9220
jpeg_compression;57,2168;0,9721;56,4840;58,4280;58,3460;56,6900;56,1360
speckle_noise;54,1252;1,0448;53,0220;54,0580;55,2900;55,3280;52,9280
gaussian_blur;74,3616;0,5975;74,4740;73,2360;74,9100;74,3740;74,8140
spatter;73,5120;0,2462;73,4240;73,8000;73,7040;73,5380;73,0940
saturate;74,7000;0,1762;74,8140;74,6320;74,5160;74,9860;74,5520
blue_noise;64,9444;1,5597;63,5100;65,9740;63,7780;67,5260;63,9340
brownish_noise;40,1316;0,7227;40,7280;39,7200;39,9580;41,1400;39,1120
checkerboard_cutout;66,1668;0,5450;65,4880;66,3040;66,6320;65,5780;66,8320
circular_motion_blur;75,3292;0,0660;75,3040;75,3260;75,4120;75,3820;75,2220
inverse_sparkles;37,6104;1,3974;35,3560;38,3900;39,3920;38,1100;36,8040
lines;52,3476;0,4444;51,8440;52,6480;51,8480;52,4280;52,9700
pinch_and_twirl;74,1096;0,3438;73,8780;73,8280;74,5400;74,5180;73,7840
ripple;60,8968;1,0517;61,2100;62,0380;61,5240;58,9700;60,7420
sparkles;65,9076;0,4496;65,3600;66,1720;66,0180;66,5480;65,4400
transverse_chromatic_abberation;44,6308;1,3585;42,9780;43,5780;45,3000;46,8460;44,4520
Acc_C-all-19;65,9689;0,5339;65,4281;66,1507;66,6024;66,4065;65,2569
Acc_C-original-15;65,1141;0,6022;64,4933;65,4092;65,8017;65,5665;64,2996
Acc_C-bar-10;58,2075;0,4067;57,5656;58,3978;58,4402;58,7046;57,9292
Acc_all-ex-pixelwise-noise-24;64,8381;0,3607;64,4235;65,0016;65,3014;65,0595;64,4043
RMSCE_C;0,0873;0,0035;0,0835;0,0860;0,0877;0,0853;0,0938
Combined_Noise;64,6760;0,9274;63,1900;64,7200;64,9700;66,0700;64,4300
