;config_291_avg
Standard_Acc;74,8300
RMSCE;0,0214
gaussian_noise;54,9300
shot_noise;58,0920
impulse_noise;44,2880
defocus_blur;71,2820
glass_blur;60,3800
motion_blur;68,6500
zoom_blur;69,6660
snow;66,4620
frost;67,6760
fog;68,5480
brightness;72,5520
contrast;68,6240
elastic_transform;67,2960
pixelate;69,5120
jpeg_compression;60,5300
speckle_noise;57,0620
gaussian_blur;69,6080
spatter;66,3700
saturate;69,2360
blue_noise;51,8320
brownish_noise;38,7300
checkerboard_cutout;57,0040
circular_motion_blur;68,1700
inverse_sparkles;46,2340
lines;51,3620
pinch_and_twirl;69,8620
ripple;64,3600
sparkles;56,7760
transverse_chromatic_abberation;57,4600
Acc_C-all-19;64,7771
Acc_C-original-15;64,5659
Acc_C-bar-10;56,1790
Acc_all-ex-pixelwise-noise-24;63,5979
RMSCE_C;0,0544
Combined_Noise;57,6800
