time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
26,7235;47,1759;1,6753;62,2222;1,4278;39,4828;62,2222;39,4828
74,8304;63,3194;1,3290;70,0926;1,2086;42,8621;70,0926;42,8621
121,1547;70,4722;1,1796;73,7778;1,1247;41,1034;73,7778;41,1034
151,9815;75,7500;1,0704;80,3889;1,0530;49,5862;80,3889;49,5862
175,5493;79,8750;0,9805;79,4630;1,1115;48,3793;79,4630;48,3793
219,1116;82,2407;0,9229;89,2037;0,8195;55,2414;89,2037;55,2414
265,1530;84,2685;0,8777;90,0556;0,7842;52,3103;90,0556;52,3103
291,7594;86,2963;0,8289;89,9815;0,7753;56,1724;89,9815;56,1724
342,5375;87,5602;0,7994;92,7593;0,7143;56,3448;92,7593;56,3448
372,2845;88,7870;0,7758;93,9074;0,6988;57,2759;93,9074;57,2759
403,0902;82,4861;0,9172;58,1111;1,7110;37,1724;58,1111;37,1724
427,8213;84,0648;0,8808;81,7593;0,9858;48,2069;81,7593;48,2069
468,3837;85,5370;0,8468;91,8519;0,7290;56,6552;91,8519;56,6552
501,5329;85,9259;0,8333;83,5556;0,9286;48,4483;83,5556;48,4483
531,3297;86,9815;0,8151;89,3889;0,8191;53,5517;89,3889;53,5517
619,2481;88,1667;0,7902;84,9259;0,8938;48,9655;84,9259;48,9655
650,0126;88,6944;0,7714;89,7593;0,8031;58,6897;89,7593;58,6897
733,7237;89,4861;0,7526;89,7222;0,7869;52,6552;89,7222;52,6552
777,1406;89,9398;0,7418;89,7963;0,8002;53,6897;89,7963;53,6897
820,9317;90,7685;0,7235;94,1852;0,6992;59,2069;94,1852;59,2069
895,9137;90,9630;0,7156;92,8333;0,7202;56,5172;92,8333;56,5172
972,4022;92,0046;0,6950;96,3519;0,6377;60,8276;96,3519;60,8276
1057,3816;92,1435;0,6896;88,8889;0,8083;52,3103;88,8889;52,3103
1120,6665;92,6019;0,6779;94,9444;0,6578;57,2069;94,9444;57,2069
1172,7643;93,1111;0,6684;96,0000;0,6361;58,7241;96,0000;58,7241
1235,1308;93,5093;0,6589;96,5185;0,6295;60,0000;96,5185;60,0000
1283,1260;93,9398;0,6493;96,2963;0,6317;59,6897;96,2963;59,6897
1354,4905;94,0648;0,6434;96,1296;0,6367;61,2759;96,1296;61,2759
1418,4269;94,3148;0,6408;97,0000;0,6175;61,5517;97,0000;61,5517
1500,9338;94,5509;0,6365;96,7037;0,6215;61,1034;96,7037;61,1034
1553,8377;89,8611;0,7430;91,0741;0,7331;56,1724;91,0741;56,1724
1609,4093;89,8750;0,7392;92,3333;0,7170;56,2069;92,3333;56,2069
1678,9126;90,6389;0,7275;92,5185;0,7073;56,9310;92,5185;56,9310
1751,9145;90,7870;0,7224;93,3889;0,6970;54,7586;93,3889;54,7586
1811,7891;91,4815;0,7083;90,0741;0,7856;55,6552;90,0741;55,6552
1876,0837;91,3843;0,7066;89,9630;0,7956;49,4483;89,9630;49,4483
1914,8723;91,6944;0,7001;95,2222;0,6696;58,6207;95,2222;58,6207
1950,0216;91,6759;0,6955;96,1296;0,6611;59,9655;96,1296;59,9655
2023,4847;92,0046;0,6935;95,7407;0,6376;60,6897;95,7407;60,6897
2105,3071;92,4213;0,6809;93,4259;0,7050;55,0345;93,4259;55,0345
2202,6891;92,6111;0,6757;94,6667;0,6663;57,5517;94,6667;57,5517
2246,2754;92,8426;0,6689;95,2593;0,6483;56,9310;95,2593;56,9310
2315,7081;92,9722;0,6683;95,9259;0,6464;60,8621;95,9259;60,8621
2356,9288;93,0185;0,6646;95,8333;0,6332;59,2069;95,8333;59,2069
2404,8410;93,5046;0,6592;95,3333;0,6338;59,2414;95,3333;59,2414
2467,6587;93,8194;0,6506;96,3333;0,6322;60,0345;96,3333;60,0345
2505,3348;93,8889;0,6465;96,8889;0,6114;60,4828;96,8889;60,4828
2568,5415;93,9213;0,6456;94,3519;0,6773;57,9310;94,3519;57,9310
2599,4806;94,0463;0,6421;94,8333;0,6835;56,2069;94,8333;56,2069
2642,7700;94,3935;0,6342;95,5926;0,6413;56,6552;95,5926;56,6552
2719,2969;94,3796;0,6323;96,1667;0,6316;56,4828;96,1667;56,4828
2808,0015;94,7731;0,6264;96,0370;0,6357;57,7586;96,0370;57,7586
2882,0769;94,8056;0,6235;96,4074;0,6255;59,0690;96,4074;59,0690
2941,9759;95,3935;0,6152;96,7037;0,6203;61,7586;96,7037;61,7586
2974,3906;94,9676;0,6186;96,4630;0,6252;59,4483;96,4630;59,4483
3049,8737;95,5833;0,6074;97,2407;0,5977;61,1379;97,2407;61,1379
3117,3510;95,3843;0,6118;97,5556;0,5931;60,1724;97,5556;60,1724
3202,8967;95,7269;0,6064;97,5185;0,6031;61,1724;97,5185;61,1724
3276,3508;95,9676;0,6011;97,4444;0,5934;59,6897;97,4444;59,6897
3319,1919;95,8009;0,6012;97,7222;0,5912;60,8276;97,7222;60,8276
3356,8124;95,9444;0,5996;97,5741;0,5926;63,0690;97,5741;63,0690
3420,7145;96,2546;0,5937;97,7222;0,5869;62,6207;97,7222;62,6207
3483,6397;96,4398;0,5893;97,6667;0,5889;62,5517;97,6667;62,5517
3560,0780;96,4954;0,5866;97,8148;0,5881;63,0000;97,8148;63,0000
3621,0864;96,6620;0,5847;97,8519;0,5808;62,8276;97,8519;62,8276
3678,3424;96,8102;0,5792;97,6111;0,5876;61,8966;97,6111;61,8966
3745,2572;96,8935;0,5793;97,6852;0,5825;62,6552;97,6852;62,6552
3834,0057;96,5833;0,5836;97,8889;0,5833;62,4828;97,8889;62,4828
3878,8220;96,8148;0,5796;97,8704;0,5820;62,5862;97,8704;62,5862
3949,6051;96,6852;0,5804;97,9074;0,5765;62,8621;97,9074;62,8621
4035,9343;93,0278;0,6679;95,0370;0,6613;59,1379;95,0370;59,1379
4075,7319;93,2917;0,6617;94,6852;0,6576;59,2069;94,6852;59,2069
4162,3956;93,0880;0,6628;93,2037;0,6941;56,2069;93,2037;56,2069
4190,1936;93,5602;0,6552;94,0000;0,6841;54,3793;94,0000;54,3793
4220,1892;93,1898;0,6603;93,7407;0,6977;57,5862;93,7407;57,5862
4254,4747;93,6019;0,6525;94,0370;0,6954;60,3448;94,0370;60,3448
4297,5421;93,8380;0,6436;95,5000;0,6544;58,1379;95,5000;58,1379
4334,9235;93,8981;0,6449;94,0185;0,6752;56,1034;94,0185;56,1034
4432,9636;93,9028;0,6421;96,8519;0,6203;59,9655;96,8519;59,9655
4533,5418;94,1620;0,6394;94,7963;0,6482;57,3103;94,7963;57,3103
4621,4159;93,7870;0,6478;94,4630;0,6615;59,4828;94,4630;59,4828
4662,3985;94,0000;0,6437;95,3148;0,6412;60,1724;95,3148;60,1724
4706,1312;94,3333;0,6369;96,4815;0,6014;56,6207;96,4815;56,6207
4761,5303;94,5833;0,6302;96,0000;0,6237;58,3793;96,0000;58,3793
4846,0188;94,6528;0,6298;95,5926;0,6471;59,6552;95,5926;59,6552
4949,1091;94,5463;0,6324;96,6296;0,6176;61,4483;96,6296;61,4483
5032,7069;94,3426;0,6320;96,7778;0,6194;61,6897;96,7778;61,6897
5079,4933;94,7361;0,6252;96,7037;0,6205;59,7241;96,7037;59,7241
5116,6471;94,6944;0,6239;96,7963;0,6121;59,6552;96,7963;59,6552
5153,7848;94,8657;0,6226;94,4815;0,6721;56,8276;94,4815;56,8276
5203,2911;94,8657;0,6230;95,2407;0,6580;59,5172;95,2407;59,5172
5306,5509;94,7222;0,6243;97,0000;0,5968;62,3793;97,0000;62,3793
5386,8986;95,1759;0,6166;96,7037;0,6057;60,6897;96,7037;60,6897
5459,7358;95,1991;0,6153;97,0926;0,6076;62,7241;97,0926;62,7241
5512,4988;95,2407;0,6157;96,6852;0,6078;61,3448;96,6852;61,3448
5546,7038;95,1065;0,6191;97,0000;0,6091;63,0345;97,0000;63,0345
5635,6229;95,4213;0,6110;96,8704;0,6090;60,8966;96,8704;60,8966
5729,8013;95,3657;0,6103;96,7037;0,6128;59,7241;96,7037;59,7241
5812,8905;95,6620;0,6070;97,2222;0,6035;63,3448;97,2222;63,3448
5867,7970;95,7130;0,6034;97,0926;0,6102;62,4828;97,0926;62,4828
5920,3905;95,5093;0,6072;97,3148;0,5943;61,8276;97,3148;61,8276
5999,5347;95,5926;0,6051;95,4630;0,6405;56,7241;95,4630;56,7241
6076,5891;95,7500;0,6014;96,7778;0,6050;58,2759;96,7778;58,2759
6139,7567;95,7685;0,6012;95,5370;0,6248;56,9310;95,5370;56,9310
6215,6867;95,7546;0,6015;96,5741;0,6103;58,8621;96,5741;58,8621
6276,1514;96,1389;0,5958;96,7037;0,6183;60,0690;96,7037;60,0690
6366,1277;96,0093;0,5948;96,1111;0,6270;61,5517;96,1111;61,5517
6426,8208;96,4537;0,5885;97,5741;0,5977;61,5172;97,5741;61,5172
6512,1789;96,4213;0,5873;97,5926;0,5880;61,6552;97,5926;61,6552
6588,5230;96,0926;0,5917;97,7963;0,5853;64,3793;97,7963;64,3793
6662,8835;96,3796;0,5869;96,9444;0,6000;60,2414;96,9444;60,2414
6719,2581;96,3148;0,5870;97,8333;0,5835;63,7241;97,8333;63,7241
6772,9227;96,4306;0,5860;97,2407;0,5934;61,5172;97,2407;61,5172
6842,8469;96,4352;0,5855;97,3889;0,6052;60,3793;97,3889;60,3793
6929,2760;96,4630;0,5842;97,5000;0,5971;63,2069;97,5000;63,2069
6973,2034;96,6852;0,5792;98,1111;0,5812;63,4483;98,1111;63,4483
