time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
75,8156;18,4422;3,1287;18,6461;4,9084;16,1379;18,6461;16,1379
171,3762;44,2868;2,2970;33,9905;3,0901;27,4483;33,9905;27,4483
251,1391;63,5736;1,8132;77,3476;1,4462;64,3103;77,3476;64,3103
338,4336;71,6179;1,5803;85,5265;1,1817;74,1724;85,5265;74,1724
426,7504;75,1802;1,4654;88,4006;1,1542;76,0000;88,4006;76,0000
484,8072;77,4249;1,3877;93,7055;1,0513;82,8966;93,7055;82,8966
564,6777;79,3994;1,3228;93,2304;0,9488;80,3448;93,2304;80,3448
637,3935;80,7620;1,2776;95,5819;0,9232;84,0690;95,5819;84,0690
728,6107;82,0083;1,2404;95,9145;0,8890;86,6207;95,9145;86,6207
799,9523;82,4437;1,2195;96,1679;0,8612;85,7586;96,1679;85,7586
867,1245;78,3408;1,3477;84,4181;1,1203;70,3103;84,4181;70,3103
950,1176;78,9752;1,3247;88,6382;1,1005;73,7241;88,6382;73,7241
1053,6688;79,9174;1,2875;92,1853;0,9676;79,4828;92,1853;79,4828
1116,8229;80,7245;1,2734;94,2122;0,9118;80,1034;94,2122;80,1034
1186,7034;81,9032;1,2344;91,6152;0,9901;79,0345;91,6152;79,0345
1256,0300;82,6727;1,2143;91,5439;0,9826;80,8966;91,5439;80,8966
1370,2987;83,0818;1,1868;92,3753;0,9448;80,4828;92,3753;80,4828
1435,9693;83,6524;1,1738;94,4181;0,9265;82,3793;94,4181;82,3793
1515,0747;84,4257;1,1444;93,2621;1,0033;81,0345;93,2621;81,0345
1585,6213;85,0338;1,1374;95,2811;0,9082;84,7241;95,2811;84,7241
1695,3089;85,3078;1,1204;94,6873;0,9010;85,4828;94,6873;85,4828
1780,9218;86,1374;1,1018;95,8036;0,8813;85,8966;95,8036;85,8966
1894,1766;86,5428;1,0866;96,2629;0,8861;86,9310;96,2629;86,9310
1996,8995;86,9970;1,0729;96,6033;0,8872;88,5517;96,6033;88,5517
2124,7660;87,7065;1,0562;96,6508;0,8560;88,2069;96,6508;88,2069
2263,8812;88,0293;1,0405;96,7379;0,8509;88,3448;96,7379;88,3448
2362,9091;88,7012;1,0249;97,0388;0,8409;88,8276;97,0388;88,8276
2465,0792;88,1269;1,0284;97,1813;0,8254;88,9655;97,1813;88,9655
2566,3434;88,5173;1,0232;97,1496;0,8339;88,9655;97,1496;88,9655
2703,4910;88,8213;1,0170;97,0625;0,8382;88,7241;97,0625;88,7241
2837,9971;85,0000;1,1343;93,7767;0,9154;81,7931;93,7767;81,7931
2925,4758;84,5383;1,1414;94,1805;0,9407;82,7931;94,1805;82,7931
3037,3305;85,0976;1,1296;94,1093;0,9564;81,4138;94,1093;81,4138
3169,2122;85,2665;1,1244;95,7957;0,8710;85,4828;95,7957;85,4828
3298,2819;85,3829;1,1196;94,1647;0,9349;81,8966;94,1647;81,8966
3423,4372;85,8671;1,1030;96,2549;0,8880;85,3448;96,2549;85,3448
3501,7266;85,8108;1,1095;95,2573;0,8746;84,1034;95,2573;84,1034
3607,6943;86,3401;1,0926;96,4687;0,8519;86,7931;96,4687;86,7931
3736,2031;86,1937;1,0918;96,7379;0,8355;86,3793;96,7379;86,3793
3868,0810;86,9182;1,0688;95,0515;0,8731;84,1724;95,0515;84,1724
3977,4660;87,0495;1,0714;97,0150;0,8156;88,5517;97,0150;88,5517
4095,6395;87,4850;1,0564;95,5186;0,9050;85,2759;95,5186;85,2759
4226,9242;87,3498;1,0554;96,4450;0,8376;85,6552;96,4450;85,6552
4349,6650;87,4212;1,0565;95,3840;0,8777;85,7241;95,3840;85,7241
4466,8871;87,6989;1,0486;96,8171;0,8431;87,4483;96,8171;87,4483
4586,1281;88,0068;1,0344;96,2074;0,8493;86,7931;96,2074;86,7931
4702,4667;88,2132;1,0285;96,0966;0,8709;86,1034;96,0966;86,1034
4821,1147;88,3746;1,0229;97,1576;0,8403;87,7241;97,1576;87,7241
4956,5338;88,5736;1,0232;97,0705;0,8817;88,7241;97,0705;88,7241
5089,3873;88,6036;1,0198;96,9834;0,8302;87,9655;96,9834;87,9655
5210,8642;89,4595;0,9985;97,3793;0,8321;88,7586;97,3793;88,7586
5321,9757;89,3093;1,0003;96,7933;0,8631;88,3793;96,7933;88,3793
5454,0949;89,4595;0,9884;97,5614;0,8384;88,6207;97,5614;88,6207
5581,4930;89,5571;0,9885;97,4347;0,8234;89,1379;97,4347;89,1379
5701,8821;89,4257;0,9843;96,9755;0,8471;88,9655;96,9755;88,9655
5838,1203;89,9437;0,9764;96,8567;0,8213;88,3103;96,8567;88,3103
5979,0996;90,1839;0,9744;97,2051;0,8504;89,3793;97,2051;89,3793
6097,3057;90,3491;0,9675;97,7751;0,8110;89,3448;97,7751;89,3448
6204,4131;90,3679;0,9634;97,4426;0,8569;89,2069;97,4426;89,2069
6312,6643;90,6532;0,9552;97,7672;0,8187;89,7586;97,7672;89,7586
6439,4325;90,5405;0,9579;97,7672;0,8080;89,4138;97,7672;89,4138
6565,4546;90,4505;0,9578;97,7276;0,8318;89,6207;97,7276;89,6207
6667,2974;90,8146;0,9557;97,8306;0,8426;90,1379;97,8306;90,1379
6795,6629;91,1562;0,9396;98,1314;0,8189;90,2069;98,1314;90,2069
6933,6511;91,1074;0,9420;98,0443;0,8126;89,9655;98,0443;89,9655
7038,5208;91,0886;0,9441;98,0602;0,8045;90,1379;98,0602;90,1379
7127,9689;91,3251;0,9393;97,9018;0,8295;90,2414;97,9018;90,2414
7249,5353;91,0435;0,9491;98,0918;0,8245;90,3103;98,0918;90,3103
7390,5604;91,5541;0,9292;98,1156;0,8075;90,4138;98,1156;90,4138
7516,7923;91,4077;0,9337;98,0443;0,8159;90,3793;98,0443;90,3793
7627,5044;88,1231;1,0321;94,8931;0,8786;85,0690;94,8931;85,0690
7732,5256;88,0405;1,0329;94,9881;0,9000;84,6207;94,9881;84,6207
7875,3059;87,9505;1,0383;96,8963;0,8228;86,9655;96,8963;86,9655
8018,1056;88,1344;1,0302;96,1995;0,8565;86,7241;96,1995;86,7241
8126,4148;88,0030;1,0353;96,2074;0,8348;85,4828;96,2074;85,4828
8232,5363;87,8941;1,0390;96,2154;0,8949;87,3103;96,2154;87,3103
8353,1835;88,3221;1,0343;96,9834;0,8430;87,8621;96,9834;87,8621
8491,5172;88,1757;1,0291;95,7324;0,8626;85,6207;95,7324;85,6207
8612,5489;88,0556;1,0337;96,1441;0,8639;86,3103;96,1441;86,3103
