;config_580_avg
Standard_Acc;98,0918
RMSCE;0,0791
gaussian_noise;76,8963
shot_noise;91,6706
impulse_noise;79,8179
defocus_blur;97,1021
glass_blur;88,5669
motion_blur;95,3998
zoom_blur;97,2130
snow;83,4600
frost;88,4086
fog;87,0863
brightness;96,9279
contrast;97,0863
elastic_transform;96,0174
pixelate;97,1813
jpeg_compression;91,6944
speckle_noise;95,0356
gaussian_blur;96,6587
spatter;92,0982
saturate;93,9430
blue_noise;86,0966
brownish_noise;67,0784
checkerboard_cutout;78,7965
circular_motion_blur;98,1473
inverse_sparkles;57,6168
lines;77,3476
pinch_and_twirl;95,5582
ripple;96,0570
sparkles;78,3848
transverse_chromatic_abberation;90,4196
Acc_C-all-19;91,6981
Acc_C-original-15;90,9686
Acc_C-bar-10;82,5503
Acc_all-ex-pixelwise-noise-24;89,0938
RMSCE_C;0,0779
Combined_Noise;85,7245
