time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
4085,0438;30,2782;4,6303;52,4720;2,9634;22,7172
8546,6502;33,0167;4,4676;51,8380;3,0095;23,8000
13074,6549;33,3591;4,4465;51,5140;3,0050;22,9310
17538,6487;34,7286;4,3519;52,1240;2,9877;22,3862
22072,8960;34,4408;4,3711;53,4620;2,8958;24,4069
25964,9043;35,2895;4,3175;54,0180;2,8955;24,3586
29409,1141;35,7813;4,3033;54,6260;2,8706;26,0276
33938,5859;35,9929;4,3098;54,5920;2,8570;24,8966
38309,4917;36,6645;4,2739;56,2040;2,8056;26,5655
42733,6996;37,8631;4,1984;55,7380;2,8543;27,0207
47237,9203;38,8064;4,1430;56,9520;2,8026;26,5310
51807,6477;39,3729;4,1276;58,8000;2,6975;28,6897
56224,8613;40,5032;4,0773;59,0140;2,6774;29,3103
60636,4650;41,5854;4,0268;60,6920;2,6197;30,5241
65139,0570;42,3550;4,0008;61,6380;2,5540;30,5586
69673,8444;42,7388;3,9856;62,3780;2,5571;31,4897
74241,4360;44,2107;3,9170;63,3820;2,5031;31,3034
78670,7140;45,2345;3,8691;64,1320;2,4897;33,2276
83052,3233;45,0630;3,8868;64,3480;2,4770;33,4069
86532,2293;46,3395;3,8123;64,6780;2,4423;33,9793
90959,9053;32,7078;4,4370;48,7920;3,0787;19,5931
95405,6560;32,7875;4,4413;48,2760;3,1302;23,8690
100061,1541;33,4096;4,4026;51,1580;2,9854;23,9034
103413,1360;34,1231;4,3644;50,5180;3,0223;23,3034
107461,8007;34,0156;4,3678;51,8760;3,0172;23,2138
111498,1939;34,6573;4,3392;51,4560;2,9814;22,2207
115412,8905;34,9922;4,3141;52,0820;2,9980;24,7724
119313,5351;35,1625;4,3058;51,4000;2,9872;23,2207
123309,1751;35,6404;4,2866;53,0040;2,9442;23,4276
127235,3556;35,5413;4,2934;52,9940;2,9215;22,5034
130472,5150;35,9941;4,2663;54,5240;2,8612;26,1034
133439,9019;35,9151;4,2679;52,9000;2,9421;24,1241
137247,7297;36,8153;4,2292;54,6760;2,8207;25,9034
141287,7150;37,2112;4,2001;53,1440;2,9630;24,3862
145188,0205;36,9391;4,2256;54,4720;2,8448;25,0897
149200,8179;37,1795;4,2085;54,3120;2,9107;23,3931
153269,2509;37,8845;4,1718;54,7620;2,8331;23,8966
157171,8897;37,8708;4,1761;55,8140;2,8478;25,7310
160932,5863;38,1836;4,1612;55,5760;2,8381;25,7034
164804,5553;39,0355;4,1085;56,8300;2,7383;27,4414
167866,6891;38,9115;4,1379;57,2900;2,7655;25,8345
171112,7178;39,1425;4,1326;57,9420;2,7113;27,5517
174496,5372;40,1073;4,0684;58,5740;2,7393;27,4000
177578,5767;40,2698;4,0686;57,9280;2,6967;27,6000
180508,3349;40,4989;4,0648;58,9120;2,7030;28,2828
184552,4350;41,1395;4,0311;59,4500;2,6632;28,1172
188676,4191;41,8251;3,9985;60,5200;2,5826;28,6483
192660,0059;42,6483;3,9535;60,6220;2,6214;30,8414
196734,7584;42,4664;3,9715;61,3420;2,5609;28,9310
200864,8736;43,5255;3,9231;61,9460;2,5522;30,8414
204915,9601;43,3449;3,9436;61,9760;2,5868;30,5103
209026,0208;44,7917;3,8643;62,8740;2,5561;31,0897
213153,7944;45,0012;3,8691;63,3480;2,5459;31,9517
217095,6951;45,4052;3,8460;63,9860;2,4763;32,4621
221169,9490;45,2657;3,8644;64,0860;2,4705;32,4414
225283,3712;46,4059;3,8045;64,6000;2,4706;32,9793
229387,6321;46,4710;3,7908;64,9060;2,4386;33,3724
233396,2559;46,5846;3,7937;64,9320;2,4532;33,5172
236395,3546;47,0785;3,7700;65,2780;2,4443;33,6207
239766,8109;47,2740;3,7646;65,3420;2,4299;33,5103
