;config_515_avg
Standard_Acc;79,0000
RMSCE;0,2404
gaussian_noise;47,3024
shot_noise;45,7056
impulse_noise;44,8676
defocus_blur;35,3968
glass_blur;27,7316
motion_blur;37,3104
zoom_blur;39,2784
snow;38,8044
frost;44,6524
fog;57,6024
brightness;69,0904
contrast;53,7384
elastic_transform;46,6580
pixelate;45,4592
jpeg_compression;58,5328
speckle_noise;52,4716
gaussian_blur;39,0588
spatter;53,3864
saturate;66,7884
blue_noise_sample;46,5328
brownish_noise;65,2884
caustic_refraction;58,2792
checkerboard_cutout;55,9624
cocentric_sine_waves;17,9324
inverse_sparkles;30,0924
perlin_noise;65,7396
plasma_noise;38,8300
single_frequency_greyscale;24,9836
sparkles;65,9076
Acc_C-all-19;47,5703
Acc_C-original-15;46,1421
Acc_C-bar-10;46,9548
Acc_all-ex-pixelwise-noise-24;47,3544
RMSCE_C;0,1396
Combined_Noise;77,8100
