time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
504,8512;81,7610;0,4688;81,4331;0,5113;71,1379;81,4331;71,1379
1002,5171;87,6784;0,3904;86,9171;0,4221;76,5172;86,9171;76,5172
1471,9450;89,5454;0,3655;87,5549;0,3959;76,9310;87,5549;76,9310
1861,2215;90,4636;0,3519;87,0514;0,4267;77,2759;87,0514;77,2759
2202,3005;91,1465;0,3416;87,8937;0,3996;76,2414;87,8937;76,2414
2575,8850;91,7830;0,3320;87,0056;0,4294;75,3103;87,0056;75,3103
3001,2904;92,3414;0,3235;88,2233;0,4136;79,3103;88,2233;79,3103
3411,2475;92,8908;0,3149;90,2740;0,3687;79,2759;90,2740;79,2759
4137,7384;93,4282;0,3069;89,9750;0,3713;79,7586;89,9750;79,7586
4985,6630;93,7731;0,3012;88,9984;0,3982;77,9310;88,9984;77,9310
6139,4780;91,1828;0,3408;87,6648;0,4045;78,5517;87,6648;78,5517
7315,9347;91,5846;0,3347;90,4968;0,3694;81,3793;90,4968;81,3793
8455,3391;91,8644;0,3309;85,6201;0,4560;74,9655;85,6201;74,9655
9488,8628;92,1112;0,3268;87,5153;0,4077;78,0690;87,5153;78,0690
10718,5603;92,3275;0,3233;86,5417;0,4333;78,8621;86,5417;78,8621
11836,4681;92,5137;0,3204;85,0708;0,4534;75,7586;85,0708;75,7586
13046,0845;92,7253;0,3173;85,7819;0,4533;75,3793;85,7819;75,3793
14096,6455;92,9135;0,3148;88,6017;0,3905;79,3448;88,6017;79,3448
15198,8391;93,2197;0,3104;84,7412;0,4879;71,0345;84,7412;71,0345
16254,0572;93,3957;0,3072;82,9468;0,5178;70,3448;82,9468;70,3448
17323,1612;93,6137;0,3035;85,9192;0,4512;74,6552;85,9192;74,6552
18509,3199;93,8826;0,3003;86,1694;0,4496;77,2069;86,1694;77,2069
19679,9004;94,1976;0,2951;88,2355;0,4009;77,4483;88,2355;77,4483
20776,7178;94,4536;0,2909;86,9965;0,4326;75,2069;86,9965;75,2069
21477,4602;94,6923;0,2870;88,2538;0,4040;77,4483;88,2538;77,4483
22144,1043;94,9860;0,2824;87,5824;0,4208;76,3448;87,5824;76,3448
22867,7852;95,3115;0,2781;85,8582;0,4572;75,3793;85,8582;75,3793
23524,1937;95,4664;0,2750;86,8164;0,4393;75,4138;86,8164;75,4138
24343,7678;95,4617;0,2753;86,8988;0,4505;75,9655;86,7981;76,0690
25204,3503;95,3240;0,2772;87,2375;0,4384;77,5862;87,9913;76,2069
