;config_579_avg
Standard_Acc;86,6241
RMSCE;0,0744
gaussian_noise;67,8314
shot_noise;70,4315
impulse_noise;70,8160
defocus_blur;79,2969
glass_blur;67,5140
motion_blur;84,8297
zoom_blur;80,5878
snow;69,8090
frost;70,3735
fog;87,8845
brightness;81,0516
contrast;65,1428
elastic_transform;85,4156
pixelate;84,8114
jpeg_compression;83,4259
speckle_noise;64,3402
gaussian_blur;73,7457
spatter;83,6304
saturate;73,6237
blue_noise;83,3008
brownish_noise;69,2291
checkerboard_cutout;83,7769
circular_motion_blur;81,5521
inverse_sparkles;78,2806
lines;86,4075
pinch_and_twirl;83,9569
ripple;81,0913
sparkles;83,7219
transverse_chromatic_abberation;60,3363
Acc_C-all-19;76,0296
Acc_C-original-15;76,6148
Acc_C-bar-10;79,1653
Acc_all-ex-pixelwise-noise-24;78,3123
RMSCE_C;0,1461
Combined_Noise;84,6924
