train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,7920;4,8201;10,8900;4,4642;5,8414;10,8900;5,8414
14,4890;4,2264;18,4700;3,9920;8,8897;18,4700;8,8897
20,9250;3,8895;28,1300;3,5443;11,7448;28,1300;11,7448
25,5100;3,6714;31,6800;3,4018;13,3034;31,6800;13,3034
29,2780;3,5046;31,2500;3,4563;13,8138;31,2500;13,8138
32,1750;3,3701;37,8700;3,1224;16,1241;37,8700;16,1241
34,9810;3,2554;40,4600;3,0471;16,6552;40,4600;16,6552
37,3370;3,1569;41,8000;2,9807;19,4069;41,8000;19,4069
39,5750;3,0617;44,4600;2,8827;19,3379;44,4600;19,3379
41,6760;2,9801;46,0300;2,8438;19,9586;46,0300;19,9586
43,7160;2,9003;47,2400;2,7666;21,7586;47,2400;21,7586
45,4580;2,8272;49,1300;2,7006;23,1241;49,1300;23,1241
47,5640;2,7541;50,4500;2,6445;22,7379;50,4500;22,7379
48,8840;2,6919;51,0100;2,6008;24,4207;51,0100;24,4207
50,7200;2,6304;52,2700;2,5632;25,8000;52,2700;25,8000
52,1690;2,5810;53,6800;2,5371;26,3379;53,6800;26,3379
53,3920;2,5344;54,3200;2,4960;26,1724;54,3200;26,1724
54,3670;2,4962;54,7300;2,4818;27,0276;54,7300;27,0276
54,9770;2,4731;54,6700;2,4726;27,3310;54,6700;27,3310
55,5550;2,4560;54,7500;2,4692;27,5241;54,7500;27,5241
42,9500;2,9206;42,9000;2,9052;20,7034;42,9000;20,7034
43,3680;2,9077;46,1400;2,8222;20,3862;46,1400;20,3862
44,2770;2,8768;46,1000;2,7977;21,0966;46,1000;21,0966
45,2000;2,8321;46,2900;2,7877;23,2207;46,2900;23,2207
46,4940;2,7853;49,2100;2,6744;22,2483;49,2100;22,2483
47,4350;2,7446;49,2100;2,6802;22,7724;49,2100;22,7724
48,5740;2,6987;50,0600;2,6690;23,4345;50,0600;23,4345
49,5630;2,6618;50,3200;2,6384;22,2552;50,3200;22,2552
50,2910;2,6305;51,4600;2,5858;26,0276;51,4600;26,0276
51,3940;2,5899;50,2900;2,6814;21,7034;50,2900;21,7034
52,3590;2,5540;52,1800;2,5832;26,0828;52,1800;26,0828
53,1460;2,5204;51,8200;2,5958;26,3655;51,8200;26,3655
54,3090;2,4818;53,8400;2,4907;26,4690;53,8400;26,4690
55,1460;2,4502;54,7500;2,4907;26,2621;54,7500;26,2621
56,1120;2,4128;53,5100;2,5276;25,9931;53,5100;25,9931
56,9830;2,3750;54,9200;2,4743;27,2138;54,9200;27,2138
57,8730;2,3430;55,2100;2,5072;26,4276;55,2100;26,4276
58,9230;2,3089;56,1000;2,4239;28,0897;56,1000;28,0897
59,8140;2,2779;56,5300;2,4382;28,9793;56,5300;28,9793
60,9300;2,2395;56,6300;2,4282;29,6069;56,6300;29,6069
62,0870;2,1990;57,8600;2,3817;28,9931;57,8600;28,9931
63,1010;2,1634;57,4400;2,3903;28,8000;57,4400;28,8000
64,0740;2,1285;58,6000;2,3704;29,9034;58,6000;29,9034
65,1660;2,0924;59,2800;2,3392;31,8828;59,2800;31,8828
66,2290;2,0540;59,3300;2,3393;32,6138;59,3300;32,6138
67,2560;2,0213;60,0400;2,3151;30,5448;60,0400;30,5448
68,4850;1,9860;60,3400;2,3003;31,6483;60,3400;31,6483
69,3530;1,9552;60,4400;2,2966;30,8345;60,4400;30,8345
70,2680;1,9248;60,6100;2,2910;31,5379;60,6100;31,5379
71,3270;1,8898;60,6800;2,2936;32,2690;60,6800;32,2690
72,2300;1,8648;61,1800;2,2742;31,8345;61,1800;31,8345
73,2880;1,8310;61,6900;2,2616;32,7655;61,6900;32,7655
73,7000;1,8167;61,5600;2,2596;32,7448;61,5600;32,7448
74,3080;1,7966;61,8600;2,2557;33,1310;61,8600;33,1310
75,0360;1,7759;61,9000;2,2519;33,3517;61,9000;33,3517
75,5130;1,7637;61,8000;2,2489;33,2138;61,8000;33,2138
75,9050;1,7483;61,8200;2,2430;33,2897;61,8200;33,2897
76,0280;1,7460;62,0300;2,2449;33,3517;62,0300;33,3517
76,3510;1,7377;62,0800;2,2419;33,6069;62,0800;33,6069
76,4340;1,7367;62,1500;2,2438;33,3379;62,1500;33,3379
57,7770;2,3381;50,4700;2,6781;24,5310;50,4700;24,5310
55,9810;2,4056;52,0400;2,5824;25,1586;52,0400;25,1586
56,0720;2,3993;54,2300;2,5425;27,0690;54,2300;27,0690
56,3330;2,3921;52,9300;2,5654;26,8552;52,9300;26,8552
56,8030;2,3758;53,6300;2,5208;26,0552;53,6300;26,0552
56,8350;2,3715;53,7500;2,5394;26,0621;53,7500;26,0621
57,4190;2,3551;54,1500;2,5503;26,7310;54,1500;26,7310
57,6740;2,3450;53,1500;2,5438;24,0552;53,1500;24,0552
58,1410;2,3301;53,6900;2,5371;28,7241;53,6900;28,7241
58,3770;2,3185;54,8000;2,5083;26,3448;54,8000;26,3448
58,7250;2,3036;54,4800;2,5291;27,0621;54,4800;27,0621
59,3180;2,2874;53,6200;2,5282;26,4138;53,6200;26,4138
59,5130;2,2751;55,4800;2,4785;29,2483;55,4800;29,2483
59,8740;2,2662;54,6600;2,5071;28,4759;54,6600;28,4759
60,3600;2,2474;55,6300;2,4657;28,7793;55,6300;28,7793
60,7720;2,2349;55,8800;2,4875;26,8483;55,8800;26,8483
61,1160;2,2204;55,2300;2,5068;28,4966;55,2300;28,4966
61,4830;2,2070;56,8900;2,4463;29,2000;56,8900;29,2000
61,8840;2,1973;54,7200;2,5156;25,5241;54,7200;25,5241
62,2110;2,1776;56,3900;2,4580;28,1655;56,3900;28,1655
62,5500;2,1710;55,6200;2,4778;27,4759;55,6200;27,4759
63,1080;2,1523;56,2000;2,4741;28,5793;56,2000;28,5793
63,3270;2,1404;55,6400;2,4794;28,4966;55,6400;28,4966
63,8140;2,1300;56,6100;2,4398;28,0207;56,6100;28,0207
64,1490;2,1121;56,4800;2,4329;30,1586;56,4800;30,1586
64,6410;2,0988;55,8000;2,4661;27,3586;55,8000;27,3586
64,9500;2,0832;57,6300;2,4144;29,9448;57,6300;29,9448
65,4270;2,0660;56,3300;2,4612;30,1379;56,3300;30,1379
65,9390;2,0518;57,0600;2,4421;30,3655;57,0600;30,3655
66,3330;2,0408;57,3000;2,4391;30,4138;57,3000;30,4138
66,8560;2,0210;57,7100;2,3897;29,7379;57,7100;29,7379
67,2500;2,0041;58,4400;2,3682;29,4207;58,4400;29,4207
67,6480;1,9892;58,7100;2,3800;30,5931;58,7100;30,5931
68,3300;1,9700;58,3100;2,3719;31,6069;58,3100;31,6069
68,8080;1,9552;58,3600;2,3915;29,6414;58,3600;29,6414
69,2890;1,9404;59,7000;2,3448;32,1793;59,7000;32,1793
69,6470;1,9247;58,3900;2,3740;30,6759;58,3900;30,6759
70,1670;1,9093;59,2700;2,3567;31,5103;59,2700;31,5103
70,8170;1,8900;59,6200;2,3367;30,4966;59,6200;30,4966
71,2390;1,8721;59,6100;2,3341;30,7241;59,6100;30,7241
