time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
130,7335;9,3045;4,5408;13,6900;4,3121;6,7310;13,6900;6,7310
509,0996;22,9677;3,7447;21,4500;3,8888;9,2345;21,4500;9,2345
660,3446;31,3495;3,3682;27,8000;3,5818;11,8000;27,8000;11,8000
993,4547;36,7921;3,1384;31,7200;3,4453;14,9586;31,7200;14,9586
1351,9666;40,8854;2,9790;36,7500;3,2092;14,2552;36,7500;14,2552
1462,9576;43,9879;2,8534;39,0400;3,1189;15,0414;39,0400;15,0414
1728,5047;46,5574;2,7536;41,7600;2,9731;15,6690;41,7600;15,6690
1970,8236;48,8114;2,6616;44,0600;2,8909;16,8000;44,0600;16,8000
2147,6162;50,8290;2,5924;45,6900;2,8254;17,7034;45,6900;17,7034
2532,6705;53,0339;2,5099;47,4500;2,7601;17,6138;47,4500;17,6138
2932,1314;54,9002;2,4421;49,9900;2,6537;20,1241;49,9900;20,1241
3248,3046;56,5381;2,3844;51,3600;2,6080;20,4690;51,3600;20,4690
3414,4063;58,3423;2,3164;52,8500;2,5499;20,2138;52,8500;20,2138
3782,3996;59,3801;2,2764;53,2000;2,5368;22,3241;53,2000;22,3241
4082,2345;60,7686;2,2302;55,1100;2,4729;20,9724;55,1100;20,9724
4176,9587;61,9146;2,1833;56,5300;2,4199;23,6690;56,5300;23,6690
4386,5127;62,8462;2,1549;57,2400;2,3966;23,9586;57,2400;23,9586
4592,9313;63,7008;2,1279;57,7500;2,3711;23,1448;57,7500;23,1448
4737,4975;63,9332;2,1132;58,3500;2,3588;23,2552;58,3500;23,2552
5078,9138;64,5322;2,0970;58,3900;2,3526;23,5586;58,3900;23,5586
5358,1729;53,8283;2,4703;45,6300;2,8496;19,4069;45,6300;19,4069
5575,6556;54,0767;2,4670;46,2000;2,8188;16,5586;46,2000;16,5586
5932,8719;54,9483;2,4235;44,1400;2,8783;16,5103;44,1400;16,5103
6178,7993;56,0672;2,3856;49,0400;2,7013;19,3793;49,0400;19,3793
6410,3938;56,7374;2,3623;49,5800;2,6610;19,9310;49,5800;19,9310
6812,2494;57,6791;2,3291;50,4000;2,6288;20,3931;50,4000;20,3931
7168,5257;58,5276;2,3021;51,2000;2,5973;20,5655;51,2000;20,5655
7283,6451;59,5885;2,2582;52,5800;2,5656;20,1586;52,5800;20,1586
7625,4997;60,3308;2,2347;52,5800;2,5497;18,0966;52,5800;18,0966
8027,4056;60,4580;2,2236;53,4500;2,5264;19,5241;53,4500;19,5241
8212,0717;61,6832;2,1867;55,0900;2,4793;21,2690;55,0900;21,2690
8453,1390;62,2342;2,1590;55,4500;2,4702;22,8276;55,4500;22,8276
8806,2648;62,9053;2,1348;54,3000;2,5029;19,8690;54,3000;19,8690
8908,8980;63,3742;2,1120;56,0000;2,4165;24,1172;56,0000;24,1172
9226,8777;64,3769;2,0828;57,3600;2,3750;22,9724;57,3600;22,9724
9372,5265;64,7907;2,0651;57,4000;2,3953;23,6069;57,4000;23,6069
9674,7908;65,6181;2,0361;58,1000;2,3731;21,4552;58,1000;21,4552
10036,4382;66,4446;2,0043;59,4800;2,3140;24,2759;59,4800;24,2759
10310,3035;66,9655;1,9862;59,4900;2,3024;23,8138;59,4900;23,8138
10528,6492;67,6598;1,9633;59,4500;2,2926;23,3241;59,4500;23,3241
10776,6356;68,2708;1,9433;60,5000;2,2608;25,5103;60,5000;25,5103
