;config_537_avg;config_537_std;config_537_run_0;config_537_run_1;config_537_run_2
Standard_Acc;73,4467;0,2095;73,3800;73,2300;73,7300
RMSCE;0,0502;0,0008;0,0493;0,0513;0,0499
gaussian_noise;21,2233;0,6306;20,3760;21,4060;21,8880
shot_noise;26,2847;0,6862;25,5560;26,0940;27,2040
impulse_noise;26,3873;0,7176;26,2140;27,3400;25,6080
defocus_blur;21,6420;0,5411;20,8940;21,8760;22,1560
glass_blur;19,3273;0,2608;18,9920;19,6280;19,3620
motion_blur;30,2840;0,2804;30,1400;30,0360;30,6760
zoom_blur;25,0100;0,7292;24,0080;25,3000;25,7220
snow;36,3273;0,3409;36,6960;36,4120;35,8740
frost;40,8387;0,2438;40,7320;40,6080;41,1760
fog;39,6233;0,3516;39,1500;39,9920;39,7280
brightness;52,3447;0,3003;52,7260;52,3160;51,9920
contrast;19,7340;0,6053;18,8780;20,1560;20,1680
elastic_transform;37,4887;0,0864;37,3960;37,4660;37,6040
pixelate;46,2400;1,9459;43,7640;48,5180;46,4380
jpeg_compression;45,4587;0,2108;45,7480;45,2520;45,3760
speckle_noise;19,9820;0,5506;19,2500;20,1180;20,5780
gaussian_blur;22,9920;0,5919;22,1600;23,3280;23,4880
spatter;44,6013;0,0560;44,5460;44,6780;44,5800
saturate;46,1387;0,2563;46,4740;46,0900;45,8520
blue_noise_sample;42,7787;0,7983;42,9000;41,7460;43,6900
brownish_noise;50,3187;0,3207;50,4860;49,8700;50,6000
caustic_refraction;32,0080;0,1601;32,0160;32,2000;31,8080
checkerboard_cutout;44,4593;0,5371;44,3680;43,8520;45,1580
cocentric_sine_waves;25,5107;0,3003;25,0860;25,7240;25,7220
inverse_sparkles;27,2360;0,4036;27,2780;26,7220;27,7080
perlin_noise;56,0227;0,0864;56,1420;55,9400;55,9860
plasma_noise;23,7140;0,5773;24,4840;23,5640;23,0940
single_frequency_greyscale;20,8880;0,1266;20,9600;20,7100;20,9940
sparkles;64,5700;0,1176;64,4960;64,7360;64,4780
Acc_C-all-19;32,7331;0,3072;32,3000;32,9797;32,9195
Acc_C-original-15;32,5476;0,3296;32,0847;32,8267;32,7315
Acc_C-bar-10;38,7506;0,1776;38,8216;38,5064;38,9238
Acc_all-ex-pixelwise-noise-24;36,3657;0,1525;36,1508;36,4572;36,4892
RMSCE_C;0,2403;0,0013;0,2416;0,2409;0,2386
Combined_Noise;51,4767;0,3593;51,9500;51,0800;51,4000
