time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
250,6918;8,6713;4,6086;12,2900;4,3559;6,1034;12,2900;6,1034
447,5510;21,7946;3,8124;22,5500;3,7899;9,7241;22,5500;9,7241
718,6795;30,6813;3,4100;26,0900;3,7194;11,3103;26,0900;11,3103
912,0121;36,8552;3,1577;32,2100;3,4849;12,8828;32,2100;12,8828
1079,3110;41,4173;2,9818;35,1800;3,3297;13,2897;35,1800;13,2897
1370,0874;45,2150;2,8367;34,3400;3,3495;11,6690;34,3400;11,6690
1595,6980;48,2163;2,7258;42,2500;2,9873;14,1172;42,2500;14,1172
1720,5421;50,9191;2,6222;43,7000;2,9532;17,5862;43,7000;17,5862
1977,8714;53,1230;2,5415;45,1000;2,8953;17,7724;45,1000;17,7724
2166,9217;55,5513;2,4619;47,2100;2,8053;18,0000;47,2100;18,0000
2287,3020;57,4587;2,3913;51,0200;2,6443;18,1586;51,0200;18,1586
2613,6108;59,2118;2,3335;52,5000;2,6127;20,1310;52,5000;20,1310
2955,4210;61,1673;2,2666;53,1000;2,5769;19,3379;53,1000;19,3379
3222,7823;62,3684;2,2241;55,5800;2,5016;21,7724;55,5800;21,7724
3386,7636;63,8160;2,1772;57,6600;2,4349;21,7379;57,6600;21,7379
3525,2276;65,0551;2,1302;58,3800;2,3970;23,0828;58,3800;23,0828
3876,1013;65,9838;2,1059;58,7400;2,3839;22,8966;58,7400;22,8966
4061,7713;66,7381;2,0773;60,0200;2,3426;22,4345;60,0200;22,4345
4358,3584;67,1028;2,0633;60,0700;2,3329;23,0552;60,0700;23,0552
4557,0830;67,7649;2,0466;60,4700;2,3215;23,4759;60,4700;23,4759
4791,9049;56,9628;2,4016;45,8200;2,8777;15,0552;45,8200;15,0552
5152,0014;57,2273;2,3953;45,3700;2,8904;15,4207;45,3700;15,4207
5248,0676;58,2681;2,3529;48,4100;2,7674;17,0276;48,4100;17,0276
5582,4785;59,3400;2,3130;49,0300;2,7455;19,4621;49,0300;19,4621
5848,0068;59,9431;2,2883;50,2100;2,6805;16,1310;50,2100;16,1310
6025,9332;60,9950;2,2570;49,9900;2,7104;18,2414;49,9900;18,2414
6349,7278;61,7463;2,2311;52,6100;2,6013;20,2138;52,6100;20,2138
6515,5551;63,1277;2,1836;54,8900;2,5324;20,8828;54,8900;20,8828
6672,7031;63,7909;2,1613;52,2700;2,6300;19,8966;52,2700;19,8966
6903,8129;63,9632;2,1487;51,0700;2,6771;18,2345;51,0700;18,2345
7223,3983;65,2084;2,1109;54,5600;2,5502;19,3586;54,5600;19,3586
7559,9411;66,0740;2,0800;53,7100;2,6026;21,9379;53,7100;21,9379
7795,9978;66,7812;2,0575;55,5500;2,5076;18,9793;55,5500;18,9793
8038,2320;67,5145;2,0316;56,6800;2,4549;20,9517;56,6800;20,9517
8186,6064;68,2608;2,0049;59,6900;2,3580;23,2000;59,6900;23,2000
8325,5162;68,6916;1,9891;57,6300;2,4259;21,8759;57,6300;21,8759
8625,0861;69,7444;1,9578;60,1500;2,3408;22,9379;60,1500;22,9379
8762,5991;70,4858;1,9302;59,6600;2,3597;21,8207;59,6600;21,8207
9010,4669;70,8975;1,9104;61,3300;2,2748;24,4138;61,3300;24,4138
9142,4193;71,8191;1,8819;60,8800;2,2767;23,5034;60,8800;23,5034
