;config_540_avg;config_540_std;config_540_run_0;config_540_run_1;config_540_run_2
Standard_Acc;74,4800;0,1575;74,2600;74,5600;74,6200
RMSCE;0,0192;0,0041;0,0160;0,0250;0,0165
gaussian_noise;19,9353;0,0850;20,0420;19,8340;19,9300
shot_noise;25,6360;0,1889;25,9020;25,4820;25,5240
impulse_noise;23,9660;0,2528;24,2640;23,9880;23,6460
defocus_blur;22,6227;0,7573;22,9680;21,5720;23,3280
glass_blur;19,3607;0,0673;19,3700;19,4380;19,2740
motion_blur;30,6047;0,6318;30,9140;29,7240;31,1760
zoom_blur;27,9900;0,5602;28,0360;27,2820;28,6520
snow;35,1320;0,3721;34,7080;35,0740;35,6140
frost;39,7407;0,6936;39,6300;38,9520;40,6400
fog;37,6933;0,2574;37,7940;37,3400;37,9460
brightness;49,6700;0,6987;49,1600;49,1920;50,6580
contrast;17,4427;0,1282;17,4140;17,3020;17,6120
elastic_transform;38,0273;1,0148;38,4600;36,6260;38,9960
pixelate;44,3547;0,5308;43,6980;44,3680;44,9980
jpeg_compression;44,3787;1,2997;45,1320;42,5500;45,4540
speckle_noise;18,5493;0,4417;18,7440;18,9660;17,9380
gaussian_blur;23,7253;0,8423;24,0600;22,5680;24,5480
spatter;42,8207;0,3263;42,5280;42,6580;43,2760
saturate;44,1067;0,1681;44,2440;43,8700;44,2060
blue_noise_sample;37,0467;0,5767;37,8380;36,4800;36,8220
brownish_noise;47,8127;0,2247;48,0940;47,5440;47,8000
caustic_refraction;30,0407;0,4456;29,7960;30,6660;29,6600
checkerboard_cutout;42,7100;0,5569;42,6980;42,0340;43,3980
cocentric_sine_waves;25,2000;0,1839;25,2440;25,4000;24,9560
inverse_sparkles;31,0507;0,3439;31,3860;31,1880;30,5780
perlin_noise;55,8167;0,2356;55,5620;56,1300;55,7580
plasma_noise;21,5273;0,2390;21,7640;21,6180;21,2000
single_frequency_greyscale;20,4553;0,2776;20,1620;20,8280;20,3760
sparkles;64,5727;0,2909;64,3740;64,3600;64,9840
Acc_C-all-19;31,8819;0,3606;31,9509;31,4098;32,2851
Acc_C-original-15;31,7703;0,4032;31,8328;31,2483;32,2299
Acc_C-bar-10;37,6233;0,0566;37,6918;37,6248;37,5532
Acc_all-ex-pixelwise-noise-24;35,7023;0,2860;35,7165;35,3452;36,0453
RMSCE_C;0,1758;0,0004;0,1760;0,1761;0,1753
Combined_Noise;42,3133;0,8818;43,3900;41,2300;42,3200
