;config_191_avg
Standard_Acc;88,4800
RMSCE;0,0780
gaussian_noise;45,3120
shot_noise;51,6540
impulse_noise;44,5600
defocus_blur;53,4180
glass_blur;39,4560
motion_blur;60,5880
zoom_blur;57,3780
snow;62,3740
frost;65,6760
fog;61,3680
brightness;70,3940
contrast;56,7940
elastic_transform;62,6920
pixelate;67,5740
jpeg_compression;69,0120
speckle_noise;44,9560
gaussian_blur;55,9980
spatter;61,8460
saturate;64,7960
blue_noise_sample;65,4300
brownish_noise;69,9040
caustic_refraction;47,3420
checkerboard_cutout;63,3680
cocentric_sine_waves;41,9940
inverse_sparkles;36,4480
perlin_noise;79,1380
plasma_noise;41,5560
single_frequency_greyscale;49,1040
sparkles;81,6140
Acc_C-all-19;57,6761
Acc_C-original-15;57,8833
Acc_C-bar-10;57,5898
Acc_all-ex-pixelwise-noise-24;59,1597
RMSCE_C;0,1060
Combined_Noise;87,5900
