time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
239,2852;77,8180;1,7388;83,7900;1,4337;51,5103;83,7900;51,5103
460,8189;88,7080;1,2532;85,0200;1,3802;50,5310;85,0200;50,5310
683,6360;92,1340;1,1280;85,8100;1,3531;52,4690;85,8100;52,4690
910,4865;94,4300;1,0507;84,7500;1,3907;50,3931;84,7500;50,3931
1137,9383;95,7990;1,0036;84,6400;1,4131;50,8483;84,6400;50,8483
1363,4059;96,9400;0,9697;84,8400;1,4032;51,3862;84,8400;51,3862
1593,8468;97,7210;0,9429;84,5300;1,4295;52,2207;84,5300;52,2207
1821,7060;98,2510;0,9244;85,0500;1,4123;52,5103;85,0500;52,5103
2052,7641;98,6020;0,9111;83,9000;1,4404;48,2897;83,9000;48,2897
2281,4042;98,9740;0,8987;85,2300;1,4022;51,6000;85,2300;51,6000
2521,3355;99,2960;0,8868;85,1700;1,4166;51,1034;85,1700;51,1034
2742,3126;99,5140;0,8780;85,8400;1,4045;51,9034;85,8400;51,9034
2978,4386;99,6650;0,8709;85,9100;1,3985;52,2966;85,9100;52,2966
3202,9259;99,8020;0,8652;86,3000;1,3909;54,2690;86,3000;54,2690
3506,8344;99,8720;0,8619;87,0800;1,3741;54,4414;87,0800;54,4414
3800,7346;99,9200;0,8593;87,0300;1,3791;54,2138;87,4900;55,2552
4117,6139;99,9090;0,8593;86,6700;1,3921;54,3931;87,4900;55,7310
4413,7903;99,9130;0,8588;86,8700;1,3902;53,4483;87,5800;55,6000
4723,0270;99,9090;0,8582;86,6500;1,3861;53,0690;87,7000;55,7310
5118,9072;99,9100;0,8582;86,7700;1,3841;52,6207;87,8600;55,5655
