;config_210_avg
Standard_Acc;51,2100
RMSCE;0,0918
gaussian_noise;13,9060
shot_noise;18,0060
impulse_noise;17,3120
defocus_blur;22,0140
glass_blur;13,2660
motion_blur;30,4600
zoom_blur;25,7800
snow;27,1780
frost;30,6780
fog;34,7160
brightness;47,7420
contrast;14,2740
elastic_transform;36,1480
pixelate;39,7740
jpeg_compression;36,8360
speckle_noise;12,9880
gaussian_blur;21,8780
spatter;36,6300
saturate;44,2460
blue_noise_sample;31,5500
brownish_noise;25,3720
caustic_refraction;22,7000
checkerboard_cutout;25,6820
cocentric_sine_waves;16,2800
inverse_sparkles;13,3720
perlin_noise;38,9280
plasma_noise;11,6080
single_frequency_greyscale;14,0360
sparkles;35,8640
Acc_C-all-19;27,5701
Acc_C-original-15;27,2060
Acc_C-bar-10;23,5392
Acc_all-ex-pixelwise-noise-24;27,7276
RMSCE_C;0,2621
Combined_Noise;39,3000
