;config_250_avg;config_250_std;config_250_run_0;config_250_run_1
Standard_Acc;73,6100;0,1400;73,7500;73,4700
RMSCE;0,0364;0,0005;0,0359;0,0370
gaussian_noise;29,5480;0,8260;28,7220;30,3740
shot_noise;34,6370;0,9630;33,6740;35,6000
impulse_noise;33,0250;0,4090;33,4340;32,6160
defocus_blur;28,2080;0,7260;27,4820;28,9340
glass_blur;25,2630;0,8690;24,3940;26,1320
motion_blur;38,0110;2,5870;35,4240;40,5980
zoom_blur;33,3050;1,4450;31,8600;34,7500
snow;44,1010;0,4050;44,5060;43,6960
frost;47,3630;0,5350;46,8280;47,8980
fog;44,9180;1,5060;43,4120;46,4240
brightness;56,5500;0,6960;55,8540;57,2460
contrast;20,7910;1,3630;19,4280;22,1540
elastic_transform;44,3720;0,9920;43,3800;45,3640
pixelate;56,7110;0,4530;57,1640;56,2580
jpeg_compression;51,7760;0,4340;51,3420;52,2100
speckle_noise;27,7430;1,0330;26,7100;28,7760
gaussian_blur;29,4170;0,7050;28,7120;30,1220
spatter;48,4630;0,1190;48,3440;48,5820
saturate;50,3740;0,3860;49,9880;50,7600
blue_noise_sample;49,9160;0,3720;50,2880;49,5440
brownish_noise;54,2160;0,2800;53,9360;54,4960
caustic_refraction;34,3800;0,4680;33,9120;34,8480
checkerboard_cutout;46,0050;0,3830;45,6220;46,3880
cocentric_sine_waves;30,5330;1,1970;29,3360;31,7300
inverse_sparkles;30,1080;0,8080;29,3000;30,9160
perlin_noise;58,6230;0,6530;57,9700;59,2760
plasma_noise;27,9190;0,9650;26,9540;28,8840
single_frequency_greyscale;26,9780;0,8820;26,0960;27,8600
sparkles;65,4070;0,0790;65,4860;65,3280
Acc_C-all-19;39,1882;0,7325;38,4557;39,9207
Acc_C-original-15;39,2386;0,7783;38,4603;40,0169
Acc_C-bar-10;42,4085;0,5185;41,8900;42,9270
Acc_all-ex-pixelwise-noise-24;41,4080;0,7109;40,6971;42,1189
RMSCE_C;0,1684;0,0075;0,1758;0,1609
Combined_Noise;55,3950;0,1950;55,5900;55,2000
