time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
92,6685;3,8675;4,9854;7,1550;4,6637;4,9310;7,1550;4,9310
187,3872;8,7750;4,6055;15,8150;4,1187;10,7586;15,8150;10,7586
281,7467;13,2775;4,3269;19,8350;3,9839;13,4828;19,8350;13,4828
375,5323;16,8050;4,1383;23,1950;3,8528;14,5172;23,1950;14,5172
473,7398;20,1175;3,9877;26,6700;3,6621;16,0000;26,6700;16,0000
569,3801;22,5538;3,8609;29,8850;3,5115;18,7241;29,8850;18,7241
664,3339;24,5188;3,7645;32,4850;3,4257;19,8621;32,4850;19,8621
758,1831;26,5850;3,6710;33,2250;3,4021;20,1724;33,2250;20,1724
851,0134;28,6438;3,5818;36,4150;3,2526;23,1379;36,4150;23,1379
946,2861;30,4100;3,5095;38,4100;3,2045;22,7931;38,4100;22,7931
1061,8085;31,8513;3,4433;40,4050;3,1305;24,9655;40,4050;24,9655
1159,4302;33,3462;3,3767;42,6050;3,0377;25,2759;42,6050;25,2759
1262,5881;34,8150;3,3165;44,0800;2,9822;26,2414;44,0800;26,2414
1363,9048;36,3212;3,2623;44,9900;2,9704;26,6897;44,9900;26,6897
1462,2328;37,5463;3,2050;45,6700;2,9475;27,4828;45,6700;27,4828
1567,9605;38,0938;3,1806;47,0800;2,9055;28,1724;47,0800;28,1724
1672,4736;39,2863;3,1384;48,1100;2,8606;28,7241;48,1100;28,7241
1769,6926;39,7800;3,1114;48,8000;2,8305;28,6897;48,8000;28,6897
1867,1103;40,3438;3,0997;48,8850;2,8305;29,0345;48,8850;29,0345
2000,9988;40,8888;3,0761;49,1650;2,8173;29,1034;49,1650;29,1034
2128,7514;32,0825;3,4272;40,1100;3,1545;24,5172;40,1100;24,5172
2224,5826;32,9825;3,4040;41,7100;3,0937;24,9655;41,7100;24,9655
2321,7412;33,6700;3,3611;43,0250;3,0391;27,0000;43,0250;27,0000
2419,5078;34,5375;3,3197;42,4250;3,0660;24,6207;42,4250;24,6207
2515,1461;35,3963;3,2887;43,5550;3,0427;26,8621;43,5550;26,8621
2609,5045;36,5312;3,2409;45,0300;2,9475;28,4138;45,0300;28,4138
2706,3607;37,0237;3,2213;46,1100;2,9416;27,9655;46,1100;27,9655
