;config_451_avg;config_451_std;config_451_run_0;config_451_run_1;config_451_run_2;config_451_run_3;config_451_run_4
Standard_Acc;71,6330;0,3386;71,1950;71,6350;71,8600;71,3450;72,1300
RMSCE;0,0318;0,0048;0,0402;0,0266;0,0339;0,0297;0,0287
gaussian_noise;49,3200;1,4246;48,9000;49,5000;47,4000;49,0000;51,8000
shot_noise;52,4400;2,4254;50,4000;54,1000;51,9000;49,6000;56,2000
impulse_noise;50,5400;1,7591;49,2000;52,4000;49,6000;48,6000;52,9000
defocus_blur;55,3600;1,4894;55,1000;54,1000;55,2000;54,2000;58,2000
glass_blur;33,0000;1,6912;31,0000;35,2000;34,3000;31,1000;33,4000
motion_blur;57,4200;1,5078;58,4000;58,6000;58,8000;55,0000;56,3000
zoom_blur;49,8200;0,9217;49,1000;51,2000;48,6000;49,8000;50,4000
snow;60,5800;2,8555;56,7000;60,0000;58,6000;63,2000;64,4000
frost;62,0600;1,1038;62,4000;63,5000;62,8000;61,1000;60,5000
fog;64,2400;1,2532;62,4000;63,3000;65,3000;64,4000;65,8000
brightness;64,9400;1,4568;64,3000;64,3000;65,4000;63,2000;67,5000
contrast;53,6600;1,8489;50,6000;53,5000;53,2000;54,9000;56,1000
elastic_transform;59,8400;1,4814;62,2000;60,1000;59,3000;57,6000;60,0000
pixelate;61,7600;1,3078;62,9000;59,5000;62,4000;62,9000;61,1000
jpeg_compression;64,7800;1,3891;66,1000;65,2000;62,2000;64,6000;65,8000
speckle_noise;49,3200;2,9661;45,3000;51,8000;47,4000;48,6000;53,5000
gaussian_blur;49,4000;1,8298;46,4000;51,1000;49,6000;48,5000;51,4000
spatter;59,2000;0,7266;59,2000;58,8000;60,4000;58,2000;59,4000
saturate;59,9600;1,5615;59,9000;62,9000;58,3000;59,2000;59,5000
blue_noise_sample;51,5000;1,3372;50,3000;50,5000;53,9000;50,8000;52,0000
brownish_noise;54,5400;1,0613;53,2000;55,7000;53,6000;55,8000;54,4000
caustic_refraction;36,9400;0,3929;36,6000;36,5000;37,5000;36,8000;37,3000
checkerboard_cutout;46,0800;1,7486;43,6000;48,9000;46,5000;46,3000;45,1000
cocentric_sine_waves;29,7000;1,2410;28,7000;29,4000;32,1000;28,8000;29,5000
inverse_sparkles;28,3600;1,3603;28,0000;29,8000;29,2000;25,9000;28,9000
perlin_noise;60,9000;1,7481;59,4000;61,6000;62,6000;58,3000;62,6000
plasma_noise;32,0400;0,8616;31,2000;32,8000;31,0000;32,0000;33,2000
single_frequency_greyscale;27,6000;1,4792;24,9000;29,0000;28,9000;27,6000;27,6000
sparkles;63,6000;1,4436;62,2000;62,8000;65,4000;65,3000;62,3000
Acc_C-all-19;55,6653;0,8722;54,7632;56,2684;55,3000;54,9316;57,0632
Acc_C-original-15;55,9840;0,7797;55,3133;56,3000;55,6667;55,2800;57,3600
Acc_C-bar-10;43,1260;0,7891;41,8100;43,7000;44,0700;42,7600;43,2900
Acc_all-ex-pixelwise-noise-24;51,4908;0,5810;50,6042;51,9917;51,7167;51,0292;52,1125
RMSCE_C;0,1121;0,0096;0,1290;0,1012;0,1156;0,1078;0,1070
Combined_Noise;65,5850;0,6397;64,7350;65,7200;66,1300;64,9650;66,3750
