;config_494_avg;config_494_std;config_494_run_0;config_494_run_1;config_494_run_2
Standard_Acc;73,1100;0,0990;73,1300;73,2200;72,9800
RMSCE;0,0186;0,0030;0,0227;0,0176;0,0156
gaussian_noise;34,8760;1,9360;32,3100;36,9860;35,3320
shot_noise;39,6720;1,3989;37,8220;41,2040;39,9900
impulse_noise;37,7260;1,7221;35,3540;39,3900;38,4340
defocus_blur;44,5300;1,6262;46,5680;44,4340;42,5880
glass_blur;37,9707;0,8167;38,5740;38,5220;36,8160
motion_blur;53,9427;0,0885;53,9960;53,8180;54,0140
zoom_blur;48,7553;1,2759;49,4960;49,8100;46,9600
snow;49,3100;0,8673;49,8540;49,9900;48,0860
frost;52,2807;0,5708;52,4580;52,8740;51,5100
fog;54,6773;0,2750;54,9260;54,8120;54,2940
brightness;61,4633;0,3228;61,6620;61,7200;61,0080
contrast;41,4273;0,3872;41,6880;41,7140;40,8800
elastic_transform;56,4087;0,4492;56,6440;56,8020;55,7800
pixelate;58,4340;0,5297;59,1420;57,8680;58,2920
jpeg_compression;58,8700;0,3762;59,4020;58,6120;58,5960
speckle_noise;32,6333;2,0037;29,8800;34,5900;33,4300
gaussian_blur;47,4800;1,6101;49,3660;47,6420;45,4320
spatter;51,7427;0,2903;52,0380;51,3480;51,8420
saturate;55,9087;0,2533;56,2500;55,6440;55,8320
blue_noise_sample;55,5680;0,9987;56,2020;56,3440;54,1580
brownish_noise;56,3893;0,7035;57,2020;56,4800;55,4860
caustic_refraction;38,6753;0,3557;39,1360;38,6200;38,2700
checkerboard_cutout;47,0693;0,1083;47,1840;46,9240;47,1000
cocentric_sine_waves;32,0033;0,6428;31,1100;32,3040;32,5960
inverse_sparkles;28,8093;0,4841;29,0020;28,1440;29,2820
perlin_noise;61,2213;0,6035;61,9180;61,3000;60,4460
plasma_noise;31,9640;0,9741;31,9700;33,1540;30,7680
single_frequency_greyscale;29,1727;0,3208;29,1420;29,5800;28,7960
sparkles;64,3913;0,5313;65,1360;63,9320;64,1060
Acc_C-all-19;48,3215;0,4018;48,2858;48,8305;47,8482
Acc_C-original-15;48,6896;0,4353;48,6597;49,2371;48,1720
Acc_C-bar-10;44,5264;0,3050;44,8002;44,6782;44,1008
Acc_all-ex-pixelwise-noise-24;48,4541;0,4367;48,9110;48,5853;47,8658
RMSCE_C;0,1025;0,0032;0,1069;0,0992;0,1013
Combined_Noise;66,6100;0,5208;66,3300;67,3400;66,1600
