train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,0610;4,8659;9,3200;4,5816;5,3310;9,3200;5,3310
12,1485;4,3698;13,3600;4,3514;6,2138;13,3600;6,2138
17,1974;4,0843;20,3000;4,0068;9,4552;20,3000;9,4552
20,7738;3,9063;26,8300;3,7063;12,0483;26,8300;12,0483
24,5725;3,7399;29,5400;3,5928;12,5172;29,5400;12,5172
26,9918;3,6252;31,5400;3,5146;13,8207;31,5400;13,8207
29,1276;3,5298;33,2900;3,4439;14,9517;33,2900;14,9517
30,8616;3,4444;36,6600;3,3094;16,5931;36,6600;16,5931
33,0064;3,3610;39,7500;3,1304;19,4690;39,7500;19,4690
34,8186;3,2802;42,0000;3,0408;20,0483;42,0000;20,0483
36,1590;3,2192;43,4200;2,9983;21,2345;43,4200;21,2345
37,8710;3,1546;44,5700;2,9650;19,6207;44,5700;19,6207
39,2555;3,0969;45,4400;2,8938;21,8414;45,4400;21,8414
40,3765;3,0545;48,3400;2,8356;24,4069;48,3400;24,4069
41,6277;3,0023;49,9200;2,7927;23,5517;49,9200;23,5517
42,6896;2,9635;50,5900;2,7437;23,3793;50,5900;23,3793
43,4679;2,9267;50,8800;2,7487;23,4000;50,8800;23,4000
44,2664;2,9041;51,9800;2,7056;24,4828;51,9800;24,4828
44,5008;2,8894;52,9100;2,6670;25,3379;52,9100;25,3379
44,8374;2,8798;52,5200;2,6839;25,1448;52,5200;25,1448
36,1680;3,2229;43,1100;3,0361;19,2069;43,1100;19,2069
36,8803;3,2035;42,1900;3,0456;18,7931;42,1900;18,7931
37,4433;3,1694;45,3400;2,9237;20,6759;45,3400;20,6759
38,4911;3,1252;44,9000;2,9457;19,6897;44,9000;19,6897
39,3446;3,0993;45,0300;2,9298;19,5448;45,0300;19,5448
40,1931;3,0633;46,2400;2,8961;21,5448;46,2400;21,5448
40,6209;3,0376;48,1700;2,7984;21,8897;48,1700;21,8897
41,8851;2,9948;48,0300;2,8861;22,6897;48,0300;22,6897
42,1997;2,9735;50,2800;2,7351;23,8897;50,2800;23,8897
42,9039;2,9516;48,8700;2,7979;24,1103;48,8700;24,1103
43,5701;2,9251;51,0100;2,7466;22,6552;51,0100;22,6552
44,3315;2,8876;51,5000;2,7194;22,9310;51,5000;22,9310
45,2271;2,8598;51,6500;2,7069;25,2621;51,6500;25,2621
45,7550;2,8371;52,8000;2,6156;27,4690;52,8000;27,4690
46,4893;2,8115;53,7200;2,6086;25,9655;53,7200;25,9655
46,7888;2,7959;53,7200;2,5812;27,5448;53,7200;27,5448
47,5161;2,7655;55,5400;2,5501;26,9379;55,5400;26,9379
47,8337;2,7494;55,0000;2,5504;27,1724;55,0000;27,1724
48,3656;2,7253;55,9400;2,5336;28,5586;55,9400;28,5586
49,4365;2,6881;56,2900;2,4947;28,8207;56,2900;28,8207
49,8653;2,6748;57,9400;2,4744;29,8069;57,9400;29,8069
50,7598;2,6418;57,9400;2,4559;29,2690;57,9400;29,2690
50,9552;2,6322;59,1300;2,4129;30,2897;59,1300;30,2897
51,8758;2,5997;59,3500;2,4053;30,2966;59,3500;30,2966
52,3126;2,5794;59,5100;2,4077;30,1862;59,5100;30,1862
52,8786;2,5571;59,7400;2,3960;30,6690;59,7400;30,6690
53,4636;2,5357;61,3900;2,3576;33,4207;61,3900;33,4207
53,5388;2,5324;61,8400;2,3388;31,3655;61,8400;31,3655
54,2650;2,5078;62,5700;2,3085;31,9448;62,5700;31,9448
54,8070;2,4880;62,4800;2,2961;33,1034;62,4800;33,1034
55,1937;2,4666;63,3500;2,2762;32,3931;63,3500;32,3931
