time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
122,4604;3,6940;4,9602;8,2200;4,5669;4,6138;8,2200;4,6138
255,1797;8,4300;4,5698;13,8300;4,3028;7,2759;13,8300;7,2759
385,0213;12,3990;4,3301;16,5800;4,2310;7,1172;16,5800;7,1172
514,8354;15,9690;4,1576;22,5200;3,8347;11,8345;22,5200;11,8345
622,6547;18,6250;4,0120;25,3700;3,6696;12,2345;25,3700;12,2345
734,5299;21,1360;3,8899;26,4600;3,6542;10,8207;26,4600;10,8207
840,9768;22,9400;3,8007;30,6500;3,4740;13,3034;30,6500;13,3034
944,1667;25,4100;3,6946;29,8800;3,5358;13,9379;29,8800;13,9379
1061,4975;26,9020;3,6305;33,4400;3,3430;14,7793;33,4400;14,7793
1175,8107;29,0180;3,5413;35,6500;3,2960;16,2207;35,6500;16,2207
1289,0943;29,9250;3,4961;38,7100;3,1758;16,7724;38,7100;16,7724
1405,5187;31,6640;3,4273;40,7400;3,0859;17,8897;40,7400;17,8897
1525,3053;32,9170;3,3651;42,5000;3,0449;18,8138;42,5000;18,8138
1637,3476;34,1320;3,3222;42,0200;3,0479;18,7517;42,0200;18,7517
1769,5050;34,8420;3,2917;44,9600;2,9450;20,4414;44,9600;20,4414
1882,3793;35,6150;3,2547;45,8000;2,9173;20,5379;45,8000;20,5379
1994,2548;36,8860;3,2059;46,1000;2,9045;20,6207;46,1000;20,6207
2105,8793;37,4680;3,1771;46,7400;2,8758;21,3379;46,7400;21,3379
2215,4094;37,7850;3,1657;47,1300;2,8666;21,5586;47,1300;21,5586
2336,6923;37,6970;3,1715;47,3000;2,8559;21,7034;47,3000;21,7034
2453,3161;29,9340;3,4942;38,5600;3,1821;17,4966;38,5600;17,4966
2574,5296;30,4460;3,4654;38,9500;3,1579;17,7103;38,9500;17,7103
2694,3814;31,5990;3,4203;37,6600;3,2613;17,3241;37,6600;17,3241
2804,4596;32,5410;3,3866;41,3400;3,0691;18,8207;41,3400;18,8207
