;config_511_avg
Standard_Acc;70,6000
RMSCE;0,0285
gaussian_noise;31,6540
shot_noise;36,1140
impulse_noise;30,5760
defocus_blur;41,7520
glass_blur;30,5160
motion_blur;47,2700
zoom_blur;45,4840
snow;46,4520
frost;47,2160
fog;50,1380
brightness;57,0600
contrast;36,1040
elastic_transform;50,5360
pixelate;49,1520
jpeg_compression;56,6440
speckle_noise;31,4620
gaussian_blur;44,3160
spatter;46,1680
saturate;56,4020
blue_noise_sample;52,9020
brownish_noise;60,9240
caustic_refraction;34,6780
checkerboard_cutout;41,0320
cocentric_sine_waves;28,5680
inverse_sparkles;25,3740
perlin_noise;59,1220
plasma_noise;41,4400
single_frequency_greyscale;26,0120
sparkles;63,1100
Acc_C-all-19;43,9482
Acc_C-original-15;43,7779
Acc_C-bar-10;43,3162
Acc_all-ex-pixelwise-noise-24;45,2279
RMSCE_C;0,1194
Combined_Noise;61,4300
