train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,1480;4,8627;10,0300;4,4935;4,3241;10,0300;4,3241
11,4630;4,4139;15,3600;4,2115;6,1241;15,3600;6,1241
16,1310;4,1504;20,0900;4,0808;8,5862;20,0900;8,5862
19,7190;3,9694;26,5500;3,6711;10,5862;26,5500;10,5862
22,8860;3,8168;28,8100;3,6483;11,3655;28,8100;11,3655
25,4230;3,7007;28,2100;3,6136;10,5931;28,2100;10,5931
27,6800;3,5990;35,3600;3,3053;14,1862;35,3600;14,1862
29,7870;3,5090;35,7100;3,2901;13,4069;35,7100;13,4069
31,6270;3,4297;38,1100;3,1843;16,8897;38,1100;16,8897
33,2000;3,3560;41,8300;3,1443;17,6000;41,8300;17,6000
35,1270;3,2785;42,2300;3,0732;18,1655;42,2300;18,1655
36,5430;3,2149;44,7400;2,9876;18,7724;44,7400;18,7724
37,9820;3,1565;46,0800;2,9540;19,8966;46,0800;19,8966
39,4280;3,1043;45,9900;2,9585;19,8552;45,9900;19,8552
40,6590;3,0486;47,5300;2,9086;21,0621;47,5300;21,0621
41,7370;3,0094;48,9700;2,8332;21,4759;48,9700;21,4759
42,9560;2,9659;49,9200;2,8194;22,5655;49,9200;22,5655
43,4610;2,9387;50,1800;2,8023;23,0828;50,1800;23,0828
44,2080;2,9146;50,8600;2,7812;23,0690;50,8600;23,0690
44,5440;2,9040;50,9300;2,7632;23,3034;50,9300;23,3034
35,0710;3,2831;40,3700;3,1280;16,3034;40,3700;16,3034
35,1270;3,2731;43,4500;3,0209;20,1931;43,4500;20,1931
36,1810;3,2313;41,2400;3,0991;17,9310;41,2400;17,9310
37,4720;3,1913;45,1500;2,9796;21,2414;45,1500;21,2414
37,7710;3,1526;46,5300;2,9435;22,8621;46,5300;22,8621
39,0530;3,1112;47,7100;2,8183;20,1379;47,7100;20,1379
40,0580;3,0743;48,0100;2,8486;22,4621;48,0100;22,4621
40,6320;3,0501;47,8100;2,8340;20,9310;47,8100;20,9310
41,4700;3,0133;49,2300;2,8024;23,1793;49,2300;23,1793
42,3090;2,9844;50,0100;2,7981;24,0069;50,0100;24,0069
42,9220;2,9521;50,3600;2,7860;24,7793;50,3600;24,7793
43,7970;2,9201;52,2100;2,7677;25,6000;52,2100;25,6000
44,6190;2,8884;52,2800;2,7179;26,6621;52,2800;26,6621
45,2440;2,8658;53,7300;2,6886;25,7172;53,7300;25,7172
46,1520;2,8315;54,0700;2,6438;26,6414;54,0700;26,6414
46,9000;2,7995;54,1600;2,6347;26,1241;54,1600;26,1241
47,5180;2,7724;53,7800;2,6302;27,4276;53,7800;27,4276
48,2460;2,7527;54,6900;2,6240;25,8483;54,6900;25,8483
49,2230;2,7133;56,4500;2,5782;30,0966;56,4500;30,0966
49,6370;2,6926;56,4200;2,5452;29,0345;56,4200;29,0345
50,5140;2,6596;57,9000;2,5081;30,0069;57,9000;30,0069
51,1170;2,6363;57,5600;2,5258;29,1655;57,5600;29,1655
51,9690;2,6068;57,5400;2,5197;30,1586;57,5400;30,1586
52,5750;2,5791;58,5700;2,4688;30,0897;58,5700;30,0897
53,5560;2,5482;59,3200;2,4566;30,8000;59,3200;30,8000
53,9550;2,5285;59,8300;2,4524;30,7793;59,8300;30,7793
54,9920;2,4963;60,3400;2,4247;31,4069;60,3400;31,4069
55,6010;2,4718;60,4500;2,4133;31,4759;60,4500;31,4759
56,1950;2,4474;61,4600;2,3752;32,4483;61,4600;32,4483
56,9310;2,4247;61,3800;2,4037;31,1172;61,3800;31,1172
57,5440;2,4028;61,9600;2,3666;32,1517;61,9600;32,1517
58,3030;2,3800;61,9500;2,3667;33,1034;61,9500;33,1034
58,7830;2,3607;62,2400;2,3519;32,2621;62,2400;32,2621
59,1610;2,3471;62,7400;2,3444;32,9103;62,7400;32,9103
59,6730;2,3282;63,0500;2,3329;33,1724;63,0500;33,1724
59,9080;2,3173;63,0500;2,3326;33,3724;63,0500;33,3724
60,4710;2,3008;63,2000;2,3264;33,2897;63,2000;33,2897
60,5580;2,2902;63,4600;2,3272;33,5310;63,4600;33,5310
60,7700;2,2921;63,5400;2,3149;33,4552;63,5400;33,4552
60,9610;2,2874;63,4800;2,3186;33,3724;63,4800;33,3724
47,1570;2,7860;52,1500;2,7196;24,2828;52,1500;24,2828
46,3770;2,8138;53,5700;2,6770;25,7448;53,5700;25,7448
47,0180;2,7938;53,3500;2,6831;26,1724;53,3500;26,1724
47,1520;2,7846;53,3400;2,6918;28,0483;53,3400;28,0483
47,4280;2,7778;52,9800;2,7126;25,1724;52,9800;25,1724
47,8950;2,7609;53,5000;2,6542;27,1034;53,5000;27,1034
48,2630;2,7463;53,8300;2,6138;27,4483;53,8300;27,4483
48,3450;2,7318;55,1300;2,6268;28,3034;55,1300;28,3034
49,0090;2,7135;55,5000;2,6196;26,5241;55,5000;26,5241
49,2450;2,7085;55,4800;2,6117;27,6276;55,4800;27,6276
49,6250;2,6865;53,8500;2,6851;26,3793;53,8500;26,3793
50,1550;2,6696;54,7500;2,6390;25,7586;54,7500;25,7586
50,2540;2,6666;55,6300;2,5967;27,3862;55,6300;27,3862
50,9700;2,6450;56,5600;2,5565;28,4828;56,5600;28,4828
50,9830;2,6338;55,2900;2,5997;26,4483;55,2900;26,4483
51,3680;2,6235;56,8700;2,5746;28,6966;56,8700;28,6966
51,5430;2,6144;56,4600;2,5777;28,4759;56,4600;28,4759
51,9500;2,5996;57,0500;2,5654;28,8759;57,0500;28,8759
52,4120;2,5852;57,1200;2,5588;30,8897;57,1200;30,8897
52,6550;2,5785;57,2200;2,5274;28,4690;57,2200;28,4690
53,0410;2,5596;56,1200;2,5483;29,0828;56,1200;29,0828
53,3970;2,5480;57,2100;2,5479;30,4621;57,2100;30,4621
53,6370;2,5344;58,1700;2,5026;31,7793;58,1700;31,7793
53,7780;2,5253;58,7600;2,5179;30,9586;58,7600;30,9586
54,5510;2,5085;57,7000;2,5810;29,5793;57,7000;29,5793
54,7340;2,4992;59,2600;2,4787;31,3034;59,2600;31,3034
55,0120;2,4868;57,6900;2,5375;30,1517;57,6900;30,1517
55,3500;2,4767;58,9800;2,4759;30,2759;58,9800;30,2759
55,8170;2,4592;59,1400;2,4709;31,1517;59,1400;31,1517
55,8710;2,4549;59,0300;2,4777;30,0966;59,0300;30,0966
56,3450;2,4367;58,6800;2,5084;30,7103;58,6800;30,7103
56,7900;2,4201;59,4900;2,4861;31,5862;59,4900;31,5862
56,8790;2,4160;60,5300;2,4456;32,4759;60,5300;32,4759
57,4670;2,3959;60,6700;2,4104;32,9931;60,6700;32,9931
57,7260;2,3856;60,1100;2,4493;32,2000;60,1100;32,2000
58,3030;2,3703;60,0800;2,4685;33,4966;60,0800;33,4966
58,4080;2,3585;61,8000;2,3684;32,9724;61,8000;32,9724
59,0960;2,3426;61,5900;2,4008;33,9586;61,5900;33,9586
58,9880;2,3370;61,2100;2,4052;31,9862;61,2100;31,9862
59,8220;2,3183;61,1800;2,3989;33,3586;61,1800;33,3586
60,0610;2,3063;62,0500;2,3566;31,9103;62,0500;31,9103
60,4390;2,2917;62,0500;2,3769;34,3517;62,0500;34,3517
60,8780;2,2739;61,9700;2,3577;34,7724;61,9700;34,7724
61,2300;2,2680;62,2900;2,3654;34,9241;62,2900;34,9241
61,8540;2,2450;63,0300;2,3472;34,1241;63,0300;34,1241
62,0840;2,2328;62,5000;2,3499;35,0276;62,5000;35,0276
62,5580;2,2225;62,0200;2,3744;34,0759;62,0200;34,0759
62,9100;2,2069;63,0600;2,3551;33,6138;63,0600;33,6138
63,4540;2,1875;63,4500;2,3236;35,0828;63,4500;35,0828
63,9480;2,1802;63,5500;2,3307;35,2690;63,5500;35,2690
63,9470;2,1685;63,2200;2,3227;35,0966;63,2200;35,0966
64,5180;2,1492;63,9600;2,2888;35,3034;63,9600;35,3034
64,8940;2,1358;64,4000;2,2968;35,8828;64,4000;35,8828
65,5760;2,1162;64,6600;2,2962;34,7517;64,6600;34,7517
65,8600;2,1102;64,5500;2,3085;34,6552;64,5500;34,6552
66,4250;2,0874;65,3100;2,2806;36,3310;65,3100;36,3310
66,7120;2,0749;64,6500;2,2638;36,1862;64,6500;36,1862
67,0680;2,0676;65,3800;2,2611;36,9379;65,3800;36,9379
67,4830;2,0508;65,1600;2,2453;37,2966;65,1600;37,2966
67,7900;2,0389;65,2900;2,2530;36,7310;65,2900;36,7310
68,1000;2,0311;65,6000;2,2495;36,4414;65,6000;36,4414
68,6010;2,0138;65,9200;2,2317;37,4000;65,9200;37,4000
69,1670;1,9972;65,6400;2,2394;36,7034;65,6400;36,7034
69,5010;1,9876;66,0700;2,2164;37,6000;66,0700;37,6000
69,8870;1,9727;65,7900;2,2304;36,7034;65,7900;36,7034
70,0490;1,9696;66,4200;2,2094;36,3655;66,4200;36,3655
70,4170;1,9533;66,2900;2,2155;37,8138;66,2900;37,8138
70,7930;1,9457;65,7300;2,2265;36,6690;65,7300;36,6690
71,0180;1,9376;66,3300;2,2075;37,4207;66,3300;37,4207
71,1430;1,9354;66,4800;2,2047;36,9931;66,4800;36,9931
71,3760;1,9261;66,4500;2,2032;37,4069;66,4500;37,4069
71,8340;1,9135;66,5400;2,2017;37,7655;66,5400;37,7655
71,8750;1,9096;66,3800;2,1978;37,6276;66,3800;37,6276
72,1000;1,8996;66,7000;2,1955;37,8414;66,7000;37,8414
72,1530;1,9025;66,6500;2,1910;37,5034;66,6500;37,5034
72,2610;1,8956;66,6300;2,1961;37,6138;66,6300;37,6138
72,4130;1,8945;66,6000;2,1958;37,6345;66,6000;37,6345
72,6120;1,8873;66,5800;2,1884;37,7310;66,5800;37,7310
72,4490;1,8913;66,8100;2,1880;37,5862;66,8100;37,5862
72,6470;1,8860;66,8100;2,1859;37,4276;66,8100;37,4276
53,3680;2,5336;53,1200;2,7403;26,0621;53,1200;26,0621
52,1310;2,5860;54,2900;2,6953;27,3448;54,2900;27,3448
