;config_11_avg
Standard_Acc;70,3200
RMSCE;0,0137
gaussian_noise;36,0140
shot_noise;39,4200
impulse_noise;37,7220
defocus_blur;42,8700
glass_blur;36,7680
motion_blur;50,1900
zoom_blur;45,5840
snow;47,3440
frost;49,9060
fog;51,2580
brightness;57,2580
contrast;38,6520
elastic_transform;52,6780
pixelate;55,8080
jpeg_compression;55,2180
speckle_noise;32,9840
gaussian_blur;45,4160
spatter;48,2040
saturate;51,8640
blue_noise_sample;48,5540
brownish_noise;53,7180
caustic_refraction;36,6920
checkerboard_cutout;45,2260
cocentric_sine_waves;30,6660
inverse_sparkles;26,7120
perlin_noise;59,1600
plasma_noise;32,0920
single_frequency_greyscale;26,3640
sparkles;62,2780
Acc_C-all-19;46,0609
Acc_C-original-15;46,4460
Acc_C-bar-10;42,1462
Acc_all-ex-pixelwise-noise-24;45,9136
RMSCE_C;0,0953
Combined_Noise;64,1800
