;config_311_avg
Standard_Acc;53,8700
RMSCE;0,0790
gaussian_noise;15,8840
shot_noise;20,3860
impulse_noise;20,9660
defocus_blur;32,8120
glass_blur;17,5620
motion_blur;40,8240
zoom_blur;37,1600
snow;30,8260
frost;33,0640
fog;41,0660
brightness;52,3700
contrast;29,2220
elastic_transform;43,9320
pixelate;41,0740
jpeg_compression;41,3960
speckle_noise;15,3820
gaussian_blur;33,7200
spatter;40,6320
saturate;48,9800
blue_noise_sample;37,0880
brownish_noise;26,0520
caustic_refraction;22,8160
checkerboard_cutout;28,5880
cocentric_sine_waves;17,0740
inverse_sparkles;13,2300
perlin_noise;39,6060
plasma_noise;12,7580
single_frequency_greyscale;15,9580
sparkles;38,3720
Acc_C-all-19;33,5399
Acc_C-original-15;33,2363
Acc_C-bar-10;25,1542
Acc_all-ex-pixelwise-noise-24;32,4623
RMSCE_C;0,1991
Combined_Noise;47,2200
