time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
114,4493;5,4420;4,8206;10,7400;4,4275;6,1379;10,7400;6,1379
228,2181;13,7720;4,2455;14,4400;4,4110;8,5241;14,4400;8,5241
346,9763;20,3870;3,9216;20,1000;4,0421;10,3793;20,1000;10,3793
462,6988;25,4310;3,6890;20,2200;4,1036;11,3241;20,2200;11,3241
578,4490;29,0500;3,5241;25,4000;3,7941;11,7862;25,4000;11,7862
691,6408;32,4090;3,3813;25,1900;3,8921;13,6897;25,1900;13,6897
804,8604;34,8190;3,2724;27,7400;3,8216;13,7793;27,7400;13,7793
915,3247;37,4020;3,1775;29,9300;3,6373;16,0207;29,9300;16,0207
1030,8556;39,2890;3,0849;28,5100;3,7549;15,2414;28,5100;15,2414
1157,6414;41,4190;3,0053;31,5500;3,5774;15,0000;31,5500;15,0000
1269,6747;43,0610;2,9384;34,3600;3,4240;16,7172;34,3600;16,7172
1385,5386;44,6010;2,8836;32,4100;3,5639;15,6690;32,4100;15,6690
1501,3944;46,3000;2,8177;36,3100;3,3918;18,1586;36,3100;18,1586
1616,0112;47,1910;2,7780;36,6900;3,3715;17,8000;36,6900;17,8000
1734,3929;48,7210;2,7288;38,2500;3,3301;17,3862;38,2500;17,3862
1850,3558;49,6260;2,6886;40,2300;3,1632;19,4069;40,2300;19,4069
1962,1675;50,6010;2,6508;40,7500;3,1970;18,6345;40,7500;18,6345
2081,4210;51,6130;2,6167;40,1300;3,2267;19,0000;40,1300;19,0000
2193,3941;51,9310;2,6076;41,6300;3,1741;19,8414;41,6300;19,8414
2299,8907;52,1450;2,5926;42,0600;3,1360;19,5586;42,0600;19,5586
2411,9871;42,5610;2,9534;33,5300;3,4703;16,2069;33,5300;16,2069
2524,7836;43,3840;2,9312;30,6800;3,7125;15,0897;30,6800;15,0897
2648,4711;44,1250;2,8963;34,8500;3,4186;16,0345;34,8500;16,0345
2761,9929;44,8590;2,8652;33,0000;3,5286;16,3586;33,0000;16,3586
2876,2701;45,9210;2,8336;37,6900;3,2798;17,3448;37,6900;17,3448
2989,6150;46,8790;2,7936;37,9200;3,2436;16,4000;37,9200;16,4000
3101,7067;47,7780;2,7611;37,9100;3,2774;17,3931;37,9100;17,3931
3213,2585;48,7120;2,7216;35,0700;3,4853;17,6207;35,0700;17,6207
3326,8018;49,2410;2,7020;36,2900;3,3479;16,8690;36,2900;16,8690
3442,9743;49,7700;2,6769;40,5900;3,1292;18,5034;40,5900;18,5034
3557,2673;50,4930;2,6467;40,5800;3,1532;18,1172;40,5800;18,1172
3668,8311;51,1430;2,6233;38,1500;3,2116;18,4690;38,1500;18,4690
3782,3882;51,8520;2,5982;39,4100;3,2073;17,8138;39,4100;17,8138
3894,7933;52,4050;2,5726;39,5000;3,2304;18,1793;39,5000;18,1793
4007,4492;53,0740;2,5490;41,7600;3,1083;19,5448;41,7600;19,5448
4122,3404;53,8570;2,5268;42,3000;3,1348;20,2345;42,3000;20,2345
4233,8450;54,0840;2,5066;44,9200;2,9652;22,2621;44,9200;22,2621
4343,6235;55,2140;2,4713;40,7500;3,2367;19,5103;40,7500;19,5103
4457,3945;55,4890;2,4556;43,3400;3,0373;21,0207;43,3400;21,0207
4568,3336;56,1270;2,4307;45,6900;2,9715;21,3172;45,6900;21,3172
4681,6641;56,7900;2,4126;43,1800;3,0540;20,2759;43,1800;20,2759
4795,7845;57,1870;2,3921;45,4500;2,9218;20,3793;45,4500;20,3793
4908,3103;57,8360;2,3663;45,9700;2,9418;20,9862;45,9700;20,9862
5022,8565;58,2320;2,3543;46,1400;2,9882;21,9034;46,1400;21,9034
5137,1744;58,8300;2,3316;46,1600;2,9219;21,7379;46,1600;21,7379
5252,0189;59,5020;2,3051;48,0400;2,8517;21,5172;48,0400;21,5172
5364,9441;60,1920;2,2868;46,0700;2,9432;21,8069;46,0700;21,8069
5478,8696;60,4690;2,2672;49,6800;2,7618;24,6621;49,6800;24,6621
5589,2237;60,9840;2,2502;46,2300;2,9717;22,7931;46,2300;22,7931
5700,0448;61,4070;2,2335;46,3200;2,9252;22,9034;46,3200;22,9034
5812,7752;62,2880;2,2058;48,3800;2,8397;23,1862;48,3800;23,1862
5925,7307;62,3900;2,2029;48,4900;2,8477;23,1793;48,4900;23,1793
6036,9415;62,7900;2,1847;47,0800;2,8861;22,3586;47,0800;22,3586
6150,5384;63,3450;2,1700;48,6800;2,8473;23,6069;48,6800;23,6069
6264,5570;63,2670;2,1672;49,1700;2,8131;23,3586;49,1700;23,3586
6376,2946;63,9030;2,1454;49,7900;2,7892;23,8207;49,7900;23,8207
6491,0170;63,8250;2,1457;48,9000;2,8259;23,7793;48,9000;23,7793
6603,4848;64,3080;2,1358;49,1900;2,7976;24,2483;49,1900;24,2483
6715,9676;64,1180;2,1377;49,7000;2,7948;23,9103;49,7000;23,9103
6827,2889;64,4410;2,1283;49,3000;2,7988;24,0828;49,3000;24,0828
6939,0688;53,8430;2,5225;41,6000;3,0973;20,7586;41,6000;20,7586
7051,2919;52,8830;2,5507;40,3400;3,1416;19,5379;40,3400;19,5379
7162,9821;53,2730;2,5364;37,1800;3,3400;16,4069;37,1800;16,4069
7274,9597;53,4040;2,5325;40,1300;3,2049;20,2138;40,1300;20,2138
7387,4278;53,7040;2,5217;40,0700;3,1550;19,0552;40,0700;19,0552
7501,7162;53,9980;2,5124;40,1500;3,2337;21,0897;40,1500;21,0897
7612,9850;54,3840;2,4963;40,8700;3,1860;19,8621;40,8700;19,8621
7725,2082;54,4490;2,4918;41,4700;3,1483;20,0759;41,4700;20,0759
7839,2325;54,7910;2,4760;45,3700;2,9343;20,7793;45,3700;20,7793
7951,3181;55,3040;2,4621;44,8300;2,9962;20,9724;44,8300;20,9724
8065,0925;55,4920;2,4538;42,0000;3,1141;20,1103;42,0000;20,1103
8183,1677;55,5200;2,4501;39,5000;3,2902;17,2000;39,5000;17,2000
8294,6974;55,8060;2,4381;43,8100;3,0686;22,6207;43,8100;22,6207
8409,2848;56,3430;2,4179;45,1000;2,9843;23,2414;45,1000;23,2414
8531,2873;56,6200;2,4160;46,3700;2,9437;21,5586;46,3700;21,5586
8644,9972;56,9940;2,4025;40,6800;3,2106;17,9862;40,6800;17,9862
8756,7666;56,8530;2,3996;44,7200;2,9900;23,1034;44,7200;23,1034
8874,0031;57,3390;2,3871;42,0800;3,1386;20,3172;42,0800;20,3172
8988,8267;57,5830;2,3733;45,1400;3,0126;21,1310;45,1400;21,1310
9099,9260;57,5860;2,3729;46,5100;2,9341;23,2000;46,5100;23,2000
9214,5495;58,0360;2,3617;40,6800;3,1864;19,3448;40,6800;19,3448
9331,0795;58,2090;2,3570;39,5200;3,2728;16,7655;39,5200;16,7655
9443,1173;58,1280;2,3491;45,2000;2,9826;22,6207;45,2000;22,6207
9555,3228;58,4850;2,3417;44,4300;3,0259;20,7034;44,4300;20,7034
9668,8179;58,7980;2,3248;44,3200;3,0151;21,8483;44,3200;21,8483
9783,4248;59,3090;2,3101;41,8800;3,1710;19,8621;41,8800;19,8621
9906,2306;58,9290;2,3160;47,1700;2,8470;24,4276;47,1700;24,4276
10019,2200;59,6820;2,2944;47,8400;2,8159;23,4000;47,8400;23,4000
10133,3323;59,5810;2,3001;45,5800;3,0150;22,8069;45,5800;22,8069
10250,4725;59,7610;2,2862;46,2100;2,9403;21,5931;46,2100;21,5931
10362,2505;59,9780;2,2792;47,8800;2,8112;25,1034;47,8800;25,1034
10475,4064;60,3600;2,2751;47,7900;2,8600;20,7241;47,7900;20,7241
10590,9792;60,4860;2,2629;47,6100;2,8505;22,1172;47,6100;22,1172
10706,1429;60,8780;2,2477;43,6400;3,0699;21,2828;43,6400;21,2828
10822,5840;61,2390;2,2415;44,9800;3,0023;21,7793;44,9800;21,7793
10930,7448;61,3180;2,2327;43,2100;3,0987;20,8207;43,2100;20,8207
11043,0472;61,6020;2,2283;47,9800;2,8789;24,4207;47,9800;24,4207
11159,7819;61,6370;2,2200;48,9400;2,8210;23,6138;48,9400;23,6138
11275,8146;61,8380;2,2086;49,8100;2,8326;23,9655;49,8100;23,9655
11405,3003;62,2810;2,1968;50,8500;2,6870;26,8897;50,8500;26,8897
11531,4194;62,6600;2,1886;50,2100;2,7642;25,4897;50,2100;25,4897
11664,7846;62,8380;2,1769;48,9700;2,7886;25,4621;48,9700;25,4621
