;config_318_avg;config_318_std;config_318_run_0;config_318_run_1;config_318_run_2
Standard_Acc;60,0467;0,1806;59,8400;60,0200;60,2800
RMSCE;0,0378;0,0094;0,0343;0,0285;0,0506
gaussian_noise;22,8833;0,8848;23,4000;23,6120;21,6380
shot_noise;28,0147;0,6223;28,6040;28,2860;27,1540
impulse_noise;25,2973;0,3512;25,0460;25,7940;25,0520
defocus_blur;29,5673;0,4886;29,3500;30,2440;29,1080
glass_blur;21,3767;0,6473;21,2260;22,2340;20,6700
motion_blur;40,6233;0,2212;40,3300;40,8640;40,6760
zoom_blur;32,8060;0,6378;32,3040;33,7060;32,4080
snow;39,1207;0,5901;39,6060;39,4660;38,2900
frost;42,4127;0,6655;43,2020;42,4620;41,5740
fog;46,9260;0,6787;47,7300;46,0700;46,9780
brightness;56,9367;0,4755;57,5520;56,8640;56,3940
contrast;25,8513;1,2563;27,3480;24,2740;25,9320
elastic_transform;46,1773;0,3733;45,6500;46,4200;46,4620
pixelate;52,1920;0,2278;51,9140;52,4720;52,1900
jpeg_compression;48,0387;0,4772;47,4320;48,5980;48,0860
speckle_noise;22,0153;0,3719;22,4120;22,1160;21,5180
gaussian_blur;29,6887;0,6346;29,6680;30,4760;28,9220
spatter;45,3947;0,4300;45,2520;44,9540;45,9780
saturate;51,7240;0,4295;51,8160;51,1580;52,1980
blue_noise_sample;37,7787;0,9522;36,9180;37,3120;39,1060
brownish_noise;30,5547;0,4111;30,8200;30,8700;29,9740
caustic_refraction;27,7533;0,6842;26,7960;28,3540;28,1100
checkerboard_cutout;36,4933;0,5767;35,8360;37,2400;36,4040
cocentric_sine_waves;24,2593;0,6105;24,3180;24,9760;23,4840
inverse_sparkles;16,3920;0,6227;17,0540;16,5640;15,5580
perlin_noise;47,3667;0,3225;47,0520;47,8100;47,2380
plasma_noise;13,6687;0,5067;14,2620;13,0240;13,7200
single_frequency_greyscale;22,4033;0,3131;21,9880;22,4780;22,7440
sparkles;46,8253;0,4897;47,5160;46,4360;46,5240
Acc_C-all-19;37,2130;0,2166;37,3601;37,3721;36,9067
Acc_C-original-15;37,2149;0,2652;37,3796;37,4244;36,8408
Acc_C-bar-10;30,3495;0,1116;30,2560;30,5064;30,2862
Acc_all-ex-pixelwise-noise-24;36,4397;0,1492;36,5009;36,5839;36,2342
RMSCE_C;0,1696;0,0123;0,1631;0,1589;0,1867
Combined_Noise;50,1900;0,9944;49,2300;49,7800;51,5600
