train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,7150;4,7288;10,0400;4,5580;5,3310;10,0400;5,3310
16,2730;4,1064;14,0000;4,4516;8,0552;14,0000;8,0552
23,1650;3,7584;12,5400;4,7768;6,8207;12,5400;6,8207
28,0390;3,5418;16,5500;4,5165;8,8000;16,5500;8,8000
31,9370;3,3733;19,7200;4,1761;8,4345;19,7200;8,4345
35,0900;3,2423;27,3500;3,7632;13,1241;27,3500;13,1241
37,7050;3,1348;20,0900;4,3755;10,2759;20,0900;10,2759
40,3260;3,0264;21,4800;4,1308;11,1241;21,4800;11,1241
42,6620;2,9423;20,9700;4,5142;10,7034;20,9700;10,7034
44,2900;2,8725;26,6500;3,8834;11,4069;26,6500;11,4069
46,4380;2,7939;26,7300;3,9327;11,5034;26,7300;11,5034
47,7800;2,7425;26,9900;3,8795;11,8690;26,9900;11,8690
49,5600;2,6791;26,3900;4,0590;12,9931;26,3900;12,9931
50,5620;2,6310;24,2100;4,0896;12,1793;24,2100;12,1793
51,9370;2,5802;26,7000;4,0278;12,8759;26,7000;12,8759
52,9930;2,5418;29,9300;3,7441;13,7724;29,9300;13,7724
54,1580;2,5019;28,4500;3,8552;12,5448;28,4500;12,5448
54,8220;2,4771;29,6000;3,8215;13,5379;29,6000;13,5379
55,0340;2,4687;29,6800;3,7692;13,4483;29,6800;13,4483
55,4790;2,4572;30,1600;3,7857;13,5103;30,1600;13,5103
46,0520;2,8007;27,8800;3,7827;13,6828;27,8800;13,6828
46,2760;2,7955;30,0600;3,6430;12,8483;30,0600;12,8483
47,4170;2,7513;25,2600;3,9737;11,8552;25,2600;11,8552
48,4200;2,7162;25,9500;3,8925;11,9862;25,9500;11,9862
49,3130;2,6790;31,2500;3,6824;14,9172;31,2500;14,9172
50,3480;2,6404;28,2200;3,8044;13,4828;28,2200;13,4828
50,9160;2,6175;31,3600;3,6184;13,6828;31,3600;13,6828
51,8410;2,5845;31,7000;3,7401;14,9034;31,7000;14,9034
52,4970;2,5536;29,0600;3,8320;13,0276;29,0600;13,0276
53,2110;2,5340;28,4100;3,8940;14,3586;28,4100;14,3586
54,0890;2,5009;32,1800;3,6992;15,1310;32,1800;15,1310
54,3840;2,4803;34,2200;3,5162;14,5448;34,2200;14,5448
55,4350;2,4506;33,6700;3,5410;14,4345;33,6700;14,4345
55,7440;2,4378;31,3800;3,7264;14,4483;31,3800;14,4483
56,4480;2,4113;31,3900;3,5997;14,5655;31,3900;14,5655
56,9790;2,3860;32,3800;3,7361;15,0276;32,3800;15,0276
57,8410;2,3542;37,6000;3,3427;16,5586;37,6000;16,5586
58,6520;2,3294;34,3300;3,6005;15,8621;34,3300;15,8621
59,0240;2,3164;31,7700;3,7369;15,8069;31,7700;15,8069
