time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
25,2157;5,3137;3,5891;6,3791;3,3189;4,5862;6,3791;4,5862
52,2654;13,5078;3,1409;14,7047;3,6658;8,3448;14,7047;8,3448
76,3405;29,8665;2,9166;27,8048;3,0697;15,5862;27,8048;15,5862
101,4575;42,2695;2,8053;48,3625;2,7963;27,9655;48,3625;27,9655
125,9495;49,3489;2,7438;38,1297;2,8527;18,3103;38,1297;18,3103
151,2041;55,2677;2,7052;49,8356;2,6349;25,7931;49,8356;25,7931
177,1842;61,2719;2,6736;71,2350;2,6117;37,3448;71,2350;37,3448
202,4529;67,1215;2,6464;90,5827;2,5522;49,4483;90,5827;49,4483
226,7023;71,8039;2,6273;83,3618;2,5333;43,6897;83,3618;43,6897
251,6179;73,7439;2,6157;89,2542;2,5251;46,2414;89,2542;46,2414
277,0713;58,3322;2,7209;67,9074;2,6175;31,7241;67,9074;31,7241
302,6634;63,8860;2,6878;75,6807;2,7907;41,1034;75,6807;41,1034
329,7643;68,7426;2,6610;84,3483;2,5861;34,5517;84,3483;34,5517
354,0420;71,1167;2,6423;90,4248;2,5474;38,6552;90,4248;38,6552
378,0208;74,6186;2,6198;84,2957;2,5705;36,2414;84,2957;36,2414
402,4996;75,5590;2,6098;75,1940;2,5640;36,5517;75,1940;36,5517
426,3411;77,1636;2,5966;83,2435;2,5390;33,9655;83,2435;33,9655
451,0527;78,1928;2,5895;92,5819;2,5176;42,0345;92,5819;42,0345
475,0980;79,3568;2,5750;94,1076;2,5213;50,0345;94,1076;50,0345
499,6014;80,3170;2,5661;85,6241;2,5288;46,9655;85,6241;46,9655
524,2963;80,7806;2,5623;92,1347;2,5164;39,6897;92,1347;39,6897
548,5856;82,3721;2,5509;92,6871;2,5137;44,1034;92,6871;44,1034
572,3532;82,1090;2,5510;82,2570;2,5082;41,2414;82,2570;41,2414
597,1758;82,9475;2,5439;94,5416;2,4928;45,3103;94,5416;45,3103
621,3290;83,5789;2,5395;88,0442;2,4952;41,9310;88,0442;41,9310
646,1099;84,1247;2,5355;92,5819;2,4904;46,8276;92,5819;46,8276
670,6070;84,9566;2,5280;94,3312;2,4913;45,3103;94,3312;45,3103
694,6885;85,2657;2,5283;92,9370;2,4848;44,5862;92,9370;44,5862
718,9673;85,2723;2,5247;93,7788;2,4868;44,0690;93,7788;44,0690
743,0094;85,5189;2,5221;92,6082;2,4914;44,3103;92,6082;44,3103
767,3616;77,6996;2,5833;86,6369;2,5215;42,2759;86,6369;42,2759
790,9708;78,4526;2,5753;86,1765;2,5467;38,7241;86,1765;38,7241
815,1765;79,4555;2,5666;75,3518;2,5862;30,4483;75,3518;30,4483
839,6505;79,1891;2,5670;87,4918;2,5006;41,6207;87,4918;41,6207
863,5901;79,9684;2,5615;80,0210;2,5572;37,6897;80,0210;37,6897
887,6339;80,3597;2,5578;87,3866;2,5017;46,2069;87,3866;46,2069
911,7999;81,2870;2,5534;93,6078;2,4842;49,3103;93,6078;49,3103
936,3373;80,7839;2,5550;87,9653;2,6528;37,6897;87,9653;37,6897
960,5015;81,7440;2,5478;92,0821;2,5162;40,2069;92,0821;40,2069
984,9850;82,0137;2,5443;87,3471;2,4825;40,1034;87,3471;40,1034
1008,8773;82,1288;2,5428;89,6620;2,4959;39,6552;89,6620;39,6552
1032,8298;83,1547;2,5387;93,5289;2,4839;43,6207;93,5289;43,6207
1057,9930;83,5131;2,5351;92,1347;2,4818;44,9310;92,1347;44,9310
1082,2260;83,3257;2,5367;86,8078;2,4876;40,5172;86,8078;40,5172
1106,6829;83,8879;2,5332;90,9115;2,4780;35,9310;90,9115;35,9310
1130,7785;83,9833;2,5320;82,0203;2,5354;36,8966;82,0203;36,8966
1154,8961;83,8978;2,5298;93,6209;2,4856;43,1034;93,6209;43,1034
1179,1274;84,6705;2,5260;88,7807;2,4792;43,5172;88,7807;43,5172
1203,6173;84,5883;2,5237;87,8206;2,4880;39,2414;87,8206;39,2414
1227,6650;84,7725;2,5217;87,2945;2,4844;43,1379;87,2945;43,1379
1252,0375;85,2591;2,5203;96,7907;2,4764;40,4483;96,7907;40,4483
1276,1337;85,3742;2,5176;94,2128;2,4928;40,2069;94,2128;40,2069
1300,1299;85,7589;2,5159;96,1989;2,4727;44,0345;96,1989;44,0345
1324,3992;85,9891;2,5141;96,5277;2,4687;46,2069;96,5277;46,2069
1348,9506;85,7786;2,5161;96,8170;2,4704;44,2414;96,8170;44,2414
1373,2165;86,0187;2,5107;96,1200;2,4659;46,6207;96,1200;46,6207
1396,8036;85,9200;2,5110;97,1722;2,4708;44,5862;97,1722;44,5862
1420,8067;86,1962;2,5094;97,3432;2,4673;44,2069;97,3432;44,2069
1444,3484;86,5810;2,5071;96,4488;2,4642;41,2069;96,4488;41,2069
