;config_589_avg
Standard_Acc;98,6847
RMSCE;0,0013
gaussian_noise;95,2387
shot_noise;95,2650
impulse_noise;73,1948
defocus_blur;57,3063
glass_blur;58,3454
motion_blur;59,5554
zoom_blur;28,0679
snow;89,1622
frost;97,1327
fog;97,6457
brightness;80,7839
contrast;97,4878
elastic_transform;92,1741
pixelate;69,7751
jpeg_compression;97,5141
speckle_noise;90,2538
gaussian_blur;80,9549
spatter;92,1610
saturate;98,6453
blue_noise;95,0283
brownish_noise;91,7138
checkerboard_cutout;65,4478
circular_motion_blur;80,5866
inverse_sparkles;94,8310
lines;75,8648
pinch_and_twirl;91,3850
ripple;86,1897
sparkles;55,3860
transverse_chromatic_abberation;39,4713
Acc_C-all-19;81,6139
Acc_C-original-15;79,2433
Acc_C-bar-10;77,5904
Acc_all-ex-pixelwise-noise-24;78,2328
RMSCE_C;0,0227
Combined_Noise;96,5934
